Time,top_gun_2
2022-01-01,3.0
2022-01-02,2.0
2022-01-03,2.0
2022-01-04,2.0
2022-01-05,2.0
2022-01-06,1.0
2022-01-07,2.0
2022-01-08,2.0
2022-01-09,2.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-15,5.0
2022-01-16,3.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-22,6.0
2022-01-23,2.0
2022-01-24,2.0
2022-01-25,1.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,2.0
2022-01-29,2.0
2022-01-30,6.0
2022-01-31,2.0
2022-02-01,1.0
2022-02-02,1.0
2022-02-03,2.0
2022-02-04,1.0
2022-02-05,2.0
2022-02-06,2.0
2022-02-07,2.0
2022-02-08,2.0
2022-02-09,1.0
2022-02-10,2.0
2022-02-11,2.0
2022-02-12,2.0
2022-02-13,4.0
2022-02-14,2.0
2022-02-15,4.0
2022-02-16,2.0
2022-02-17,2.0
2022-02-18,2.0
2022-02-19,2.0
2022-02-20,2.0
2022-02-21,2.0
2022-02-22,1.0
2022-02-23,1.0
2022-02-24,1.0
2022-02-25,1.0
2022-02-26,2.0
2022-02-27,2.0
2022-02-28,1.0
2022-03-01,2.0
2022-03-02,1.0
2022-03-03,1.0
2022-03-04,2.0
2022-03-05,3.0
2022-03-06,4.0
2022-03-07,3.0
2022-03-08,3.0
2022-03-09,3.0
2022-03-10,4.0
2022-03-11,3.0
2022-03-12,4.0
2022-03-13,4.0
2022-03-14,2.0
2022-03-15,2.0
2022-03-16,2.0
2022-03-17,2.0
2022-03-18,3.0
2022-03-19,3.0
2022-03-20,3.0
2022-03-21,2.0
2022-03-22,2.0
2022-03-23,1.0
2022-03-24,2.0
2022-03-25,2.0
2022-03-26,3.0
2022-03-27,3.0
2022-03-28,2.0
2022-03-29,8.0
2022-03-30,9.0
2022-03-31,5.0
2022-04-01,4.0
2022-04-02,5.0
2022-04-03,5.0
2022-04-04,3.0
2022-04-05,2.0
2022-04-06,2.0
2022-04-07,2.0
2022-04-08,2.0
2022-04-09,4.0
2022-04-10,5.0
2022-04-11,3.0
2022-04-12,2.0
2022-04-13,2.0
2022-04-14,2.0
2022-04-15,3.0
2022-04-16,4.0
2022-04-17,5.0
2022-04-18,4.0
2022-04-19,3.0
2022-04-20,3.0
2022-04-21,3.0
2022-04-22,3.0
2022-04-23,3.0
2022-04-24,3.0
2022-04-25,2.0
2022-04-26,2.0
2022-04-27,2.0
2022-04-28,3.0
2022-04-29,4.0
2022-04-30,4.0
2022-05-01,5.0
2022-05-02,3.0
2022-05-03,5.0
2022-05-04,5.0
2022-05-05,7.0
2022-05-06,6.0
2022-05-07,8.0
2022-05-08,7.0
2022-05-09,5.0
2022-05-10,4.0
2022-05-11,5.0
2022-05-12,6.0
2022-05-13,6.0
2022-05-14,8.0
2022-05-15,11.0
2022-05-16,5.0
2022-05-17,5.0
2022-05-18,6.0
2022-05-19,9.0
2022-05-20,10.0
2022-05-21,12.0
2022-05-22,14.0
2022-05-23,12.0
2022-05-24,17.0
2022-05-25,17.0
2022-05-26,26.0
2022-05-27,59.0
2022-05-28,89.0
2022-05-29,100.0
2022-05-30,95.0
2022-05-31,64.0
2022-06-01,41.0
2022-06-02,35.0
2022-06-03,38.0
2022-06-04,68.0
2022-06-05,72.0
2022-06-06,36.0
2022-06-07,31.0
2022-06-08,27.0
2022-06-09,25.0
2022-06-10,27.0
2022-06-11,41.0
2022-06-12,42.0
2022-06-13,23.0
2022-06-14,18.0
2022-06-15,17.0
2022-06-16,19.0
2022-06-17,20.0
2022-06-18,31.0
2022-06-19,34.0
2022-06-20,21.0
2022-06-21,17.0
2022-06-22,16.0
2022-06-23,15.0
2022-06-24,15.0
2022-06-25,21.0
2022-06-26,24.0
2022-06-27,13.0
2022-06-28,11.0
2022-06-29,11.0
2022-06-30,11.0
2022-07-01,13.0
2022-07-02,21.0
2022-07-03,21.0
2022-07-04,21.0
2022-07-05,11.0
2022-07-06,10.0
2022-07-07,11.0
2022-07-08,15.0
2022-07-09,23.0
2022-07-10,18.0
2022-07-11,11.0
2022-07-12,10.0
2022-07-13,9.0
2022-07-14,9.0
2022-07-15,11.0
2022-07-16,18.0
2022-07-17,19.0
2022-07-18,10.0
2022-07-19,9.0
2022-07-20,8.0
2022-07-21,8.0
2022-07-22,10.0
2022-07-23,14.0
2022-07-24,14.0
2022-07-25,9.0
2022-07-26,8.0
2022-07-27,6.0
2022-07-28,6.0
2022-07-29,7.0
2022-07-30,11.0
2022-07-31,12.0
2022-08-01,7.0
2022-08-02,6.0
2022-08-03,6.0
2022-08-04,6.0
2022-08-05,8.0
2022-08-06,12.0
2022-08-07,12.0
2022-08-08,7.0
2022-08-09,6.0
2022-08-10,6.0
2022-08-11,6.0
2022-08-12,7.0
2022-08-13,12.0
2022-08-14,12.0
2022-08-15,6.0
2022-08-16,7.0
2022-08-17,8.0
2022-08-18,8.0
2022-08-19,9.0
2022-08-20,14.0
2022-08-21,13.0
2022-08-22,8.0
2022-08-23,10.0
2022-08-24,10.0
2022-08-25,8.0
2022-08-26,11.0
2022-08-27,17.0
2022-08-28,15.0
2022-08-29,8.04932735426009
2022-08-30,6.9843049327354265
2022-08-31,6.1076233183856505
2022-09-01,6.1076233183856505
2022-09-02,8.926008968609866
2022-09-03,18.917040358744394
2022-09-04,16.09865470852018
2022-09-05,14.062780269058297
2022-09-06,6.7959641255605385
2022-09-07,4.760089686098655
2022-09-08,4.6659192825112115
2022-09-09,4.854260089686099
2022-09-10,9.708520179372197
2022-09-11,7.955156950672646
2022-09-12,3.789237668161435
2022-09-13,3.195067264573991
2022-09-14,3.1008968609865475
2022-09-15,3.006726457399103
2022-09-16,3.977578475336323
2022-09-17,6.9843049327354265
2022-09-18,6.7959641255605385
2022-09-19,3.1008968609865475
2022-09-20,3.195067264573991
2022-09-21,3.883408071748879
2022-09-22,3.789237668161435
2022-09-23,4.1659192825112115
2022-09-24,7.07847533632287
2022-09-25,7.172645739910314
2022-09-26,3.195067264573991
2022-09-27,3.1008968609865475
2022-09-28,3.0134529147982065
2022-09-29,3.0134529147982065
2022-09-30,3.57847533632287
2022-10-01,6.403587443946189
2022-10-02,6.968609865470853
2022-10-03,3.3901345291479825
2022-10-04,2.6367713004484306
2022-10-05,2.448430493273543
2022-10-06,2.448430493273543
2022-10-07,3.2017937219730945
2022-10-08,5.085201793721973
2022-10-09,5.085201793721973
2022-10-10,3.2017937219730945
2022-10-11,2.071748878923767
2022-10-12,2.071748878923767
2022-10-13,1.6950672645739913
2022-10-14,2.6367713004484306
2022-10-15,3.955156950672646
2022-10-16,3.766816143497758
2022-10-17,2.071748878923767
2022-10-18,2.071748878923767
2022-10-19,2.260089686098655
2022-10-20,1.6950672645739913
2022-10-21,2.260089686098655
2022-10-22,3.57847533632287
2022-10-23,3.57847533632287
2022-10-24,2.260089686098655
2022-10-25,1.5067264573991033
2022-10-26,1.883408071748879
2022-10-27,1.6950672645739913
2022-10-28,1.883408071748879
2022-10-29,3.2017937219730945
2022-10-30,3.955156950672646
2022-10-31,2.071748878923767
2022-11-01,2.071748878923767
2022-11-02,2.071748878923767
2022-11-03,1.883408071748879
2022-11-04,2.260089686098655
2022-11-05,4.143497757847534
2022-11-06,3.955156950672646
2022-11-07,2.260089686098655
2022-11-08,1.5067264573991033
2022-11-09,1.1300448430493275
2022-11-10,1.6950672645739913
2022-11-11,2.071748878923767
2022-11-12,3.57847533632287
2022-11-13,3.3901345291479825
2022-11-14,2.071748878923767
2022-11-15,1.883408071748879
2022-11-16,1.3183856502242153
2022-11-17,1.1300448430493275
2022-11-18,1.5067264573991033
2022-11-19,2.448430493273543
2022-11-20,3.2017937219730945
2022-11-21,1.6950672645739913
2022-11-22,2.071748878923767
2022-11-23,2.071748878923767
2022-11-24,3.57847533632287
2022-11-25,4.143497757847534
2022-11-26,3.57847533632287
2022-11-27,3.2017937219730945
2022-11-28,1.5067264573991033
2022-11-29,1.3183856502242153
2022-11-30,1.3183856502242153
2022-12-01,1.3183856502242153
2022-12-02,2.071748878923767
2022-12-03,3.0134529147982065
2022-12-04,3.2017937219730945
2022-12-05,1.883408071748879
2022-12-06,1.6950672645739913
2022-12-07,1.5067264573991033
2022-12-08,1.6950672645739913
2022-12-09,1.6950672645739913
2022-12-10,2.8251121076233185
2022-12-11,2.8251121076233185
2022-12-12,1.5067264573991033
2022-12-13,1.3183856502242153
2022-12-14,1.1300448430493275
2022-12-15,1.3183856502242153
2022-12-16,1.5067264573991033
2022-12-17,2.448430493273543
2022-12-18,2.8251121076233185
2022-12-19,2.260089686098655
2022-12-20,2.260089686098655
2022-12-21,1.883408071748879
2022-12-22,3.766816143497758
2022-12-23,6.968609865470853
2022-12-24,5.650224215246637
2022-12-25,6.215246636771301
2022-12-26,6.215246636771301
2022-12-27,4.52017937219731
2022-12-28,3.57847533632287
2022-12-29,4.331838565022422
2022-12-30,3.766816143497758
2022-12-31,4.331838565022422
2023-01-01,5.085201793721973
2023-01-02,4.896860986547086
2023-01-03,1.883408071748879
2023-01-04,2.071748878923767
2023-01-05,2.260089686098655
2023-01-06,2.260089686098655
2023-01-07,3.955156950672646
2023-01-08,3.955156950672646
2023-01-09,2.260089686098655
2023-01-10,1.6950672645739913
2023-01-11,1.883408071748879
2023-01-12,1.6950672645739913
2023-01-13,1.5067264573991033
2023-01-14,3.0134529147982065
2023-01-15,3.3901345291479825
