Time,southwest
2025-12-11,65
2025-12-12,66
2025-12-13,63
2025-12-14,57
2025-12-15,66
2025-12-16,63
2025-12-17,63
2025-12-18,69
2025-12-19,74
2025-12-20,72
2025-12-21,61
2025-12-22,70
2025-12-23,66
2025-12-24,58
2025-12-25,44
2025-12-26,70
2025-12-27,73
2025-12-28,73
2025-12-29,78
2025-12-30,74
2025-12-31,66
2026-01-01,56
2026-01-02,64
2026-01-03,68
2026-01-04,68
2026-01-05,74
2026-01-06,75
2026-01-07,77
2026-01-08,69
2026-01-09,71
2026-01-10,63
2026-01-11,58
2026-01-12,68
2026-01-13,70
2026-01-14,67
2026-01-15,71
2026-01-16,68
2026-01-17,62
2026-01-18,56
2026-01-19,67
2026-01-20,70
2026-01-21,72
2026-01-22,73
2026-01-23,66
2026-01-24,60
2026-01-25,63
2026-01-26,76
2026-01-27,78
2026-01-28,76
2026-01-29,67
2026-01-30,67
2026-01-31,60
2026-02-01,64
2026-02-02,70
2026-02-03,68
2026-02-04,68
2026-02-05,69
2026-02-06,65
2026-02-07,57
2026-02-08,54
2026-02-09,58
2026-02-10,67
2026-02-11,71
2026-02-12,74
2026-02-13,66
2026-02-14,61
2026-02-15,60
2026-02-16,76
2026-02-17,77
2026-02-18,75
2026-02-19,75
2026-02-20,69
2026-02-21,67
2026-02-22,69
2026-02-23,79
2026-02-24,77
2026-02-25,72
2026-02-26,74
2026-02-27,74
2026-02-28,64
2026-03-01,67
2026-03-02,76
2026-03-03,82
2026-03-04,78
2026-03-05,79
2026-03-06,78
2026-03-07,96
2026-03-08,99
2026-03-09,89
2026-03-10,82
2026-03-11,81
2026-03-12,83
2026-03-13,83
2026-03-14,83
2026-03-15,84
2026-03-16,100
2026-03-17,87
2026-03-18,78
2026-03-19,75
2026-03-20,68
2026-03-21,67
2026-03-22,70
2026-03-23,78
2026-03-24,82
2026-03-25,73
2026-03-26,74
2026-03-27,69
2026-03-28,62
2026-03-29,60
2026-03-30,68
2026-03-31,66
2026-04-01,70
2026-04-02,69
2026-04-03,66
2026-04-04,58
2026-04-05,56
2026-04-06,67
2026-04-07,71
2026-04-08,69
2026-04-09,71
2026-04-10,70
2026-04-11,60
2026-04-12,71
2026-04-13,71
2026-04-14,69
2026-04-15,65
2026-04-16,73
2026-04-17,72
2026-04-18,56
2026-04-19,61
2026-04-20,71
2026-04-21,72
2026-04-22,72
2026-04-23,79
2026-04-24,66
2026-04-25,56
2026-04-26,64
2026-04-27,70
2026-04-28,70
2026-04-29,68
2026-04-30,74
2026-05-01,69
2026-05-02,74
2026-05-03,76
2026-05-04,77
2026-05-05,74
2026-05-06,74
2026-05-07,72
2026-05-08,78
2026-05-09,60
2026-05-10,62
2026-05-11,73
2026-05-12,82
2026-05-13,74
2026-05-14,74
2026-05-15,75
2026-05-16,62
2026-05-17,65
2026-05-18,79
2026-05-19,76
2026-05-20,76
2026-05-21,77
2026-05-22,74
2026-05-23,66
2026-05-24,61
2026-05-25,64
2026-05-26,71
2026-05-27,72
2026-05-28,76
2026-05-29,77
2026-05-30,61
2026-05-31,69
