Time,election day 2022
2022-01-01,4
2022-01-02,0
2022-01-03,3
2022-01-04,5
2022-01-05,5
2022-01-06,4
2022-01-07,3
2022-01-08,0
2022-01-09,0
2022-01-10,3
2022-01-11,5
2022-01-12,4
2022-01-13,5
2022-01-14,4
2022-01-15,0
2022-01-16,0
2022-01-17,3
2022-01-18,3
2022-01-19,2
2022-01-20,6
2022-01-21,3
2022-01-22,0
2022-01-23,0
2022-01-24,3
2022-01-25,0
2022-01-26,0
2022-01-27,4
2022-01-28,3
2022-01-29,0
2022-01-30,0
2022-01-31,4
2022-02-01,4
2022-02-02,4
2022-02-03,0
2022-02-04,0
2022-02-05,3
2022-02-06,3
2022-02-07,4
2022-02-08,6
2022-02-09,5
2022-02-10,4
2022-02-11,4
2022-02-12,3
2022-02-13,2
2022-02-14,4
2022-02-15,7
2022-02-16,6
2022-02-17,5
2022-02-18,6
2022-02-19,3
2022-02-20,2
2022-02-21,5
2022-02-22,6
2022-02-23,7
2022-02-24,5
2022-02-25,8
2022-02-26,6
2022-02-27,9
2022-02-28,13
2022-03-01,42
2022-03-02,35
2022-03-03,5
2022-03-04,3
2022-03-05,2
2022-03-06,2
2022-03-07,3
2022-03-08,5
2022-03-09,6
2022-03-10,4
2022-03-11,4
2022-03-12,3
2022-03-13,2
2022-03-14,5
2022-03-15,7
2022-03-16,4
2022-03-17,5
2022-03-18,3
2022-03-19,3
2022-03-20,3
2022-03-21,4
2022-03-22,5
2022-03-23,4
2022-03-24,5
2022-03-25,4
2022-03-26,4
2022-03-27,3
2022-03-28,5
2022-03-29,5
2022-03-30,4
2022-03-31,6
2022-04-01,4
2022-04-02,4
2022-04-03,5
2022-04-04,7
2022-04-05,17
2022-04-06,13
2022-04-07,7
2022-04-08,6
2022-04-09,3
2022-04-10,6
2022-04-11,5
2022-04-12,9
2022-04-13,7
2022-04-14,8
2022-04-15,5
2022-04-16,5
2022-04-17,3
2022-04-18,10
2022-04-19,11
2022-04-20,9
2022-04-21,8
2022-04-22,8
2022-04-23,6
2022-04-24,10
2022-04-25,10
2022-04-26,13
2022-04-27,14
2022-04-28,16
2022-04-29,13
2022-04-30,12
2022-05-01,17
2022-05-02,37
2022-05-03,77
2022-05-04,46
2022-05-05,17
2022-05-06,19
2022-05-07,21
2022-05-08,18
2022-05-09,28
2022-05-10,32
2022-05-11,24
2022-05-12,14
2022-05-13,13
2022-05-14,13
2022-05-15,13
2022-05-16,35
2022-05-17,100
2022-05-18,82
2022-05-19,12
2022-05-20,9
2022-05-21,8
2022-05-22,10
2022-05-23,18
2022-05-24,52
2022-05-25,51
2022-05-26,10
2022-05-27,10
2022-05-28,6
2022-05-29,5
2022-05-30,8
2022-05-31,10
2022-06-01,10
2022-06-02,8
2022-06-03,11
2022-06-04,8
2022-06-05,8
2022-06-06,18
2022-06-07,35
2022-06-08,21
2022-06-09,8
2022-06-10,6
2022-06-11,4
2022-06-12,4
2022-06-13,10
2022-06-14,17
2022-06-15,12
2022-06-16,8
2022-06-17,7
2022-06-18,6
2022-06-19,9
2022-06-20,10
2022-06-21,20
2022-06-22,14
2022-06-23,6
2022-06-24,14
2022-06-25,11
2022-06-26,11
2022-06-27,21
2022-06-28,51
2022-06-29,29
2022-06-30,9
2022-07-01,7
2022-07-02,6
2022-07-03,6
2022-07-04,7
2022-07-05,10
2022-07-06,8
2022-07-07,10
2022-07-08,6
2022-07-09,4
2022-07-10,5
2022-07-11,11
2022-07-12,9
2022-07-13,9
2022-07-14,10
2022-07-15,8
2022-07-16,6
2022-07-17,5
2022-07-18,14
2022-07-19,19
2022-07-20,14
2022-07-21,10
2022-07-22,9
2022-07-23,7
2022-07-24,7
2022-07-25,11
2022-07-26,14
2022-07-27,9
2022-07-28,12
2022-07-29,10
2022-07-30,10
2022-07-31,11
2022-08-01,22
2022-08-02,63
2022-08-03,48
2022-08-04,24
2022-08-05,16
2022-08-06,6
2022-08-07,7
2022-08-08,17
2022-08-09,30
2022-08-10,24
2022-08-11,14
2022-08-12,12
2022-08-13,8
2022-08-14,11
2022-08-15,13
2022-08-16,27
2022-08-17,21
2022-08-18,16
2022-08-19,14
2022-08-20,13
2022-08-21,13
2022-08-22,21
2022-08-23,53
2022-08-24,41
2022-08-25,15
2022-08-26,10
2022-08-27,7
2022-08-28,11
2022-08-29,13
2022-08-30,15
2022-08-31,18
2022-09-01,17
2022-09-02,16
2022-09-03,10
2022-09-04,11
2022-09-05,18
2022-09-06,26
2022-09-07,26
2022-09-08,19
2022-09-09,16
2022-09-10,13
2022-09-11,11
2022-09-12,20
2022-09-13,26
2022-09-14,27
2022-09-15,27
2022-09-16,19
2022-09-17,12
2022-09-18,15
2022-09-19,27
2022-09-20,56
2022-09-21,33
2022-09-22,33
2022-09-23,26
2022-09-24,21
2022-09-25,20
2022-09-26,32
2022-09-27,34
