Time,bbc news
2022-08-29,13
2022-08-30,14
2022-08-31,13
2022-09-01,14
2022-09-02,13
2022-09-03,11
2022-09-04,12
2022-09-05,15
2022-09-06,15
2022-09-07,13
2022-09-08,100
2022-09-09,34
2022-09-10,21
2022-09-11,20
2022-09-12,25
2022-09-13,21
2022-09-14,23
2022-09-15,20
2022-09-16,20
2022-09-17,19
2022-09-18,18
2022-09-19,31
2022-09-20,18
2022-09-21,18
2022-09-22,16
2022-09-23,17
2022-09-24,14
2022-09-25,15
2022-09-26,17
2022-09-27,17
2022-09-28,17
2022-09-29,16
2022-09-30,15
2022-10-01,14
2022-10-02,14
2022-10-03,16
2022-10-04,16
2022-10-05,16
2022-10-06,16
2022-10-07,16
2022-10-08,14
2022-10-09,15
2022-10-10,16
2022-10-11,16
2022-10-12,15
2022-10-13,15
2022-10-14,16
2022-10-15,13
2022-10-16,13
2022-10-17,16
2022-10-18,15
2022-10-19,16
2022-10-20,22
2022-10-21,17
2022-10-22,15
2022-10-23,14
2022-10-24,19
2022-10-25,16
2022-10-26,16
2022-10-27,16
2022-10-28,14
2022-10-29,14
2022-10-30,14
2022-10-31,15
2022-11-01,15
2022-11-02,14
2022-11-03,15
2022-11-04,14
2022-11-05,12
2022-11-06,12
2022-11-07,14
2022-11-08,14
2022-11-09,18
2022-11-10,16
2022-11-11,14
2022-11-12,14
2022-11-13,14
2022-11-14,14
2022-11-15,19
2022-11-16,17
2022-11-17,15
2022-11-18,14
2022-11-19,12
2022-11-20,12
2022-11-21,13
2022-11-22,13
2022-11-23,13
2022-11-24,12
2022-11-25,12
2022-11-26,11
2022-11-27,13
2022-11-28,13
2022-11-29,13
2022-11-30,13
2022-12-01,13
2022-12-02,12
2022-12-03,11
2022-12-04,12
2022-12-05,13
2022-12-06,13
2022-12-07,14
2022-12-08,14
2022-12-09,13
2022-12-10,12
2022-12-11,12
2022-12-12,13
2022-12-13,12
2022-12-14,13
2022-12-15,13
2022-12-16,13
2022-12-17,11
2022-12-18,11
2022-12-19,13
2022-12-20,12
2022-12-21,13
2022-12-22,13
2022-12-23,13
2022-12-24,13
2022-12-25,14
2022-12-26,14
2022-12-27,13
2022-12-28,12
2022-12-29,13
2022-12-30,13
2022-12-31,13
2023-01-01,13
2023-01-02,13
2023-01-03,14
2023-01-04,15
2023-01-05,15
2023-01-06,15
2023-01-07,13
2023-01-08,12
2023-01-09,14
2023-01-10,14
2023-01-11,14
2023-01-12,14
2023-01-13,14
2023-01-14,12
2023-01-15,12
2023-01-16,12
2023-01-17,12
2023-01-18,12
2023-01-19,13
2023-01-20,13
2023-01-21,11
2023-01-22,12
2023-01-23,14
2023-01-24,14
2023-01-25,12
2023-01-26,13
2023-01-27,12
2023-01-28,13
2023-01-29,12
2023-01-30,13
2023-01-31,13
2023-02-01,12
2023-02-02,12
2023-02-03,13
2023-02-04,13
2023-02-05,13
2023-02-06,17
2023-02-07,15
2023-02-08,15
2023-02-09,13
2023-02-10,14
2023-02-11,14
2023-02-12,14
2023-02-13,15
2023-02-14,14
2023-02-15,15
2023-02-16,15
2023-02-17,14
2023-02-18,13
2023-02-19,13
2023-02-20,14
2023-02-21,14
2023-02-22,13
2023-02-23,14
2023-02-24,13
2023-02-25,12
2023-02-26,12
2023-02-27,13
2023-02-28,13
2023-03-01,14
2023-03-02,13
2023-03-03,13
2023-03-04,12
2023-03-05,12
2023-03-06,13
2023-03-07,13
2023-03-08,13
2023-03-09,13
2023-03-10,14
2023-03-11,13
2023-03-12,12
2023-03-13,14
2023-03-14,14
2023-03-15,13
2023-03-16,14
2023-03-17,13
2023-03-18,11
2023-03-19,13
2023-03-20,15
2023-03-21,16
2023-03-22,14
2023-03-23,13
2023-03-24,14
2023-03-25,12
2023-03-26,13
2023-03-27,15
2023-03-28,15
2023-03-29,13
2023-03-30,14
2023-03-31,15
2023-04-01,12
2023-04-02,12
2023-04-03,13
2023-04-04,17
2023-04-05,16
2023-04-06,13
2023-04-07,13
2023-04-08,12
2023-04-09,12
2023-04-10,15
2023-04-11,14
2023-04-12,14
2023-04-13,13
2023-04-14,13
2023-04-15,13
2023-04-16,12
2023-04-17,13
2023-04-18,13
2023-04-19,12
2023-04-20,13
2023-04-21,13
2023-04-22,11
2023-04-23,11
2023-04-24,13
2023-04-25,13
2023-04-26,12
2023-04-27,12
2023-04-28,12
2023-04-29,11
2023-04-30,12
2023-05-01,13
2023-05-02,13
2023-05-03,14
2023-05-04,13
2023-05-05,14
2023-05-06,19
2023-05-07,14
2023-05-08,14
2023-05-09,15
2023-05-10,14
2023-05-11,14
2023-05-12,13
2023-05-13,12
2023-05-14,13
2023-05-15,14
2023-05-16,14
2023-05-17,14
2023-05-18,13
2023-05-19,12
2023-05-20,11
2023-05-21,11
2023-05-22,14
2023-05-23,13
2023-05-24,13
2023-05-25,13
