Time,lucrative
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,73.04109589041096
2022-05-02,95.98487208650538
2022-05-03,98.63660185967879
2022-05-04,100.0
2022-05-05,99.8822227454472
2022-05-06,89.03706813032419
2022-05-07,74.1583263748701
2022-05-08,67.38099634042733
2022-05-09,100.0
2022-05-10,91.54114894199193
2022-05-11,100.0
2022-05-12,100.0
2022-05-13,72.57889044569761
2022-05-14,79.25707455912935
2022-05-15,64.44609440436628
2022-05-16,100.0
2022-05-17,100.0
2022-05-18,81.76971473088439
2022-05-19,92.44439542426898
2022-05-20,80.34363400327574
2022-05-21,72.27075348255538
2022-05-22,66.88170033533575
2022-05-23,82.88908505536536
2022-05-24,89.52589892837521
2022-05-25,82.80063833446341
2022-05-26,74.74772965394672
2022-05-27,80.0440564002208
2022-05-28,76.00119661979515
2022-05-29,59.96884709951095
2022-05-30,74.58795493231742
2022-05-31,62.567080872138824
2022-06-01,85.1520772245746
2022-06-02,85.10642730410908
2022-06-03,83.73170273702412
2022-06-04,67.74642969722001
2022-06-05,70.36534859005882
2022-06-06,74.30834916946614
2022-06-07,74.26840548905881
2022-06-08,87.4835442744821
2022-06-09,67.56454329536521
2022-06-10,71.5004110746998
2022-06-11,64.84505192150083
2022-06-12,75.39134221357614
2022-06-13,70.06291786697477
2022-06-14,77.95248542582578
2022-06-15,77.91040190539664
2022-06-16,91.06633845021622
2022-06-17,60.67808141980955
2022-06-18,58.00851964645432
2022-06-19,64.56544615864954
2022-06-20,73.74913764376356
2022-06-21,76.34166517633325
2022-06-22,78.93133958887384
2022-06-23,92.03663325317699
2022-06-24,100.0
2022-06-25,84.0564791334022
2022-06-26,90.57417524519738
2022-06-27,100.0
2022-06-28,85.23077201844326
2022-06-29,93.04758501655235
2022-06-30,96.92639039530503
2022-07-01,72.00065435286722
2022-07-02,58.87752868838221
2022-07-03,86.30663226248053
2022-07-04,79.72474095003074
2022-07-05,84.90622961513374
2022-07-06,71.80450235086695
2022-07-07,80.89903383507176
