Time,crisis
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,55.233853006681514
2022-05-02,79.48618441519443
2022-05-03,82.7454380216328
2022-05-04,83.79533750780391
2022-05-05,80.43636062569017
2022-05-06,69.37343766280082
2022-05-07,49.52085302691231
2022-05-08,47.2897283323779
2022-05-09,78.03317816678629
2022-05-10,77.9833165289486
2022-05-11,83.42172636231591
2022-05-12,72.39883316501457
2022-05-13,70.15998342799824
2022-05-14,43.82189857892838
2022-05-15,47.07834307900969
2022-05-16,72.21343214544909
2022-05-17,74.35396315996857
2022-05-18,71.0279932775502
2022-05-19,65.52216489161364
2022-05-20,67.6626959061331
2022-05-21,42.53462960558634
2022-05-22,44.68709932212328
2022-05-23,65.35361851019049
2022-05-24,68.57705601057641
2022-05-25,70.70845742943548
2022-05-26,69.57568930573132
2022-05-27,56.49372917826501
2022-05-28,38.00004572782339
2022-05-29,37.97546604719919
2022-05-30,42.28813052275497
2022-05-31,58.514873172609754
2022-06-01,60.642763208522496
2022-06-02,57.35682309169213
2022-06-03,54.07509663439735
2022-06-04,41.07038693174998
2022-06-05,39.963603041848565
2022-06-06,55.04915024892803
2022-06-07,56.09202696920651
2022-06-08,59.28948023578971
2022-06-09,53.86441365761841
2022-06-10,52.75271383159214
2022-06-11,39.80769763903215
2022-06-12,45.1576206221523
2022-06-13,53.72395833976577
2022-06-14,53.68884451030262
2022-06-15,55.79987990807304
2022-06-16,61.125223210569
2022-06-17,65.37187368673403
2022-06-18,47.122582489356
2022-06-19,46.021416812168674
2022-06-20,48.13034538017131
2022-06-21,52.37418674997931
2022-06-22,50.20345784212152
2022-06-23,49.10299444152347
2022-06-24,50.13744384273079
2022-06-25,42.64207390896631
2022-06-26,42.613982845395796
2022-06-27,48.97377554909905
2022-06-28,53.19725089781843
2022-06-29,52.09889432698817
2022-06-30,49.93940184455859
2022-07-01,44.59720390392033
2022-07-02,40.32316464077401
2022-07-03,38.17561086036191
2022-07-04,38.15032890314843
2022-07-05,44.47922143692412
