Time,cowboys
2022-01-01,11.0
2022-01-02,55.0
2022-01-03,39.0
2022-01-04,8.0
2022-01-05,8.0
2022-01-06,6.0
2022-01-07,7.0
2022-01-08,24.0
2022-01-09,83.0
2022-01-10,25.0
2022-01-11,10.0
2022-01-12,9.0
2022-01-13,11.0
2022-01-14,9.0
2022-01-15,18.0
2022-01-16,100.0
2022-01-17,89.0
2022-01-18,11.0
2022-01-19,6.0
2022-01-20,5.0
2022-01-21,4.0
2022-01-22,5.0
2022-01-23,8.0
2022-01-24,5.0
2022-01-25,4.0
2022-01-26,4.0
2022-01-27,4.0
2022-01-28,4.0
2022-01-29,4.0
2022-01-30,5.0
2022-01-31,5.0
2022-02-01,3.0
2022-02-02,3.0
2022-02-03,3.0
2022-02-04,3.0
2022-02-05,3.0
2022-02-06,3.0
2022-02-07,3.0
2022-02-08,3.0
2022-02-09,3.0
2022-02-10,2.0
2022-02-11,3.0
2022-02-12,3.0
2022-02-13,4.0
2022-02-14,4.0
2022-02-15,2.0
2022-02-16,3.0
2022-02-17,3.0
2022-02-18,3.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,3.0
2022-02-22,2.0
2022-02-23,2.0
2022-02-24,2.0
2022-02-25,2.0
2022-02-26,2.0
2022-02-27,2.0
2022-02-28,3.0
2022-03-01,2.0
2022-03-02,2.0
2022-03-03,2.0
2022-03-04,3.0
2022-03-05,3.0
2022-03-06,2.0
2022-03-07,2.0
2022-03-08,3.0
2022-03-09,3.0
2022-03-10,3.0
2022-03-11,3.0
2022-03-12,5.0
2022-03-13,4.0
2022-03-14,4.0
2022-03-15,6.0
2022-03-16,6.0
2022-03-17,5.0
2022-03-18,5.0
2022-03-19,5.0
2022-03-20,4.0
2022-03-21,4.0
2022-03-22,4.0
2022-03-23,4.0
2022-03-24,3.0
2022-03-25,3.0
2022-03-26,3.0
2022-03-27,3.0
2022-03-28,3.0
2022-03-29,3.0
2022-03-30,3.0
2022-03-31,3.0
2022-04-01,3.0
2022-04-02,3.0
2022-04-03,3.0
2022-04-04,3.0
2022-04-05,3.0
2022-04-06,3.0
2022-04-07,3.0
2022-04-08,3.0
2022-04-09,3.0
2022-04-10,3.0
2022-04-11,3.0
2022-04-12,3.0
2022-04-13,3.0
2022-04-14,2.0
2022-04-15,3.0
2022-04-16,3.0
2022-04-17,3.0
2022-04-18,3.0
2022-04-19,2.0
2022-04-20,2.0
2022-04-21,2.0
2022-04-22,2.0
2022-04-23,3.0
2022-04-24,3.0
2022-04-25,3.0
