Time,jenna ortega
2022-01-01,9
2022-01-02,10
2022-01-03,7
2022-01-04,8
2022-01-05,5
2022-01-06,6
2022-01-07,5
2022-01-08,8
2022-01-09,8
2022-01-10,7
2022-01-11,11
2022-01-12,20
2022-01-13,13
2022-01-14,17
2022-01-15,30
2022-01-16,22
2022-01-17,19
2022-01-18,21
2022-01-19,21
2022-01-20,18
2022-01-21,18
2022-01-22,27
2022-01-23,25
2022-01-24,27
2022-01-25,15
2022-01-26,17
2022-01-27,29
2022-01-28,66
2022-01-29,76
2022-01-30,74
2022-01-31,43
2022-02-01,31
2022-02-02,28
2022-02-03,27
2022-02-04,23
2022-02-05,29
2022-02-06,28
2022-02-07,23
2022-02-08,15
2022-02-09,20
2022-02-10,13
2022-02-11,14
2022-02-12,19
2022-02-13,16
2022-02-14,11
2022-02-15,13
2022-02-16,14
2022-02-17,14
2022-02-18,12
2022-02-19,17
2022-02-20,17
2022-02-21,15
2022-02-22,14
2022-02-23,12
2022-02-24,11
2022-02-25,13
2022-02-26,14
2022-02-27,17
2022-02-28,12
2022-03-01,13
2022-03-02,13
2022-03-03,13
2022-03-04,10
2022-03-05,17
2022-03-06,18
2022-03-07,13
2022-03-08,12
2022-03-09,14
2022-03-10,16
2022-03-11,17
2022-03-12,20
2022-03-13,23
2022-03-14,20
2022-03-15,20
2022-03-16,25
2022-03-17,25
2022-03-18,31
2022-03-19,43
2022-03-20,42
2022-03-21,27
2022-03-22,29
2022-03-23,22
2022-03-24,20
2022-03-25,16
2022-03-26,22
2022-03-27,26
2022-03-28,15
2022-03-29,15
2022-03-30,13
2022-03-31,12
2022-04-01,12
2022-04-02,16
2022-04-03,17
2022-04-04,13
2022-04-05,12
2022-04-06,11
2022-04-07,11
2022-04-08,10
2022-04-09,12
2022-04-10,14
2022-04-11,13
2022-04-12,10
2022-04-13,10
2022-04-14,16
2022-04-15,19
2022-04-16,21
2022-04-17,21
2022-04-18,17
2022-04-19,13
2022-04-20,13
2022-04-21,13
2022-04-22,14
2022-04-23,17
2022-04-24,13
2022-04-25,12
2022-04-26,12
2022-04-27,12
2022-04-28,9
2022-04-29,12
2022-04-30,14
2022-05-01,13
2022-05-02,12
2022-05-03,17
2022-05-04,16
2022-05-05,12
2022-05-06,10
2022-05-07,12
2022-05-08,27
2022-05-09,16
2022-05-10,12
2022-05-11,11
2022-05-12,9
2022-05-13,10
2022-05-14,10
2022-05-15,12
2022-05-16,11
2022-05-17,11
2022-05-18,10
2022-05-19,9
2022-05-20,10
2022-05-21,11
2022-05-22,13
2022-05-23,10
2022-05-24,11
2022-05-25,10
2022-05-26,16
2022-05-27,16
2022-05-28,20
2022-05-29,18
2022-05-30,15
2022-05-31,11
2022-06-01,14
2022-06-02,16
2022-06-03,13
2022-06-04,14
2022-06-05,14
2022-06-06,78
2022-06-07,74
2022-06-08,28
2022-06-09,19
2022-06-10,16
2022-06-11,17
2022-06-12,21
2022-06-13,17
2022-06-14,14
2022-06-15,14
2022-06-16,14
2022-06-17,12
2022-06-18,15
2022-06-19,15
2022-06-20,14
2022-06-21,13
2022-06-22,10
2022-06-23,11
2022-06-24,9
2022-06-25,12
2022-06-26,12
2022-06-27,9
2022-06-28,11
2022-06-29,18
2022-06-30,12
2022-07-01,11
2022-07-02,13
2022-07-03,15
2022-07-04,12
2022-07-05,13
2022-07-06,11
2022-07-07,11
2022-07-08,17
2022-07-09,31
2022-07-10,42
2022-07-11,24
2022-07-12,19
2022-07-13,11
2022-07-14,12
2022-07-15,12
2022-07-16,12
2022-07-17,15
2022-07-18,12
2022-07-19,15
2022-07-20,12
2022-07-21,14
2022-07-22,15
2022-07-23,16
2022-07-24,15
2022-07-25,13
2022-07-26,13
2022-07-27,18
2022-07-28,14
2022-07-29,15
2022-07-30,14
2022-07-31,16
2022-08-01,14
2022-08-02,13
2022-08-03,13
2022-08-04,12
2022-08-05,14
2022-08-06,24
2022-08-07,26
2022-08-08,17
2022-08-09,16
2022-08-10,15
2022-08-11,14
2022-08-12,11
2022-08-13,12
2022-08-14,13
2022-08-15,11
2022-08-16,33
2022-08-17,92
2022-08-18,100
2022-08-19,61
2022-08-20,43
2022-08-21,35
2022-08-22,27
2022-08-23,19
2022-08-24,26
2022-08-25,26
2022-08-26,27
2022-08-27,25
2022-08-28,26
2022-08-29,17
2022-08-30,14
2022-08-31,13
2022-09-01,13
2022-09-02,16
2022-09-03,19
2022-09-04,18
2022-09-05,20
2022-09-06,16
2022-09-07,15
2022-09-08,12
2022-09-09,10
2022-09-10,15
2022-09-11,20
2022-09-12,13
2022-09-13,14
2022-09-14,13
2022-09-15,19
2022-09-16,16
2022-09-17,21
2022-09-18,21
2022-09-19,17
2022-09-20,15
2022-09-21,16
2022-09-22,14
2022-09-23,14
2022-09-24,20
2022-09-25,21
2022-09-26,15
2022-09-27,19
