Time,atlanta_falcons
2022-01-01,9.0
2022-01-02,48.0
2022-01-03,14.0
2022-01-04,9.0
2022-01-05,7.0
2022-01-06,5.0
2022-01-07,7.0
2022-01-08,10.0
2022-01-09,42.0
2022-01-10,22.0
2022-01-11,9.0
2022-01-12,7.0
2022-01-13,9.0
2022-01-14,5.0
2022-01-15,7.0
2022-01-16,12.0
2022-01-17,8.0
2022-01-18,6.0
2022-01-19,5.0
2022-01-20,5.0
2022-01-21,4.0
2022-01-22,6.0
2022-01-23,11.0
2022-01-24,7.0
2022-01-25,5.0
2022-01-26,5.0
2022-01-27,5.0
2022-01-28,5.0
2022-01-29,6.0
2022-01-30,7.0
2022-01-31,7.0
2022-02-01,6.0
2022-02-02,6.0
2022-02-03,5.0
2022-02-04,5.0
2022-02-05,6.0
2022-02-06,6.0
2022-02-07,6.0
2022-02-08,5.0
2022-02-09,4.0
2022-02-10,4.0
2022-02-11,4.0
2022-02-12,5.0
2022-02-13,6.0
2022-02-14,7.0
2022-02-15,5.0
2022-02-16,5.0
2022-02-17,5.0
2022-02-18,4.0
2022-02-19,4.0
2022-02-20,4.0
2022-02-21,5.0
2022-02-22,4.0
2022-02-23,4.0
2022-02-24,4.0
2022-02-25,4.0
2022-02-26,4.0
2022-02-27,4.0
2022-02-28,5.0
2022-03-01,4.0
2022-03-02,4.0
2022-03-03,5.0
2022-03-04,4.0
2022-03-05,4.0
2022-03-06,4.0
2022-03-07,8.0
2022-03-08,10.0
2022-03-09,7.0
2022-03-10,6.0
2022-03-11,6.0
2022-03-12,7.0
2022-03-13,6.0
2022-03-14,9.0
2022-03-15,13.0
2022-03-16,21.0
2022-03-17,33.0
2022-03-18,36.0
2022-03-19,18.0
2022-03-20,13.0
2022-03-21,38.0
2022-03-22,24.0
2022-03-23,17.0
2022-03-24,12.0
2022-03-25,10.0
2022-03-26,11.0
2022-03-27,9.0
2022-03-28,7.0
2022-03-29,8.0
2022-03-30,8.0
2022-03-31,7.0
2022-04-01,7.0
2022-04-02,7.0
2022-04-03,8.0
2022-04-04,7.0
2022-04-05,7.0
2022-04-06,7.0
2022-04-07,7.0
2022-04-08,7.0
2022-04-09,7.0
2022-04-10,6.0
2022-04-11,6.0
2022-04-12,6.0
2022-04-13,5.0
2022-04-14,7.0
2022-04-15,6.0
2022-04-16,7.0
2022-04-17,7.0
2022-04-18,6.0
2022-04-19,7.0
2022-04-20,10.0
2022-04-21,8.0
2022-04-22,6.0
2022-04-23,8.0
2022-04-24,7.0
2022-04-25,7.0
2022-04-26,6.0
2022-04-27,7.0
2022-04-28,11.0
2022-04-29,41.0
2022-04-30,49.0
2022-05-01,21.0
2022-05-02,12.0
2022-05-03,9.0
2022-05-04,8.0
2022-05-05,8.0
2022-05-06,7.0
2022-05-07,6.0
2022-05-08,7.0
2022-05-09,8.0
2022-05-10,7.0
2022-05-11,7.0
2022-05-12,10.0
2022-05-13,18.0
2022-05-14,11.0
2022-05-15,9.0
2022-05-16,9.0
2022-05-17,7.0
2022-05-18,9.0
2022-05-19,7.0
2022-05-20,7.0
2022-05-21,6.0
2022-05-22,6.0
