Time,charitable
2022-01-01,33.0
2022-01-02,30.0
2022-01-03,44.0
2022-01-04,58.0
2022-01-05,59.0
2022-01-06,42.0
2022-01-07,46.0
2022-01-08,25.0
2022-01-09,22.0
2022-01-10,46.0
2022-01-11,55.0
2022-01-12,51.0
2022-01-13,56.0
2022-01-14,37.0
2022-01-15,27.0
2022-01-16,21.0
2022-01-17,36.0
2022-01-18,42.0
2022-01-19,49.0
2022-01-20,50.0
2022-01-21,47.0
2022-01-22,34.0
2022-01-23,34.0
2022-01-24,70.0
2022-01-25,62.0
2022-01-26,63.0
2022-01-27,59.0
2022-01-28,62.0
2022-01-29,45.0
2022-01-30,47.0
2022-01-31,63.0
2022-02-01,77.0
2022-02-02,65.0
2022-02-03,68.0
2022-02-04,66.0
2022-02-05,55.0
2022-02-06,56.0
2022-02-07,77.0
2022-02-08,71.0
2022-02-09,71.0
2022-02-10,58.0
2022-02-11,68.0
2022-02-12,51.0
2022-02-13,50.0
2022-02-14,61.0
2022-02-15,75.0
2022-02-16,77.0
2022-02-17,71.0
2022-02-18,65.0
2022-02-19,55.0
2022-02-20,56.0
2022-02-21,62.0
2022-02-22,65.0
2022-02-23,66.0
2022-02-24,61.0
2022-02-25,63.0
2022-02-26,55.0
2022-02-27,57.0
2022-02-28,67.0
2022-03-01,68.0
2022-03-02,64.0
2022-03-03,65.0
2022-03-04,58.0
2022-03-05,46.0
2022-03-06,51.0
2022-03-07,70.0
2022-03-08,64.0
2022-03-09,73.0
2022-03-10,63.0
2022-03-11,62.0
2022-03-12,53.0
2022-03-13,50.0
2022-03-14,67.0
2022-03-15,66.0
2022-03-16,65.0
2022-03-17,58.0
2022-03-18,58.0
2022-03-19,50.0
2022-03-20,49.0
2022-03-21,64.0
2022-03-22,69.0
2022-03-23,71.0
2022-03-24,63.0
2022-03-25,58.0
2022-03-26,49.0
2022-03-27,54.0
2022-03-28,68.0
2022-03-29,67.0
2022-03-30,67.0
2022-03-31,67.0
2022-04-01,60.0
2022-04-02,54.0
2022-04-03,55.0
2022-04-04,71.0
2022-04-05,72.0
2022-04-06,72.0
2022-04-07,68.0
2022-04-08,60.0
2022-04-09,61.0
2022-04-10,65.0
2022-04-11,78.0
2022-04-12,73.0
2022-04-13,71.0
2022-04-14,73.0
2022-04-15,74.0
2022-04-16,68.0
2022-04-17,67.0
2022-04-18,100.0
2022-04-19,61.0
2022-04-20,46.0
2022-04-21,45.0
2022-04-22,37.0
2022-04-23,24.0
2022-04-24,26.0
2022-04-25,46.0
2022-04-26,51.0
2022-04-27,47.0
2022-04-28,51.0
2022-04-29,36.0
2022-04-30,25.0
2022-05-01,27.0
2022-05-02,48.0
2022-05-03,51.0
2022-05-04,46.0
2022-05-05,44.0
2022-05-06,36.0
2022-05-07,27.0
2022-05-08,21.0
2022-05-09,43.0
2022-05-10,41.0
2022-05-11,47.0
2022-05-12,46.0
2022-05-13,39.0
2022-05-14,21.0
2022-05-15,20.0
2022-05-16,46.0
2022-05-17,42.0
2022-05-18,45.0
2022-05-19,39.0
2022-05-20,39.0
2022-05-21,22.0
2022-05-22,19.0
2022-05-23,38.0
2022-05-24,42.0
2022-05-25,34.0
2022-05-26,37.0
2022-05-27,31.0
2022-05-28,17.0
2022-05-29,16.0
2022-05-30,17.0
2022-05-31,38.0
2022-06-01,38.0
2022-06-02,40.0
2022-06-03,31.0
2022-06-04,21.0
2022-06-05,18.0
2022-06-06,37.0
2022-06-07,39.0
2022-06-08,44.0
2022-06-09,39.0
2022-06-10,35.0
2022-06-11,22.0
2022-06-12,15.0
2022-06-13,37.0
2022-06-14,38.0
2022-06-15,41.0
2022-06-16,37.0
2022-06-17,29.0
2022-06-18,16.0
2022-06-19,20.0
2022-06-20,31.0
2022-06-21,36.0
2022-06-22,41.0
2022-06-23,40.0
2022-06-24,31.0
2022-06-25,19.0
2022-06-26,24.0
2022-06-27,37.0
2022-06-28,40.0
2022-06-29,34.0
2022-06-30,39.0
2022-07-01,28.0
2022-07-02,19.0
2022-07-03,14.0
2022-07-04,18.0
2022-07-05,33.0
2022-07-06,37.0
2022-07-07,39.0
2022-07-08,35.0
2022-07-09,17.0
2022-07-10,16.0
2022-07-11,43.0
2022-07-12,37.0
2022-07-13,41.0
2022-07-14,36.0
2022-07-15,39.0
2022-07-16,32.0
2022-07-17,28.0
2022-07-18,40.0
2022-07-19,42.0
2022-07-20,45.0
2022-07-21,39.0
2022-07-22,36.0
2022-07-23,21.0
2022-07-24,17.0
2022-07-25,43.0
2022-07-26,36.0
2022-07-27,38.0
2022-07-28,36.0
2022-07-29,39.0
2022-07-30,22.0
2022-07-31,21.0
2022-08-01,38.0
2022-08-02,39.0
2022-08-03,42.0
2022-08-04,42.0
2022-08-05,33.0
2022-08-06,22.0
2022-08-07,18.0
2022-08-08,32.0
2022-08-09,43.0
2022-08-10,40.0
2022-08-11,37.0
2022-08-12,43.0
2022-08-13,26.0
2022-08-14,18.0
2022-08-15,39.0
2022-08-16,47.0
2022-08-17,40.0
2022-08-18,37.0
2022-08-19,37.0
2022-08-20,32.0
2022-08-21,21.0
2022-08-22,56.0
2022-08-23,57.0
2022-08-24,44.0
2022-08-25,44.0
2022-08-26,32.0
2022-08-27,20.0
2022-08-28,21.0
2022-08-29,39.96428571428571
2022-08-30,43.88392857142857
2022-08-31,45.15178571428571
2022-09-01,40.348214285714285
2022-09-02,31.241071428571427
2022-09-03,23.901785714285715
2022-09-04,19.982142857142854
2022-09-05,23.901785714285715
2022-09-06,39.08035714285714
2022-09-07,41.732142857142854
2022-09-08,43.0
2022-09-09,43.88392857142857
2022-09-10,22.63392857142857
2022-09-11,24.285714285714285
2022-09-12,43.88392857142857
2022-09-13,49.95535714285714
2022-09-14,45.15178571428571
2022-09-15,43.0
2022-09-16,36.92857142857143
2022-09-17,22.13392857142857
2022-09-18,20.866071428571427
2022-09-19,43.0
2022-09-20,48.1875
2022-09-21,43.0
2022-09-22,43.88392857142857
2022-09-23,42.11607142857143
2022-09-24,22.13392857142857
2022-09-25,21.25
2022-09-26,39.96428571428571
2022-09-27,42.232142857142854
2022-09-28,47.607142857142854
2022-09-29,45.30357142857142
2022-09-30,40.69642857142857
2022-10-01,29.94642857142857
2022-10-02,28.410714285714285
2022-10-03,48.37499999999999
2022-10-04,50.67857142857142
2022-10-05,50.67857142857142
2022-10-06,49.910714285714285
2022-10-07,44.535714285714285
2022-10-08,26.107142857142854
2022-10-09,25.33928571428571
2022-10-10,51.44642857142857
2022-10-11,51.44642857142857
2022-10-12,52.982142857142854
2022-10-13,54.51785714285714
2022-10-14,46.83928571428571
2022-10-15,24.57142857142857
2022-10-16,29.178571428571427
2022-10-17,48.37499999999999
2022-10-18,52.21428571428571
2022-10-19,49.910714285714285
2022-10-20,49.910714285714285
2022-10-21,41.46428571428571
2022-10-22,24.57142857142857
2022-10-23,26.107142857142854
2022-10-24,47.607142857142854
2022-10-25,50.67857142857142
2022-10-26,49.14285714285714
2022-10-27,46.07142857142857
2022-10-28,46.07142857142857
2022-10-29,23.035714285714285
2022-10-30,24.57142857142857
2022-10-31,45.30357142857142
2022-11-01,51.44642857142857
2022-11-02,53.74999999999999
2022-11-03,49.14285714285714
2022-11-04,41.46428571428571
2022-11-05,30.71428571428571
2022-11-06,24.57142857142857
2022-11-07,50.67857142857142
2022-11-08,52.982142857142854
2022-11-09,46.07142857142857
2022-11-10,46.83928571428571
2022-11-11,45.30357142857142
2022-11-12,31.482142857142854
2022-11-13,26.874999999999996
2022-11-14,52.21428571428571
2022-11-15,56.82142857142857
2022-11-16,49.14285714285714
2022-11-17,50.67857142857142
2022-11-18,46.83928571428571
2022-11-19,30.71428571428571
2022-11-20,25.33928571428571
2022-11-21,43.76785714285714
2022-11-22,41.46428571428571
2022-11-23,38.39285714285714
2022-11-24,20.732142857142854
2022-11-25,23.803571428571427
2022-11-26,24.57142857142857
2022-11-27,24.57142857142857
2022-11-28,56.05357142857142
2022-11-29,68.33928571428571
2022-11-30,62.96428571428571
2022-12-01,58.357142857142854
2022-12-02,49.910714285714285
2022-12-03,34.55357142857142
2022-12-04,27.64285714285714
2022-12-05,55.28571428571428
2022-12-06,60.66071428571428
2022-12-07,57.58928571428571
2022-12-08,56.82142857142857
2022-12-09,44.535714285714285
2022-12-10,32.25
2022-12-11,29.94642857142857
2022-12-12,62.19642857142857
2022-12-13,63.732142857142854
2022-12-14,59.12499999999999
2022-12-15,62.19642857142857
2022-12-16,50.67857142857142
2022-12-17,31.482142857142854
2022-12-18,24.57142857142857
2022-12-19,54.51785714285714
2022-12-20,55.28571428571428
2022-12-21,43.76785714285714
2022-12-22,45.30357142857142
2022-12-23,38.39285714285714
2022-12-24,19.96428571428571
2022-12-25,17.660714285714285
2022-12-26,31.482142857142854
2022-12-27,62.96428571428571
2022-12-28,56.05357142857142
2022-12-29,52.982142857142854
2022-12-30,55.28571428571428
2022-12-31,51.44642857142857
2023-01-01,30.71428571428571
2023-01-02,32.25
2023-01-03,43.0
2023-01-04,57.58928571428571
2023-01-05,47.607142857142854
2023-01-06,39.92857142857142
2023-01-07,30.71428571428571
2023-01-08,28.410714285714285
2023-01-09,49.910714285714285
2023-01-10,48.37499999999999
2023-01-11,49.910714285714285
2023-01-12,49.14285714285714
2023-01-13,43.76785714285714
2023-01-14,33.785714285714285
2023-01-15,28.410714285714285
2023-01-16,35.32142857142857
2023-01-17,48.37499999999999
2023-01-18,52.982142857142854
2023-01-19,59.12499999999999
2023-01-20,52.982142857142854
2023-01-21,33.785714285714285
2023-01-22,38.39285714285714
2023-01-23,68.33928571428571
2023-01-24,65.26785714285714
2023-01-25,64.5
2023-01-26,64.5
2023-01-27,65.26785714285714
2023-01-28,43.76785714285714
2023-01-29,40.69642857142857
2023-01-30,62.96428571428571
2023-01-31,75.25
2023-02-01,69.10714285714285
2023-02-02,63.732142857142854
2023-02-03,62.96428571428571
2023-02-04,46.07142857142857
2023-02-05,49.910714285714285
2023-02-06,66.80357142857142
2023-02-07,71.41071428571428
2023-02-08,62.19642857142857
2023-02-09,68.33928571428571
2023-02-10,59.89285714285714
2023-02-11,49.14285714285714
2023-02-12,42.232142857142854
2023-02-13,61.42857142857142
2023-02-14,60.66071428571428
2023-02-15,72.17857142857142
2023-02-16,66.03571428571428
2023-02-17,63.732142857142854
2023-02-18,46.83928571428571
2023-02-19,43.0
2023-02-20,58.357142857142854
2023-02-21,61.42857142857142
2023-02-22,62.96428571428571
2023-02-23,62.19642857142857
2023-02-24,62.19642857142857
2023-02-25,52.21428571428571
2023-02-26,47.607142857142854
2023-02-27,63.732142857142854
2023-02-28,66.80357142857142
2023-03-01,58.357142857142854
2023-03-02,62.19642857142857
2023-03-03,60.66071428571428
2023-03-04,49.14285714285714
2023-03-05,46.83928571428571
2023-03-06,56.82142857142857
2023-03-07,62.96428571428571
2023-03-08,63.732142857142854
2023-03-09,59.89285714285714
2023-03-10,54.51785714285714
2023-03-11,43.0
2023-03-12,43.76785714285714
2023-03-13,61.42857142857142
2023-03-14,62.96428571428571
2023-03-15,63.732142857142854
2023-03-16,59.89285714285714
2023-03-17,56.05357142857142
2023-03-18,47.607142857142854
2023-03-19,49.14285714285714
2023-03-20,62.96428571428571
2023-03-21,62.96428571428571
2023-03-22,62.19642857142857
2023-03-23,63.732142857142854
2023-03-24,53.74999999999999
2023-03-25,54.51785714285714
2023-03-26,49.910714285714285
2023-03-27,62.96428571428571
2023-03-28,56.82142857142857
2023-03-29,64.5
2023-03-30,62.19642857142857
2023-03-31,50.67857142857142
2023-04-01,49.910714285714285
2023-04-02,46.83928571428571
2023-04-03,68.33928571428571
2023-04-04,60.66071428571428
2023-04-05,58.357142857142854
2023-04-06,62.96428571428571
2023-04-07,60.66071428571428
2023-04-08,51.44642857142857
2023-04-09,40.69642857142857
2023-04-10,72.17857142857142
2023-04-11,69.10714285714285
2023-04-12,64.5
2023-04-13,64.5
2023-04-14,66.03571428571428
2023-04-15,56.82142857142857
2023-04-16,56.82142857142857
2023-04-17,75.25
2023-04-18,76.78571428571428
2023-04-19,56.82142857142857
2023-04-20,46.07142857142857
2023-04-21,39.160714285714285
2023-04-22,24.57142857142857
2023-04-23,24.57142857142857
2023-04-24,43.0
2023-04-25,42.232142857142854
2023-04-26,46.13878446115288
2023-04-27,41.90883458646616
2023-04-28,36.19705513784461
2023-04-29,22.355419799498748
2023-04-30,25.211309523809522
2023-05-01,45.094768170426065
2023-05-02,45.80874060150376
2023-05-03,46.52271303258145
2023-05-04,50.75266290726817
2023-05-05,39.052944862155385
2023-05-06,23.06939223057644
2023-05-07,22.025375939849624
2023-05-08,46.85275689223057
2023-05-09,46.52271303258145
2023-05-10,45.42481203007519
2023-05-11,41.90883458646616
2023-05-12,37.625
2023-05-13,18.455513784461154
2023-05-14,18.455513784461154
