Time,riches
2022-01-01,29.0
2022-01-02,26.0
2022-01-03,24.0
2022-01-04,31.0
2022-01-05,31.0
2022-01-06,21.0
2022-01-07,25.0
2022-01-08,31.0
2022-01-09,32.0
2022-01-10,25.0
2022-01-11,23.0
2022-01-12,22.0
2022-01-13,30.0
2022-01-14,25.0
2022-01-15,26.0
2022-01-16,22.0
2022-01-17,25.0
2022-01-18,27.0
2022-01-19,24.0
2022-01-20,27.0
2022-01-21,25.0
2022-01-22,31.0
2022-01-23,30.0
2022-01-24,22.0
2022-01-25,24.0
2022-01-26,24.0
2022-01-27,28.0
2022-01-28,29.0
2022-01-29,31.0
2022-01-30,33.0
2022-01-31,27.0
2022-02-01,24.0
2022-02-02,29.0
2022-02-03,28.0
2022-02-04,33.0
2022-02-05,31.0
2022-02-06,27.0
2022-02-07,31.0
2022-02-08,31.0
2022-02-09,25.0
2022-02-10,27.0
2022-02-11,30.0
2022-02-12,32.0
2022-02-13,31.0
2022-02-14,29.0
2022-02-15,27.0
2022-02-16,28.0
2022-02-17,33.0
2022-02-18,25.0
2022-02-19,29.0
2022-02-20,32.0
2022-02-21,30.0
2022-02-22,28.0
2022-02-23,32.0
2022-02-24,26.0
2022-02-25,32.0
2022-02-26,30.0
2022-02-27,27.0
2022-02-28,29.0
2022-03-01,29.0
2022-03-02,29.0
2022-03-03,31.0
2022-03-04,27.0
2022-03-05,31.0
2022-03-06,27.0
2022-03-07,26.0
2022-03-08,31.0
2022-03-09,28.0
2022-03-10,29.0
2022-03-11,28.0
2022-03-12,32.0
2022-03-13,29.0
2022-03-14,31.0
2022-03-15,29.0
2022-03-16,28.0
2022-03-17,30.0
2022-03-18,33.0
2022-03-19,30.0
2022-03-20,28.0
2022-03-21,25.0
2022-03-22,30.0
2022-03-23,30.0
2022-03-24,32.0
2022-03-25,31.0
2022-03-26,28.0
2022-03-27,33.0
2022-03-28,28.0
2022-03-29,31.0
2022-03-30,29.0
2022-03-31,31.0
2022-04-01,29.0
2022-04-02,29.0
2022-04-03,29.0
2022-04-04,32.0
2022-04-05,32.0
2022-04-06,33.0
2022-04-07,31.0
2022-04-08,28.0
2022-04-09,31.0
2022-04-10,28.0
2022-04-11,29.0
2022-04-12,33.0
2022-04-13,29.0
2022-04-14,33.0
2022-04-15,28.0
2022-04-16,32.0
2022-04-17,34.0
2022-04-18,32.0
2022-04-19,28.0
2022-04-20,29.0
2022-04-21,27.0
2022-04-22,27.0
2022-04-23,28.0
2022-04-24,32.0
2022-04-25,32.0
2022-04-26,32.0
2022-04-27,31.0
2022-04-28,32.0
