Time,expensive
2022-01-01,73.0
2022-01-02,71.0
2022-01-03,61.0
2022-01-04,78.0
2022-01-05,73.0
2022-01-06,64.0
2022-01-07,75.0
2022-01-08,72.0
2022-01-09,84.0
2022-01-10,61.0
2022-01-11,74.0
2022-01-12,71.0
2022-01-13,83.0
2022-01-14,58.0
2022-01-15,75.0
2022-01-16,64.0
2022-01-17,62.0
2022-01-18,61.0
2022-01-19,62.0
2022-01-20,64.0
2022-01-21,64.0
2022-01-22,77.0
2022-01-23,77.0
2022-01-24,87.0
2022-01-25,61.0
2022-01-26,67.0
2022-01-27,64.0
2022-01-28,65.0
2022-01-29,81.0
2022-01-30,77.0
2022-01-31,70.0
2022-02-01,67.0
2022-02-02,66.0
2022-02-03,64.0
2022-02-04,71.0
2022-02-05,76.0
2022-02-06,76.0
2022-02-07,73.0
2022-02-08,75.0
2022-02-09,62.0
2022-02-10,61.0
2022-02-11,71.0
2022-02-12,83.0
2022-02-13,85.0
2022-02-14,88.0
2022-02-15,79.0
2022-02-16,78.0
2022-02-17,79.0
2022-02-18,79.0
2022-02-19,88.0
2022-02-20,92.0
2022-02-21,84.0
2022-02-22,80.0
2022-02-23,78.0
2022-02-24,70.0
2022-02-25,67.0
2022-02-26,80.0
2022-02-27,82.0
2022-02-28,76.0
2022-03-01,72.0
2022-03-02,75.0
2022-03-03,83.0
2022-03-04,82.0
2022-03-05,94.0
2022-03-06,100.0
2022-03-07,98.0
2022-03-08,100.0
2022-03-09,97.0
2022-03-10,92.0
2022-03-11,93.0
2022-03-12,88.0
2022-03-13,88.0
2022-03-14,81.0
2022-03-15,82.0
2022-03-16,71.0
2022-03-17,74.0
2022-03-18,74.0
2022-03-19,86.0
2022-03-20,89.0
2022-03-21,75.0
2022-03-22,75.0
2022-03-23,79.0
2022-03-24,75.0
2022-03-25,81.0
2022-03-26,86.0
2022-03-27,87.0
2022-03-28,76.0
2022-03-29,79.0
2022-03-30,82.0
2022-03-31,81.0
2022-04-01,77.0
2022-04-02,83.0
2022-04-03,91.0
2022-04-04,82.0
2022-04-05,83.0
2022-04-06,80.0
2022-04-07,85.0
2022-04-08,80.0
2022-04-09,87.0
2022-04-10,89.0
2022-04-11,71.0
2022-04-12,77.0
2022-04-13,71.0
2022-04-14,80.0
2022-04-15,83.0
2022-04-16,89.0
2022-04-17,93.0
2022-04-18,87.0
2022-04-19,82.0
2022-04-20,80.0
2022-04-21,83.0
2022-04-22,82.0
2022-04-23,89.0
2022-04-24,91.0
2022-04-25,82.0
2022-04-26,86.0
2022-04-27,82.0
2022-04-28,84.0
2022-04-29,87.0
2022-04-30,89.0
2022-05-01,92.0
2022-05-02,87.0
2022-05-03,82.0
2022-05-04,86.0
2022-05-05,84.0
2022-05-06,72.0
2022-05-07,92.0
2022-05-08,88.0
2022-05-09,87.0
2022-05-10,88.0
2022-05-11,91.0
2022-05-12,77.0
2022-05-13,73.0
2022-05-14,77.0
2022-05-15,77.0
2022-05-16,79.0
2022-05-17,76.0
2022-05-18,81.0
2022-05-19,81.0
2022-05-20,80.0
2022-05-21,74.0
2022-05-22,84.0
2022-05-23,77.0
2022-05-24,81.0
2022-05-25,70.0
2022-05-26,71.0
2022-05-27,64.0
2022-05-28,74.0
2022-05-29,74.0
2022-05-30,77.0
2022-05-31,70.0
2022-06-01,70.0
2022-06-02,70.0
2022-06-03,72.0
2022-06-04,77.0
2022-06-05,80.0
2022-06-06,78.0
2022-06-07,79.0
2022-06-08,81.0
2022-06-09,82.0
2022-06-10,73.0
2022-06-11,78.0
2022-06-12,83.0
2022-06-13,73.0
2022-06-14,72.0
2022-06-15,70.0
2022-06-16,69.0
2022-06-17,65.0
2022-06-18,71.0
2022-06-19,82.0
2022-06-20,73.0
2022-06-21,69.0
2022-06-22,71.0
2022-06-23,71.0
2022-06-24,63.0
2022-06-25,69.0
2022-06-26,82.0
2022-06-27,62.0
2022-06-28,65.0
2022-06-29,67.0
2022-06-30,65.0
2022-07-01,65.0
2022-07-02,71.0
2022-07-03,69.0
2022-07-04,73.0
2022-07-05,61.0
2022-07-06,63.0
2022-07-07,65.0
2022-07-08,68.0
2022-07-09,78.0
2022-07-10,78.0
2022-07-11,69.0
2022-07-12,71.0
2022-07-13,68.0
2022-07-14,70.0
2022-07-15,67.0
2022-07-16,72.0
2022-07-17,79.0
2022-07-18,70.0
2022-07-19,68.0
2022-07-20,68.0
2022-07-21,72.0
2022-07-22,71.0
2022-07-23,77.0
2022-07-24,76.0
2022-07-25,74.0
2022-07-26,72.0
2022-07-27,68.0
2022-07-28,61.0
2022-07-29,73.0
2022-07-30,72.0
2022-07-31,79.0
2022-08-01,69.0
2022-08-02,67.0
2022-08-03,62.0
2022-08-04,72.0
2022-08-05,67.0
2022-08-06,74.0
2022-08-07,74.0
2022-08-08,71.0
2022-08-09,68.0
2022-08-10,69.0
2022-08-11,73.0
2022-08-12,61.0
2022-08-13,72.0
2022-08-14,74.0
2022-08-15,69.0
2022-08-16,64.0
2022-08-17,63.0
2022-08-18,68.0
2022-08-19,67.0
2022-08-20,76.0
2022-08-21,80.0
2022-08-22,66.0
2022-08-23,65.0
2022-08-24,69.0
2022-08-25,72.0
2022-08-26,68.0
2022-08-27,80.0
2022-08-28,75.0
2022-08-29,68.9927536231884
2022-08-30,68.0
2022-08-31,68.0
2022-09-01,68.5
2022-09-02,67.0072463768116
2022-09-03,68.0
2022-09-04,69.98550724637681
2022-09-05,72.96376811594203
2022-09-06,66.01449275362319
2022-09-07,68.0
2022-09-08,62.04347826086956
2022-09-09,64.02898550724638
2022-09-10,69.4927536231884
2022-09-11,65.02173913043478
2022-09-12,67.0072463768116
2022-09-13,65.02173913043478
2022-09-14,68.0
2022-09-15,68.9927536231884
2022-09-16,67.0072463768116
2022-09-17,72.96376811594203
2022-09-18,68.9927536231884
2022-09-19,68.5
2022-09-20,66.01449275362319
2022-09-21,70.97826086956522
2022-09-22,69.4927536231884
2022-09-23,66.01449275362319
2022-09-24,69.98550724637681
2022-09-25,72.96376811594203
2022-09-26,64.02898550724638
2022-09-27,63.072463768115945
2022-09-28,62.08695652173913
2022-09-29,63.072463768115945
2022-09-30,63.072463768115945
2022-10-01,66.02898550724638
2022-10-02,67.01449275362319
2022-10-03,68.0
2022-10-04,67.01449275362319
2022-10-05,66.02898550724638
2022-10-06,68.98550724637681
2022-10-07,69.97101449275362
2022-10-08,69.97101449275362
2022-10-09,68.0
2022-10-10,66.02898550724638
2022-10-11,68.98550724637681
2022-10-12,65.04347826086956
2022-10-13,73.91304347826087
2022-10-14,70.95652173913044
2022-10-15,62.08695652173913
2022-10-16,67.01449275362319
2022-10-17,70.95652173913044
2022-10-18,69.97101449275362
2022-10-19,69.97101449275362
2022-10-20,67.01449275362319
2022-10-21,65.04347826086956
2022-10-22,67.01449275362319
2022-10-23,68.98550724637681
2022-10-24,66.02898550724638
2022-10-25,68.98550724637681
2022-10-26,70.95652173913044
2022-10-27,69.97101449275362
2022-10-28,66.02898550724638
2022-10-29,62.08695652173913
2022-10-30,66.02898550724638
2022-10-31,62.08695652173913
2022-11-01,64.05797101449275
2022-11-02,70.95652173913044
2022-11-03,69.97101449275362
2022-11-04,70.95652173913044
2022-11-05,68.98550724637681
2022-11-06,75.8840579710145
2022-11-07,69.97101449275362
2022-11-08,63.072463768115945
2022-11-09,61.10144927536232
2022-11-10,64.05797101449275
2022-11-11,68.98550724637681
2022-11-12,68.0
2022-11-13,68.98550724637681
2022-11-14,71.94202898550725
2022-11-15,69.97101449275362
2022-11-16,70.95652173913044
2022-11-17,71.94202898550725
2022-11-18,71.94202898550725
2022-11-19,67.01449275362319
2022-11-20,64.05797101449275
2022-11-21,67.01449275362319
2022-11-22,65.04347826086956
2022-11-23,65.04347826086956
2022-11-24,70.95652173913044
2022-11-25,68.98550724637681
2022-11-26,72.92753623188406
2022-11-27,76.86956521739131
2022-11-28,68.98550724637681
2022-11-29,69.97101449275362
2022-11-30,68.98550724637681
2022-12-01,71.94202898550725
2022-12-02,68.0
2022-12-03,68.0
2022-12-04,71.94202898550725
2022-12-05,73.91304347826087
2022-12-06,74.89855072463769
2022-12-07,73.91304347826087
2022-12-08,75.8840579710145
2022-12-09,68.98550724637681
2022-12-10,71.94202898550725
2022-12-11,74.89855072463769
2022-12-12,72.92753623188406
2022-12-13,71.94202898550725
2022-12-14,68.98550724637681
2022-12-15,70.95652173913044
2022-12-16,73.91304347826087
2022-12-17,69.97101449275362
2022-12-18,67.01449275362319
2022-12-19,69.97101449275362
2022-12-20,68.98550724637681
2022-12-21,68.98550724637681
2022-12-22,65.04347826086956
2022-12-23,69.97101449275362
2022-12-24,76.86956521739131
2022-12-25,80.81159420289856
2022-12-26,76.86956521739131
2022-12-27,77.85507246376812
2022-12-28,75.8840579710145
2022-12-29,80.81159420289856
2022-12-30,75.8840579710145
2022-12-31,81.79710144927536
2023-01-01,71.94202898550725
2023-01-02,82.78260869565217
2023-01-03,71.94202898550725
2023-01-04,85.73913043478261
2023-01-05,81.79710144927536
2023-01-06,91.65217391304348
2023-01-07,88.69565217391305
2023-01-08,98.55072463768117
2023-01-09,91.65217391304348
2023-01-10,86.72463768115942
2023-01-11,94.60869565217392
2023-01-12,92.6376811594203
2023-01-13,87.71014492753623
2023-01-14,88.69565217391305
2023-01-15,98.55072463768117
2023-01-16,92.6376811594203
2023-01-17,91.65217391304348
2023-01-18,91.65217391304348
2023-01-19,83.76811594202898
2023-01-20,77.85507246376812
2023-01-21,79.82608695652175
2023-01-22,87.71014492753623
2023-01-23,80.81159420289856
2023-01-24,79.82608695652175
2023-01-25,78.84057971014494
2023-01-26,84.7536231884058
2023-01-27,75.8840579710145
2023-01-28,76.86956521739131
2023-01-29,80.81159420289856
2023-01-30,75.8840579710145
2023-01-31,80.81159420289856
2023-02-01,78.84057971014494
2023-02-02,74.89855072463769
2023-02-03,75.8840579710145
2023-02-04,80.81159420289856
2023-02-05,85.73913043478261
2023-02-06,80.81159420289856
2023-02-07,79.82608695652175
2023-02-08,74.89855072463769
2023-02-09,73.91304347826087
2023-02-10,73.91304347826087
2023-02-11,70.95652173913044
2023-02-12,82.78260869565217
2023-02-13,78.84057971014494
2023-02-14,72.92753623188406
2023-02-15,70.95652173913044
2023-02-16,71.94202898550725
2023-02-17,69.97101449275362
2023-02-18,75.8840579710145
2023-02-19,76.86956521739131
2023-02-20,70.95652173913044
2023-02-21,74.89855072463769
2023-02-22,68.98550724637681
2023-02-23,67.01449275362319
2023-02-24,67.01449275362319
2023-02-25,69.97101449275362
2023-02-26,75.8840579710145
2023-02-27,76.86956521739131
2023-02-28,69.97101449275362
2023-03-01,72.92753623188406
2023-03-02,69.97101449275362
2023-03-03,65.04347826086956
2023-03-04,70.95652173913044
2023-03-05,75.8840579710145
2023-03-06,72.92753623188406
2023-03-07,70.95652173913044
2023-03-08,73.91304347826087
2023-03-09,75.8840579710145
2023-03-10,68.98550724637681
2023-03-11,68.98550724637681
2023-03-12,75.8840579710145
2023-03-13,66.02898550724638
2023-03-14,65.04347826086956
2023-03-15,69.97101449275362
2023-03-16,70.95652173913044
2023-03-17,67.01449275362319
2023-03-18,69.97101449275362
2023-03-19,78.84057971014494
2023-03-20,72.92753623188406
2023-03-21,73.91304347826087
2023-03-22,71.94202898550725
2023-03-23,75.8840579710145
2023-03-24,75.8840579710145
2023-03-25,68.0
2023-03-26,72.92753623188406
2023-03-27,70.95652173913044
2023-03-28,71.94202898550725
2023-03-29,76.86956521739131
2023-03-30,68.98550724637681
2023-03-31,68.0
2023-04-01,66.02898550724638
2023-04-02,72.92753623188406
2023-04-03,72.92753623188406
2023-04-04,68.0
2023-04-05,71.94202898550725
2023-04-06,68.98550724637681
2023-04-07,66.02898550724638
2023-04-08,72.92753623188406
2023-04-09,73.91304347826087
2023-04-10,72.92753623188406
2023-04-11,67.01449275362319
2023-04-12,73.91304347826087
2023-04-13,76.86956521739131
2023-04-14,73.91304347826087
2023-04-15,72.92753623188406
2023-04-16,74.89855072463769
2023-04-17,74.89855072463769
2023-04-18,74.89855072463769
2023-04-19,68.98550724637681
2023-04-20,77.85507246376812
2023-04-21,67.01449275362319
2023-04-22,75.8840579710145
2023-04-23,76.86956521739131
2023-04-24,78.84057971014494
2023-04-25,71.94202898550725
2023-04-26,71.94202898550725
2023-04-27,76.65398550724638
2023-04-28,70.05724637681159
2023-04-29,68.17246376811593
2023-04-30,77.1036231884058
2023-05-01,79.93079710144929
2023-05-02,71.94202898550725
2023-05-03,76.16123188405797
2023-05-04,73.8268115942029
2023-05-05,73.8268115942029
2023-05-06,74.27644927536232
2023-05-07,72.88442028985507
2023-05-08,73.33405797101449
2023-05-09,71.94202898550725
2023-05-10,74.76920289855073
2023-05-11,73.8268115942029
2023-05-12,72.88442028985507
2023-05-13,70.05724637681159
2023-05-14,77.59637681159421
2023-05-15,77.59637681159421
2023-05-16,74.76920289855073
2023-05-17,73.8268115942029
2023-05-18,70.99963768115941
2023-05-19,74.27644927536232
2023-05-20,75.21884057971015
2023-05-21,76.16123188405797
2023-05-22,75.21884057971015
2023-05-23,72.88442028985507
2023-05-24,65.83804347826086
2023-05-25,69.24420289855072
2023-05-26,70.14347826086956
2023-05-27,74.63985507246376
2023-05-28,74.63985507246376
2023-05-29,74.63985507246376
2023-05-30,69.24420289855072
2023-05-31,71.0427536231884
2023-06-01,68.34492753623188
2023-06-02,63.848550724637676
2023-06-03,74.63985507246376
2023-06-04,76.43840579710144
2023-06-05,72.84130434782608
2023-06-06,63.848550724637676
2023-06-07,72.84130434782608
2023-06-08,64.74782608695652
2023-06-09,71.94202898550725
2023-06-10,75.5391304347826
2023-06-11,71.94202898550725
2023-06-12,69.24420289855072
2023-06-13,68.34492753623188
2023-06-14,67.44565217391305
2023-06-15,70.14347826086956
2023-06-16,69.24420289855072
2023-06-17,73.74057971014493
2023-06-18,89.92753623188405
2023-06-19,68.34492753623188
2023-06-20,71.0427536231884
2023-06-21,70.14347826086956
2023-06-22,66.5463768115942
2023-06-23,63.848550724637676
2023-06-24,75.5391304347826
2023-06-25,80.03550724637681
2023-06-26,68.34492753623188
2023-06-27,71.0427536231884
2023-06-28,68.34492753623188
2023-06-29,70.14347826086956
2023-06-30,65.64710144927535
2023-07-01,71.94202898550725
2023-07-02,79.13623188405796
2023-07-03,70.14347826086956
2023-07-04,73.74057971014493
2023-07-05,66.5463768115942
2023-07-06,75.5391304347826
2023-07-07,73.74057971014493
2023-07-08,81.83405797101449
2023-07-09,74.63985507246376
2023-07-10,66.5463768115942
2023-07-11,66.5463768115942
2023-07-12,70.14347826086956
2023-07-13,69.24420289855072
2023-07-14,63.848550724637676
2023-07-15,76.43840579710144
2023-07-16,75.5391304347826
2023-07-17,69.24420289855072
2023-07-18,71.0427536231884
2023-07-19,69.24420289855072
2023-07-20,66.5463768115942
2023-07-21,66.5463768115942
2023-07-22,75.5391304347826
2023-07-23,71.0427536231884
2023-07-24,67.44565217391305
2023-07-25,71.0427536231884
2023-07-26,70.14347826086956
2023-07-27,65.64710144927535
2023-07-28,68.34492753623188
2023-07-29,75.5391304347826
2023-07-30,75.5391304347826
2023-07-31,67.44565217391305
2023-08-01,67.44565217391305
2023-08-02,69.24420289855072
2023-08-03,70.14347826086956
2023-08-04,67.44565217391305
2023-08-05,72.84130434782608
2023-08-06,77.33768115942028
2023-08-07,68.34492753623188
2023-08-08,68.34492753623188
2023-08-09,66.5463768115942
2023-08-10,62.949275362318836
2023-08-11,65.64710144927535
2023-08-12,73.74057971014493
2023-08-13,76.43840579710144
2023-08-14,67.44565217391305
2023-08-15,66.5463768115942
2023-08-16,67.44565217391305
2023-08-17,63.848550724637676
2023-08-18,70.14347826086956
2023-08-19,71.0427536231884
2023-08-20,75.5391304347826
2023-08-21,67.44565217391305
2023-08-22,62.949275362318836
2023-08-23,69.24420289855072
2023-08-24,70.14347826086956
2023-08-25,64.74782608695652
2023-08-26,71.0427536231884
2023-08-27,70.14347826086956
2023-08-28,68.34492753623188
2023-08-29,66.5463768115942
2023-08-30,63.848550724637676
2023-08-31,66.5463768115942
2023-09-01,63.848550724637676
2023-09-02,67.44565217391305
2023-09-03,74.63985507246376
2023-09-04,71.0427536231884
2023-09-05,67.44565217391305
2023-09-06,69.24420289855072
2023-09-07,68.34492753623188
2023-09-08,64.74782608695652
2023-09-09,69.24420289855072
2023-09-10,75.5391304347826
2023-09-11,71.0427536231884
2023-09-12,66.5463768115942
2023-09-13,64.74782608695652
2023-09-14,72.84130434782608
2023-09-15,67.44565217391305
2023-09-16,73.74057971014493
2023-09-17,71.94202898550725
2023-09-18,71.94202898550725
2023-09-19,73.74057971014493
2023-09-20,72.84130434782608
2023-09-21,71.0427536231884
2023-09-22,69.24420289855072
2023-09-23,81.83405797101449
2023-09-24,76.43840579710144
2023-09-25,74.63985507246376
2023-09-26,76.43840579710144
2023-09-27,72.84130434782608
2023-09-28,71.94202898550725
2023-09-29,71.94202898550725
2023-09-30,69.24420289855072
2023-10-01,70.14347826086956
2023-10-02,73.74057971014493
2023-10-03,72.84130434782608
2023-10-04,72.84130434782608
2023-10-05,71.0427536231884
2023-10-06,70.14347826086956
2023-10-07,68.34492753623188
2023-10-08,71.0427536231884
2023-10-09,73.74057971014493
2023-10-10,72.84130434782608
2023-10-11,69.24420289855072
2023-10-12,67.44565217391305
2023-10-13,63.848550724637676
2023-10-14,75.5391304347826
2023-10-15,75.5391304347826
2023-10-16,71.0427536231884
2023-10-17,74.63985507246376
2023-10-18,75.5391304347826
2023-10-19,75.5391304347826
2023-10-20,68.34492753623188
2023-10-21,71.0427536231884
2023-10-22,72.84130434782608
2023-10-23,73.74057971014493
2023-10-24,71.94202898550725
2023-10-25,74.63985507246376
2023-10-26,72.84130434782608
2023-10-27,65.64710144927535
2023-10-28,62.949275362318836
2023-10-29,67.44565217391305
2023-10-30,70.14347826086956
2023-10-31,68.34492753623188
