Time,treasure
2022-01-01,79.0
2022-01-02,81.0
2022-01-03,73.0
2022-01-04,80.0
2022-01-05,78.0
2022-01-06,64.0
2022-01-07,72.0
2022-01-08,84.0
2022-01-09,83.0
2022-01-10,65.0
2022-01-11,68.0
2022-01-12,70.0
2022-01-13,76.0
2022-01-14,61.0
2022-01-15,79.0
2022-01-16,87.0
2022-01-17,68.0
2022-01-18,61.0
2022-01-19,66.0
2022-01-20,63.0
2022-01-21,71.0
2022-01-22,86.0
2022-01-23,84.0
2022-01-24,61.0
2022-01-25,59.0
2022-01-26,63.0
2022-01-27,59.0
2022-01-28,67.0
2022-01-29,81.0
2022-01-30,92.0
2022-01-31,68.0
2022-02-01,67.0
2022-02-02,72.0
2022-02-03,68.0
2022-02-04,71.0
2022-02-05,85.0
2022-02-06,87.0
2022-02-07,69.0
2022-02-08,68.0
2022-02-09,70.0
2022-02-10,59.0
2022-02-11,67.0
2022-02-12,84.0
2022-02-13,73.0
2022-02-14,60.0
2022-02-15,69.0
2022-02-16,69.0
2022-02-17,69.0
2022-02-18,71.0
2022-02-19,85.0
2022-02-20,87.0
2022-02-21,79.0
2022-02-22,75.0
2022-02-23,75.0
2022-02-24,64.0
2022-02-25,72.0
2022-02-26,81.0
2022-02-27,80.0
2022-02-28,67.0
2022-03-01,62.0
2022-03-02,67.0
2022-03-03,69.0
2022-03-04,67.0
2022-03-05,83.0
2022-03-06,85.0
2022-03-07,80.0
2022-03-08,66.0
2022-03-09,69.0
2022-03-10,67.0
2022-03-11,66.0
2022-03-12,80.0
2022-03-13,76.0
2022-03-14,66.0
2022-03-15,67.0
2022-03-16,72.0
2022-03-17,73.0
2022-03-18,66.0
2022-03-19,81.0
2022-03-20,74.0
2022-03-21,64.0
2022-03-22,69.0
2022-03-23,72.0
2022-03-24,68.0
2022-03-25,65.0
2022-03-26,81.0
2022-03-27,78.0
2022-03-28,61.0
2022-03-29,62.0
2022-03-30,71.0
2022-03-31,63.0
2022-04-01,64.0
2022-04-02,78.0
2022-04-03,76.0
2022-04-04,62.0
2022-04-05,64.0
2022-04-06,75.0
2022-04-07,62.0
2022-04-08,71.0
2022-04-09,79.0
2022-04-10,78.0
2022-04-11,75.0
2022-04-12,68.0
2022-04-13,69.0
2022-04-14,64.0
2022-04-15,63.0
2022-04-16,77.0
2022-04-17,79.0
2022-04-18,62.0
2022-04-19,65.0
2022-04-20,58.0
2022-04-21,61.0
2022-04-22,63.0
2022-04-23,74.0
2022-04-24,93.0
2022-04-25,77.0
2022-04-26,64.0
2022-04-27,64.0
2022-04-28,66.0
2022-04-29,65.0
2022-04-30,72.0
2022-05-01,78.0
2022-05-02,64.0
2022-05-03,60.0
2022-05-04,61.0
2022-05-05,59.0
2022-05-06,62.0
2022-05-07,71.0
2022-05-08,73.0
2022-05-09,63.0
2022-05-10,64.0
2022-05-11,62.0
2022-05-12,63.0
2022-05-13,65.0
2022-05-14,75.0
2022-05-15,76.0
2022-05-16,58.0
2022-05-17,60.0
2022-05-18,62.0
2022-05-19,66.0
2022-05-20,62.0
2022-05-21,72.0
2022-05-22,76.0
2022-05-23,63.0
2022-05-24,64.0
2022-05-25,63.0
2022-05-26,61.0
2022-05-27,68.0
2022-05-28,81.0
2022-05-29,80.0
2022-05-30,78.0
2022-05-31,62.0
2022-06-01,63.0
2022-06-02,62.0
2022-06-03,70.0
2022-06-04,80.0
2022-06-05,79.0
2022-06-06,64.0
2022-06-07,66.0
2022-06-08,66.0
2022-06-09,64.0
2022-06-10,71.0
2022-06-11,74.0
2022-06-12,77.0
2022-06-13,65.0
2022-06-14,68.0
2022-06-15,64.0
2022-06-16,67.0
2022-06-17,66.0
2022-06-18,80.0
2022-06-19,78.0
2022-06-20,74.0
2022-06-21,72.0
2022-06-22,70.0
2022-06-23,75.0
2022-06-24,74.0
2022-06-25,77.0
2022-06-26,87.0
2022-06-27,81.0
2022-06-28,68.0
2022-06-29,69.0
2022-06-30,76.0
2022-07-01,77.0
2022-07-02,83.0
2022-07-03,90.0
2022-07-04,87.0
2022-07-05,74.0
2022-07-06,77.0
2022-07-07,72.0
2022-07-08,77.0
2022-07-09,83.0
2022-07-10,82.0
2022-07-11,80.0
2022-07-12,76.0
2022-07-13,69.0
2022-07-14,83.0
2022-07-15,71.0
2022-07-16,79.0
2022-07-17,81.0
2022-07-18,76.0
2022-07-19,79.0
2022-07-20,72.0
2022-07-21,73.0
2022-07-22,86.0
2022-07-23,100.0
2022-07-24,95.0
2022-07-25,83.0
2022-07-26,74.0
2022-07-27,74.0
2022-07-28,81.0
2022-07-29,76.0
2022-07-30,78.0
2022-07-31,86.0
2022-08-01,76.0
2022-08-02,71.0
2022-08-03,68.0
2022-08-04,69.0
2022-08-05,75.0
2022-08-06,85.0
2022-08-07,91.0
2022-08-08,78.0
2022-08-09,73.0
2022-08-10,68.0
2022-08-11,71.0
2022-08-12,77.0
2022-08-13,85.0
2022-08-14,83.0
2022-08-15,72.0
2022-08-16,77.0
2022-08-17,68.0
2022-08-18,68.0
2022-08-19,81.0
2022-08-20,87.0
2022-08-21,80.0
2022-08-22,71.0
2022-08-23,71.0
2022-08-24,81.0
2022-08-25,67.0
2022-08-26,65.0
2022-08-27,76.0
2022-08-28,81.0
2022-08-29,66.35211267605634
2022-08-30,63.28873239436619
2022-08-31,63.78873239436619
2022-09-01,63.78873239436619
2022-09-02,65.83098591549296
2022-09-03,78.08450704225352
2022-09-04,78.08450704225352
2022-09-05,86.75352112676056
2022-09-06,60.225352112676056
2022-09-07,61.74647887323944
2022-09-08,61.24647887323944
2022-09-09,59.20422535211267
2022-09-10,74.0
2022-09-11,77.06338028169014
2022-09-12,63.78873239436619
2022-09-13,65.83098591549296
2022-09-14,60.225352112676056
2022-09-15,63.78873239436619
2022-09-16,62.767605633802816
2022-09-17,71.45774647887325
2022-09-18,76.04225352112675
2022-09-19,61.74647887323944
2022-09-20,57.16197183098591
2022-09-21,60.225352112676056
2022-09-22,65.33098591549296
2022-09-23,60.725352112676056
2022-09-24,70.93661971830986
2022-09-25,70.93661971830986
2022-09-26,64.80985915492957
2022-09-27,67.74647887323944
2022-09-28,68.78873239436619
2022-09-29,63.57746478873239
2022-09-30,66.70422535211267
2022-10-01,66.70422535211267
2022-10-02,71.91549295774648
2022-10-03,58.36619718309859
2022-10-04,62.53521126760563
2022-10-05,63.57746478873239
2022-10-06,60.45070422535211
2022-10-07,63.57746478873239
2022-10-08,67.74647887323944
2022-10-09,69.83098591549296
2022-10-10,61.49295774647887
2022-10-11,58.36619718309859
2022-10-12,63.57746478873239
2022-10-13,60.45070422535211
2022-10-14,58.36619718309859
2022-10-15,64.61971830985915
2022-10-16,76.08450704225352
2022-10-17,57.323943661971825
2022-10-18,56.281690140845065
2022-10-19,60.45070422535211
2022-10-20,58.36619718309859
2022-10-21,59.40845070422535
2022-10-22,68.78873239436619
2022-10-23,75.04225352112675
2022-10-24,56.281690140845065
2022-10-25,60.45070422535211
2022-10-26,59.40845070422535
2022-10-27,56.281690140845065
2022-10-28,56.281690140845065
2022-10-29,62.53521126760563
2022-10-30,63.57746478873239
2022-10-31,53.154929577464785
2022-11-01,62.53521126760563
2022-11-02,56.281690140845065
2022-11-03,57.323943661971825
2022-11-04,63.57746478873239
2022-11-05,69.83098591549296
2022-11-06,66.70422535211267
2022-11-07,61.49295774647887
2022-11-08,61.49295774647887
2022-11-09,55.239436619718305
2022-11-10,61.49295774647887
2022-11-11,62.53521126760563
2022-11-12,77.12676056338027
2022-11-13,74.0
2022-11-14,59.40845070422535
2022-11-15,59.40845070422535
2022-11-16,59.40845070422535
2022-11-17,61.49295774647887
2022-11-18,60.45070422535211
2022-11-19,70.87323943661971
2022-11-20,68.78873239436619
2022-11-21,62.53521126760563
2022-11-22,60.45070422535211
2022-11-23,62.53521126760563
2022-11-24,67.74647887323944
2022-11-25,69.83098591549296
2022-11-26,70.87323943661971
2022-11-27,77.12676056338027
2022-11-28,62.53521126760563
2022-11-29,57.323943661971825
2022-11-30,62.53521126760563
2022-12-01,63.57746478873239
2022-12-02,62.53521126760563
2022-12-03,77.12676056338027
2022-12-04,82.33802816901408
2022-12-05,64.61971830985915
2022-12-06,64.61971830985915
2022-12-07,62.53521126760563
2022-12-08,65.6619718309859
2022-12-09,72.95774647887323
2022-12-10,72.95774647887323
2022-12-11,93.80281690140845
2022-12-12,66.70422535211267
2022-12-13,68.78873239436619
2022-12-14,89.63380281690141
2022-12-15,97.97183098591549
2022-12-16,90.67605633802816
2022-12-17,96.92957746478872
2022-12-18,94.8450704225352
2022-12-19,82.33802816901408
2022-12-20,75.04225352112675
2022-12-21,80.25352112676056
2022-12-22,81.29577464788731
2022-12-23,84.4225352112676
2022-12-24,83.38028169014083
2022-12-25,83.38028169014083
2022-12-26,92.76056338028168
2022-12-27,88.59154929577464
2022-12-28,96.92957746478872
2022-12-29,94.8450704225352
2022-12-30,94.8450704225352
2022-12-31,93.80281690140845
2023-01-01,96.92957746478872
2023-01-02,99.01408450704224
2023-01-03,77.12676056338027
2023-01-04,79.2112676056338
2023-01-05,76.08450704225352
2023-01-06,82.33802816901408
2023-01-07,88.59154929577464
2023-01-08,91.71830985915493
2023-01-09,76.08450704225352
2023-01-10,70.87323943661971
2023-01-11,70.87323943661971
2023-01-12,71.91549295774648
2023-01-13,72.95774647887323
2023-01-14,91.71830985915493
2023-01-15,92.76056338028168
2023-01-16,76.08450704225352
2023-01-17,71.91549295774648
2023-01-18,72.95774647887323
2023-01-19,79.2112676056338
2023-01-20,77.12676056338027
2023-01-21,89.63380281690141
2023-01-22,91.71830985915493
2023-01-23,74.0
2023-01-24,72.95774647887323
2023-01-25,68.78873239436619
2023-01-26,75.04225352112675
2023-01-27,80.25352112676056
2023-01-28,88.59154929577464
2023-01-29,84.4225352112676
2023-01-30,79.2112676056338
2023-01-31,76.08450704225352
2023-02-01,80.25352112676056
2023-02-02,85.46478873239437
2023-02-03,80.25352112676056
2023-02-04,94.8450704225352
2023-02-05,92.76056338028168
2023-02-06,75.04225352112675
2023-02-07,71.91549295774648
2023-02-08,79.2112676056338
2023-02-09,85.46478873239437
2023-02-10,79.2112676056338
2023-02-11,94.8450704225352
2023-02-12,90.67605633802816
2023-02-13,69.83098591549296
2023-02-14,74.0
2023-02-15,74.0
2023-02-16,78.16901408450704
2023-02-17,83.38028169014083
2023-02-18,104.22535211267605
2023-02-19,101.09859154929578
2023-02-20,87.54929577464789
2023-02-21,77.12676056338027
2023-02-22,70.87323943661971
2023-02-23,71.91549295774648
2023-02-24,78.16901408450704
2023-02-25,93.80281690140845
2023-02-26,104.22535211267605
2023-02-27,83.38028169014083
2023-02-28,76.08450704225352
2023-03-01,74.0
2023-03-02,75.04225352112675
2023-03-03,69.83098591549296
2023-03-04,82.33802816901408
2023-03-05,94.8450704225352
2023-03-06,74.0
2023-03-07,71.91549295774648
2023-03-08,69.83098591549296
2023-03-09,69.83098591549296
2023-03-10,75.04225352112675
2023-03-11,84.4225352112676
2023-03-12,91.71830985915493
2023-03-13,74.0
2023-03-14,68.78873239436619
2023-03-15,70.87323943661971
2023-03-16,64.61971830985915
2023-03-17,71.91549295774648
2023-03-18,84.4225352112676
2023-03-19,91.71830985915493
2023-03-20,75.04225352112675
2023-03-21,66.70422535211267
2023-03-22,69.83098591549296
2023-03-23,70.87323943661971
2023-03-24,78.16901408450704
2023-03-25,86.50704225352112
2023-03-26,88.59154929577464
2023-03-27,72.95774647887323
2023-03-28,70.87323943661971
2023-03-29,70.87323943661971
2023-03-30,71.91549295774648
2023-03-31,72.95774647887323
2023-04-01,81.29577464788731
2023-04-02,88.59154929577464
2023-04-03,64.61971830985915
2023-04-04,71.91549295774648
2023-04-05,69.83098591549296
2023-04-06,69.83098591549296
2023-04-07,72.95774647887323
2023-04-08,80.25352112676056
2023-04-09,85.46478873239437
2023-04-10,69.83098591549296
2023-04-11,68.78873239436619
2023-04-12,68.78873239436619
2023-04-13,62.53521126760563
2023-04-14,67.74647887323944
2023-04-15,88.59154929577464
2023-04-16,82.33802816901408
2023-04-17,67.74647887323944
2023-04-18,64.61971830985915
2023-04-19,64.61971830985915
2023-04-20,66.70422535211267
2023-04-21,63.57746478873239
2023-04-22,79.2112676056338
2023-04-23,79.2112676056338
2023-04-24,70.87323943661971
2023-04-25,65.6619718309859
2023-04-26,67.72166331321262
2023-04-27,60.483791638721215
2023-04-28,63.585736642074664
2023-04-29,78.06147999105745
2023-04-30,82.19740666219539
2023-05-01,62.55175497429018
2023-05-02,69.78962664878158
2023-05-03,60.483791638721215
2023-05-04,65.65369997764364
2023-05-05,62.55175497429018
2023-05-06,74.95953498770399
2023-05-07,80.64229823384753
2023-05-08,64.61971830985915
2023-05-09,62.55175497429018
2023-05-10,68.75564498099709
2023-05-11,62.55175497429018
2023-05-12,66.68768164542811
2023-05-13,75.99351665548849
2023-05-14,85.29935166554884
2023-05-15,71.85758998435054
2023-05-16,72.37044489157165
2023-05-17,73.40442655935612
2023-05-18,73.40442655935612
2023-05-19,79.60831656606304
2023-05-20,102.3559132573217
2023-05-21,102.3559132573217
2023-05-22,74.95953498770399
2023-05-23,69.78962664878158
2023-05-24,72.89157165213503
2023-05-25,75.90252626872345
2023-05-26,77.95394589760787
2023-05-27,89.23675385647216
2023-05-28,96.41672255756762
2023-05-29,99.49385200089425
2023-05-30,76.92823608316566
2023-05-31,72.82539682539682
2023-06-01,75.90252626872345
2023-06-02,80.00536552649228
2023-06-03,84.10820478426112
2023-06-04,95.39101274312542
2023-06-05,78.97965571205008
2023-06-06,70.7739771965124
2023-06-07,72.82539682539682
2023-06-08,71.79968701095461
2023-06-09,76.92823608316566
2023-06-10,91.28817348535658
2023-06-11,87.18533422758775
2023-06-12,77.95394589760787
2023-06-13,86.15962441314554
2023-06-14,75.90252626872345
2023-06-15,73.85110663983903
2023-06-16,75.90252626872345
2023-06-17,86.15962441314554
2023-06-18,87.18533422758775
2023-06-19,85.13391459870333
2023-06-20,71.79968701095461
