Time,warfare
2022-01-01,22.0
2022-01-02,23.0
2022-01-03,19.0
2022-01-04,22.0
2022-01-05,22.0
2022-01-06,16.0
2022-01-07,21.0
2022-01-08,23.0
2022-01-09,22.0
2022-01-10,17.0
2022-01-11,18.0
2022-01-12,19.0
2022-01-13,21.0
2022-01-14,15.0
2022-01-15,20.0
2022-01-16,17.0
2022-01-17,17.0
2022-01-18,17.0
2022-01-19,17.0
2022-01-20,17.0
2022-01-21,16.0
2022-01-22,20.0
2022-01-23,19.0
2022-01-24,17.0
2022-01-25,17.0
2022-01-26,17.0
2022-01-27,17.0
2022-01-28,18.0
2022-01-29,20.0
2022-01-30,20.0
2022-01-31,18.0
2022-02-01,18.0
2022-02-02,17.0
2022-02-03,18.0
2022-02-04,19.0
2022-02-05,19.0
2022-02-06,20.0
2022-02-07,18.0
2022-02-08,16.0
2022-02-09,18.0
2022-02-10,14.0
2022-02-11,21.0
2022-02-12,21.0
2022-02-13,20.0
2022-02-14,18.0
2022-02-15,19.0
2022-02-16,18.0
2022-02-17,19.0
2022-02-18,20.0
2022-02-19,19.0
2022-02-20,21.0
2022-02-21,18.0
2022-02-22,20.0
2022-02-23,21.0
2022-02-24,28.0
2022-02-25,28.0
2022-02-26,29.0
2022-02-27,30.0
2022-02-28,27.0
2022-03-01,22.0
2022-03-02,21.0
2022-03-03,21.0
2022-03-04,21.0
2022-03-05,24.0
2022-03-06,26.0
2022-03-07,21.0
2022-03-08,20.0
2022-03-09,21.0
2022-03-10,26.0
2022-03-11,24.0
2022-03-12,24.0
2022-03-13,26.0
2022-03-14,21.0
2022-03-15,20.0
2022-03-16,21.0
2022-03-17,20.0
2022-03-18,19.0
2022-03-19,20.0
2022-03-20,22.0
2022-03-21,20.0
2022-03-22,19.0
2022-03-23,20.0
2022-03-24,21.0
2022-03-25,22.0
2022-03-26,23.0
2022-03-27,23.0
2022-03-28,24.0
2022-03-29,22.0
2022-03-30,20.0
2022-03-31,22.0
2022-04-01,22.0
2022-04-02,20.0
2022-04-03,21.0
2022-04-04,23.0
2022-04-05,22.0
2022-04-06,23.0
2022-04-07,22.0
2022-04-08,21.0
2022-04-09,21.0
2022-04-10,21.0
2022-04-11,22.0
2022-04-12,23.0
2022-04-13,20.0
2022-04-14,23.0
2022-04-15,20.0
2022-04-16,21.0
2022-04-17,24.0
2022-04-18,23.0
2022-04-19,22.0
2022-04-20,23.0
2022-04-21,23.0
2022-04-22,21.0
2022-04-23,22.0
2022-04-24,23.0
2022-04-25,22.0
2022-04-26,27.0
2022-04-27,24.0
2022-04-28,35.0
2022-04-29,32.0
2022-04-30,28.0
2022-05-01,26.0
2022-05-02,26.0
2022-05-03,25.0
2022-05-04,24.0
2022-05-05,23.0
2022-05-06,21.0
2022-05-07,23.0
2022-05-08,24.0
2022-05-09,22.0
2022-05-10,21.0
2022-05-11,22.0
2022-05-12,21.0
2022-05-13,20.0
2022-05-14,21.0
2022-05-15,20.0
2022-05-16,22.0
2022-05-17,22.0
2022-05-18,24.0
2022-05-19,25.0
2022-05-20,21.0
2022-05-21,23.0
2022-05-22,23.0
2022-05-23,21.0
2022-05-24,42.0
2022-05-25,42.0
2022-05-26,30.0
2022-05-27,26.0
2022-05-28,25.0
2022-05-29,27.0
2022-05-30,26.0
2022-05-31,23.0
2022-06-01,22.0
2022-06-02,25.0
2022-06-03,32.0
2022-06-04,29.0
2022-06-05,28.0
2022-06-06,24.0
2022-06-07,26.0
2022-06-08,75.0
2022-06-09,66.0
2022-06-10,44.0
2022-06-11,39.0
2022-06-12,37.0
2022-06-13,30.0
2022-06-14,28.0
2022-06-15,25.0
2022-06-16,24.0
2022-06-17,25.0
2022-06-18,27.0
2022-06-19,28.0
2022-06-20,23.0
2022-06-21,22.0
2022-06-22,22.0
2022-06-23,22.0
2022-06-24,22.0
2022-06-25,24.0
2022-06-26,25.0
2022-06-27,21.0
2022-06-28,20.0
2022-06-29,22.0
2022-06-30,21.0
2022-07-01,18.0
2022-07-02,22.0
2022-07-03,23.0
2022-07-04,23.0
2022-07-05,20.0
2022-07-06,20.0
2022-07-07,21.0
2022-07-08,22.0
2022-07-09,21.0
2022-07-10,23.0
2022-07-11,21.0
2022-07-12,18.0
2022-07-13,21.0
2022-07-14,20.0
2022-07-15,21.0
2022-07-16,22.0
2022-07-17,25.0
2022-07-18,21.0
2022-07-19,22.0
2022-07-20,21.0
2022-07-21,20.0
2022-07-22,21.0
2022-07-23,23.0
2022-07-24,26.0
2022-07-25,24.0
2022-07-26,22.0
2022-07-27,21.0
2022-07-28,22.0
2022-07-29,22.0
2022-07-30,23.0
2022-07-31,25.0
2022-08-01,23.0
2022-08-02,21.0
2022-08-03,21.0
2022-08-04,23.0
2022-08-05,22.0
2022-08-06,24.0
2022-08-07,27.0
2022-08-08,25.0
2022-08-09,23.0
2022-08-10,21.0
2022-08-11,22.0
2022-08-12,21.0
2022-08-13,24.0
2022-08-14,26.0
2022-08-15,22.0
2022-08-16,26.0
2022-08-17,24.0
2022-08-18,23.0
2022-08-19,24.0
2022-08-20,26.0
2022-08-21,27.0
2022-08-22,23.0
2022-08-23,22.0
2022-08-24,22.0
2022-08-25,23.0
2022-08-26,24.0
2022-08-27,24.0
2022-08-28,28.0
2022-08-29,24.06
2022-08-30,22.22
2022-08-31,21.72
2022-09-01,21.72
2022-09-02,24.06
2022-09-03,24.56
2022-09-04,26.4
2022-09-05,29.24
2022-09-06,24.56
2022-09-07,24.06
2022-09-08,21.72
2022-09-09,23.56
2022-09-10,29.74
2022-09-11,24.56
2022-09-12,29.74
2022-09-13,32.08
2022-09-14,44.78
2022-09-15,67.0
2022-09-16,91.06
2022-09-17,72.67999999999999
2022-09-18,71.67999999999999
2022-09-19,56.64
2022-09-20,53.8
2022-09-21,58.48
2022-09-22,99.58
2022-09-23,80.19999999999999
2022-09-24,91.06
2022-09-25,72.17999999999999
2022-09-26,61.81999999999999
2022-09-27,48.239999999999995
2022-09-28,34.839999999999996
2022-09-29,32.16
2022-09-30,34.839999999999996
2022-10-01,34.839999999999996
2022-10-02,34.839999999999996
2022-10-03,32.16
2022-10-04,32.16
2022-10-05,34.839999999999996
2022-10-06,34.839999999999996
2022-10-07,34.839999999999996
2022-10-08,32.16
2022-10-09,37.519999999999996
2022-10-10,34.839999999999996
2022-10-11,37.519999999999996
2022-10-12,32.16
2022-10-13,34.839999999999996
2022-10-14,37.519999999999996
2022-10-15,34.839999999999996
2022-10-16,42.879999999999995
2022-10-17,42.879999999999995
2022-10-18,40.199999999999996
2022-10-19,50.919999999999995
2022-10-20,101.83999999999999
2022-10-21,123.27999999999999
2022-10-22,115.23999999999998
2022-10-23,112.55999999999999
2022-10-24,93.79999999999998
2022-10-25,88.44
2022-10-26,109.88
2022-10-27,160.79999999999998
2022-10-28,268.0
2022-10-29,217.07999999999998
2022-10-30,163.48
2022-10-31,125.95999999999998
2022-11-01,104.51999999999998
2022-11-02,109.88
2022-11-03,99.16
2022-11-04,104.51999999999998
2022-11-05,115.23999999999998
2022-11-06,104.51999999999998
2022-11-07,80.39999999999999
2022-11-08,75.03999999999999
2022-11-09,67.0
2022-11-10,69.67999999999999
2022-11-11,67.0
2022-11-12,75.03999999999999
2022-11-13,69.67999999999999
2022-11-14,58.959999999999994
2022-11-15,58.959999999999994
2022-11-16,96.47999999999999
2022-11-17,91.11999999999999
2022-11-18,75.03999999999999
2022-11-19,77.72
2022-11-20,69.67999999999999
2022-11-21,58.959999999999994
2022-11-22,58.959999999999994
2022-11-23,61.63999999999999
2022-11-24,67.0
2022-11-25,88.44
2022-11-26,64.32
2022-11-27,64.32
2022-11-28,56.279999999999994
