Time,destitute
2022-01-01,37.0
2022-01-02,60.0
2022-01-03,57.0
2022-01-04,65.0
2022-01-05,74.0
2022-01-06,52.0
2022-01-07,63.0
2022-01-08,50.0
2022-01-09,0.0
2022-01-10,48.0
2022-01-11,72.0
2022-01-12,71.0
2022-01-13,83.0
2022-01-14,41.0
2022-01-15,37.0
2022-01-16,54.0
2022-01-17,54.0
2022-01-18,43.0
2022-01-19,51.0
2022-01-20,28.0
2022-01-21,50.0
2022-01-22,37.0
2022-01-23,28.0
2022-01-24,69.0
2022-01-25,54.0
2022-01-26,64.0
2022-01-27,76.0
2022-01-28,68.0
2022-01-29,34.0
2022-01-30,55.0
2022-01-31,58.0
2022-02-01,59.0
2022-02-02,64.0
2022-02-03,38.0
2022-02-04,42.0
2022-02-05,52.0
2022-02-06,44.0
2022-02-07,67.0
2022-02-08,40.0
2022-02-09,63.0
2022-02-10,50.0
2022-02-11,42.0
2022-02-12,40.0
2022-02-13,36.0
2022-02-14,41.0
2022-02-15,60.0
2022-02-16,44.0
2022-02-17,72.0
2022-02-18,57.0
2022-02-19,32.0
2022-02-20,43.0
2022-02-21,50.0
2022-02-22,35.0
2022-02-23,58.0
2022-02-24,60.0
2022-02-25,48.0
2022-02-26,45.0
2022-02-27,40.0
2022-02-28,59.0
2022-03-01,64.0
2022-03-02,47.0
2022-03-03,47.0
2022-03-04,40.0
2022-03-05,30.0
2022-03-06,54.0
2022-03-07,38.0
2022-03-08,40.0
2022-03-09,57.0
2022-03-10,44.0
2022-03-11,55.0
2022-03-12,34.0
2022-03-13,32.0
2022-03-14,56.0
2022-03-15,62.0
2022-03-16,34.0
2022-03-17,46.0
2022-03-18,43.0
2022-03-19,43.0
2022-03-20,0.0
2022-03-21,68.0
2022-03-22,50.0
2022-03-23,42.0
2022-03-24,51.0
2022-03-25,53.0
2022-03-26,40.0
2022-03-27,39.0
2022-03-28,86.0
2022-03-29,74.0
2022-03-30,49.0
2022-03-31,85.0
2022-04-01,72.0
2022-04-02,39.0
2022-04-03,31.0
2022-04-04,67.0
2022-04-05,64.0
2022-04-06,74.0
2022-04-07,100.0
2022-04-08,59.0
2022-04-09,35.0
2022-04-10,31.0
2022-04-11,45.0
2022-04-12,77.0
2022-04-13,66.0
2022-04-14,70.0
2022-04-15,36.0
2022-04-16,54.0
2022-04-17,29.0
2022-04-18,57.0
2022-04-19,68.0
2022-04-20,67.0
2022-04-21,93.0
2022-04-22,60.0
2022-04-23,62.0
2022-04-24,45.0
2022-04-25,55.0
2022-04-26,59.0
2022-04-27,67.0
2022-04-28,73.0
2022-04-29,55.0
2022-04-30,51.0
2022-05-01,52.0
2022-05-02,67.0
2022-05-03,48.0
2022-05-04,51.0
2022-05-05,54.0
2022-05-06,66.0
2022-05-07,39.0
2022-05-08,38.0
2022-05-09,59.0
2022-05-10,60.0
2022-05-11,64.0
2022-05-12,57.0
