Time,cool math games
2025-12-11,73
2025-12-12,91
2025-12-13,14
2025-12-14,12
2025-12-15,62
2025-12-16,76
2025-12-17,91
2025-12-18,100
2025-12-19,95
2025-12-20,14
2025-12-21,11
2025-12-22,20
2025-12-23,18
2025-12-24,9
2025-12-25,9
2025-12-26,8
2025-12-27,7
2025-12-28,7
2025-12-29,7
2025-12-30,7
2025-12-31,7
2026-01-01,7
2026-01-02,7
2026-01-03,6
2026-01-04,6
2026-01-05,29
2026-01-06,41
2026-01-07,42
2026-01-08,54
2026-01-09,80
2026-01-10,12
2026-01-11,8
2026-01-12,46
2026-01-13,61
2026-01-14,65
2026-01-15,71
2026-01-16,90
2026-01-17,12
2026-01-18,10
2026-01-19,11
2026-01-20,49
2026-01-21,60
2026-01-22,69
2026-01-23,82
2026-01-24,18
2026-01-25,12
2026-01-26,29
2026-01-27,42
2026-01-28,45
2026-01-29,59
2026-01-30,77
2026-01-31,12
2026-02-01,10
2026-02-02,38
2026-02-03,54
2026-02-04,55
2026-02-05,62
2026-02-06,79
2026-02-07,12
2026-02-08,10
2026-02-09,38
2026-02-10,55
2026-02-11,64
2026-02-12,65
2026-02-13,63
2026-02-14,10
2026-02-15,9
2026-02-16,15
2026-02-17,36
2026-02-18,46
2026-02-19,55
2026-02-20,71
2026-02-21,13
2026-02-22,8
2026-02-23,39
2026-02-24,54
2026-02-25,55
2026-02-26,65
2026-02-27,77
2026-02-28,12
2026-03-01,10
2026-03-02,47
2026-03-03,55
2026-03-04,57
2026-03-05,63
2026-03-06,82
2026-03-07,14
2026-03-08,9
2026-03-09,38
2026-03-10,45
2026-03-11,50
2026-03-12,61
2026-03-13,70
2026-03-14,12
2026-03-15,9
2026-03-16,35
2026-03-17,41
2026-03-18,45
2026-03-19,44
2026-03-20,51
2026-03-21,9
2026-03-22,8
2026-03-23,37
2026-03-24,42
2026-03-25,45
2026-03-26,46
2026-03-27,65
2026-03-28,10
2026-03-29,7
2026-03-30,33
2026-03-31,37
2026-04-01,43
2026-04-02,46
2026-04-03,22
2026-04-04,8
2026-04-05,7
2026-04-06,24
2026-04-07,35
2026-04-08,38
2026-04-09,39
2026-04-10,57
2026-04-11,9
2026-04-12,7
2026-04-13,41
2026-04-14,44
2026-04-15,53
2026-04-16,58
2026-04-17,74
2026-04-18,10
2026-04-19,8
2026-04-20,46
2026-04-21,59
2026-04-22,60
2026-04-23,64
2026-04-24,74
2026-04-25,10
2026-04-26,8
2026-04-27,46
2026-04-28,61
2026-04-29,61
2026-04-30,67
2026-05-01,81
2026-05-02,10
2026-05-03,7
2026-05-04,50
2026-05-05,62
2026-05-06,64
2026-05-07,68
2026-05-08,80
2026-05-09,11
2026-05-10,9
2026-05-11,56
2026-05-12,65
2026-05-13,66
2026-05-14,79
2026-05-15,84
2026-05-16,10
2026-05-17,9
2026-05-18,58
2026-05-19,66
2026-05-20,67
2026-05-21,63
2026-05-22,53
2026-05-23,10
2026-05-24,8
2026-05-25,7
2026-05-26,39
2026-05-27,37
2026-05-28,37
2026-05-29,40
2026-05-30,8
2026-05-31,7
