Time,poki
2025-12-11,80
2025-12-12,87
2025-12-13,75
2025-12-14,71
2025-12-15,85
2025-12-16,82
2025-12-17,90
2025-12-18,100
2025-12-19,96
2025-12-20,73
2025-12-21,71
2025-12-22,72
2025-12-23,70
2025-12-24,71
2025-12-25,72
2025-12-26,64
2025-12-27,60
2025-12-28,61
2025-12-29,56
2025-12-30,57
2025-12-31,61
2026-01-01,64
2026-01-02,60
2026-01-03,58
2026-01-04,57
2026-01-05,59
2026-01-06,62
2026-01-07,66
2026-01-08,66
2026-01-09,80
2026-01-10,63
2026-01-11,57
2026-01-12,65
2026-01-13,67
2026-01-14,71
2026-01-15,78
2026-01-16,83
2026-01-17,66
2026-01-18,64
2026-01-19,60
2026-01-20,66
2026-01-21,69
2026-01-22,75
2026-01-23,81
2026-01-24,72
2026-01-25,66
2026-01-26,67
2026-01-27,68
2026-01-28,71
2026-01-29,72
2026-01-30,86
2026-01-31,70
2026-02-01,65
2026-02-02,67
2026-02-03,76
2026-02-04,76
2026-02-05,69
2026-02-06,85
2026-02-07,65
2026-02-08,58
2026-02-09,60
2026-02-10,67
2026-02-11,68
2026-02-12,73
2026-02-13,72
2026-02-14,63
2026-02-15,61
2026-02-16,62
2026-02-17,55
2026-02-18,64
2026-02-19,69
2026-02-20,75
2026-02-21,71
2026-02-22,63
2026-02-23,64
2026-02-24,64
2026-02-25,63
2026-02-26,68
2026-02-27,81
2026-02-28,63
2026-03-01,62
2026-03-02,63
2026-03-03,69
2026-03-04,69
2026-03-05,70
2026-03-06,87
2026-03-07,69
2026-03-08,66
2026-03-09,63
2026-03-10,68
2026-03-11,68
2026-03-12,73
2026-03-13,82
2026-03-14,69
2026-03-15,66
2026-03-16,70
2026-03-17,67
2026-03-18,68
2026-03-19,71
2026-03-20,75
2026-03-21,64
2026-03-22,63
2026-03-23,59
2026-03-24,66
2026-03-25,68
2026-03-26,68
2026-03-27,73
2026-03-28,65
2026-03-29,62
2026-03-30,59
2026-03-31,67
2026-04-01,65
2026-04-02,70
2026-04-03,68
2026-04-04,62
2026-04-05,60
2026-04-06,58
2026-04-07,56
2026-04-08,60
2026-04-09,58
2026-04-10,66
2026-04-11,59
2026-04-12,55
2026-04-13,56
2026-04-14,60
2026-04-15,58
2026-04-16,67
2026-04-17,72
2026-04-18,60
2026-04-19,60
2026-04-20,60
2026-04-21,62
2026-04-22,62
2026-04-23,69
2026-04-24,77
2026-04-25,60
2026-04-26,58
2026-04-27,59
2026-04-28,62
2026-04-29,74
2026-04-30,70
2026-05-01,78
2026-05-02,57
2026-05-03,60
2026-05-04,60
2026-05-05,64
2026-05-06,67
2026-05-07,73
2026-05-08,74
2026-05-09,65
2026-05-10,64
2026-05-11,66
2026-05-12,70
2026-05-13,71
2026-05-14,74
2026-05-15,78
2026-05-16,65
2026-05-17,60
2026-05-18,73
2026-05-19,71
2026-05-20,71
2026-05-21,75
2026-05-22,83
2026-05-23,67
2026-05-24,63
2026-05-25,58
2026-05-26,63
2026-05-27,66
2026-05-28,75
2026-05-29,71
2026-05-30,63
2026-05-31,58
