Time,deadpool
2022-01-01,48.0
2022-01-02,48.0
2022-01-03,39.0
2022-01-04,41.0
2022-01-05,68.0
2022-01-06,39.0
2022-01-07,32.0
2022-01-08,48.0
2022-01-09,51.0
2022-01-10,38.0
2022-01-11,35.0
2022-01-12,35.0
2022-01-13,38.0
2022-01-14,30.0
2022-01-15,45.0
2022-01-16,42.0
2022-01-17,35.0
2022-01-18,31.0
2022-01-19,27.0
2022-01-20,33.0
2022-01-21,30.0
2022-01-22,40.0
2022-01-23,40.0
2022-01-24,34.0
2022-01-25,25.0
2022-01-26,23.0
2022-01-27,23.0
2022-01-28,27.0
2022-01-29,35.0
2022-01-30,81.0
2022-01-31,34.0
2022-02-01,24.0
2022-02-02,25.0
2022-02-03,25.0
2022-02-04,27.0
2022-02-05,39.0
2022-02-06,34.0
2022-02-07,25.0
2022-02-08,24.0
2022-02-09,22.0
2022-02-10,22.0
2022-02-11,24.0
2022-02-12,30.0
2022-02-13,36.0
2022-02-14,48.0
2022-02-15,34.0
2022-02-16,31.0
2022-02-17,30.0
2022-02-18,31.0
2022-02-19,35.0
2022-02-20,39.0
2022-02-21,34.0
2022-02-22,34.0
2022-02-23,30.0
2022-02-24,27.0
2022-02-25,29.0
2022-02-26,35.0
2022-02-27,40.0
2022-02-28,30.0
2022-03-01,24.0
2022-03-02,36.0
2022-03-03,30.0
2022-03-04,27.0
2022-03-05,49.0
2022-03-06,38.0
2022-03-07,27.0
2022-03-08,30.0
2022-03-09,28.0
2022-03-10,24.0
2022-03-11,30.0
2022-03-12,51.0
2022-03-13,46.0
2022-03-14,35.0
2022-03-15,33.0
2022-03-16,30.0
2022-03-17,30.0
2022-03-18,30.0
2022-03-19,36.0
2022-03-20,39.0
2022-03-21,32.0
2022-03-22,30.0
2022-03-23,27.0
2022-03-24,30.0
2022-03-25,28.0
2022-03-26,39.0
2022-03-27,38.0
2022-03-28,29.0
2022-03-29,27.0
2022-03-30,26.0
2022-03-31,33.0
2022-04-01,30.0
2022-04-02,36.0
2022-04-03,37.0
2022-04-04,26.0
2022-04-05,25.0
2022-04-06,27.0
2022-04-07,25.0
2022-04-08,30.0
2022-04-09,34.0
2022-04-10,35.0
2022-04-11,27.0
2022-04-12,27.0
2022-04-13,24.0
2022-04-14,25.0
2022-04-15,28.0
2022-04-16,33.0
2022-04-17,36.0
2022-04-18,30.0
2022-04-19,24.0
2022-04-20,24.0
2022-04-21,24.0
2022-04-22,24.0
2022-04-23,31.0
2022-04-24,35.0
2022-04-25,33.0
2022-04-26,27.0
2022-04-27,25.0
