Time,sabrina carpenter
2022-01-01,18
2022-01-02,18
2022-01-03,17
2022-01-04,18
2022-01-05,45
2022-01-06,19
2022-01-07,19
2022-01-08,16
2022-01-09,18
2022-01-10,12
2022-01-11,15
2022-01-12,11
2022-01-13,9
2022-01-14,10
2022-01-15,12
2022-01-16,12
2022-01-17,12
2022-01-18,10
2022-01-19,12
2022-01-20,15
2022-01-21,13
2022-01-22,20
2022-01-23,15
2022-01-24,14
2022-01-25,9
2022-01-26,8
2022-01-27,9
2022-01-28,8
2022-01-29,14
2022-01-30,14
2022-01-31,9
2022-02-01,10
2022-02-02,11
2022-02-03,11
2022-02-04,13
2022-02-05,15
2022-02-06,14
2022-02-07,11
2022-02-08,11
2022-02-09,12
2022-02-10,10
2022-02-11,14
2022-02-12,33
2022-02-13,30
2022-02-14,16
2022-02-15,18
2022-02-16,20
2022-02-17,20
2022-02-18,36
2022-02-19,41
2022-02-20,31
2022-02-21,27
2022-02-22,21
2022-02-23,17
2022-02-24,18
2022-02-25,18
2022-02-26,21
2022-02-27,18
2022-02-28,14
2022-03-01,11
2022-03-02,12
2022-03-03,8
2022-03-04,19
2022-03-05,16
2022-03-06,18
2022-03-07,12
2022-03-08,13
2022-03-09,10
2022-03-10,12
2022-03-11,11
2022-03-12,15
2022-03-13,15
2022-03-14,9
2022-03-15,10
2022-03-16,12
2022-03-17,9
2022-03-18,10
2022-03-19,10
2022-03-20,10
2022-03-21,11
2022-03-22,9
2022-03-23,12
2022-03-24,17
2022-03-25,16
2022-03-26,20
2022-03-27,19
2022-03-28,13
2022-03-29,12
2022-03-30,9
2022-03-31,13
2022-04-01,11
2022-04-02,14
2022-04-03,16
2022-04-04,19
2022-04-05,13
2022-04-06,12
2022-04-07,13
2022-04-08,13
2022-04-09,17
2022-04-10,16
2022-04-11,13
2022-04-12,13
2022-04-13,12
2022-04-14,13
2022-04-15,16
2022-04-16,16
2022-04-17,16
2022-04-18,16
2022-04-19,11
2022-04-20,11
2022-04-21,10
2022-04-22,11
2022-04-23,12
2022-04-24,13
2022-04-25,8
2022-04-26,10
2022-04-27,8
2022-04-28,10
2022-04-29,10
2022-04-30,12
2022-05-01,14
2022-05-02,13
2022-05-03,52
2022-05-04,27
2022-05-05,27
2022-05-06,25
2022-05-07,27
2022-05-08,20
2022-05-09,13
2022-05-10,11
2022-05-11,23
2022-05-12,45
2022-05-13,36
2022-05-14,28
2022-05-15,18
2022-05-16,14
2022-05-17,14
2022-05-18,8
2022-05-19,12
2022-05-20,12
2022-05-21,12
2022-05-22,11
2022-05-23,11
2022-05-24,12
2022-05-25,9
2022-05-26,10
2022-05-27,14
2022-05-28,18
2022-05-29,18
2022-05-30,18
2022-05-31,17
2022-06-01,11
2022-06-02,12
2022-06-03,11
2022-06-04,13
2022-06-05,17
2022-06-06,13
2022-06-07,12
2022-06-08,13
2022-06-09,12
2022-06-10,11
2022-06-11,14
2022-06-12,15
2022-06-13,12
2022-06-14,12
2022-06-15,11
2022-06-16,15
2022-06-17,11
2022-06-18,12
2022-06-19,10
2022-06-20,12
2022-06-21,10
2022-06-22,8
2022-06-23,11
2022-06-24,10
2022-06-25,8
2022-06-26,9
2022-06-27,15
2022-06-28,14
2022-06-29,13
2022-06-30,20
2022-07-01,30
2022-07-02,18
2022-07-03,18
2022-07-04,17
2022-07-05,13
2022-07-06,16
2022-07-07,17
2022-07-08,16
2022-07-09,13
2022-07-10,16
2022-07-11,13
2022-07-12,14
2022-07-13,17
2022-07-14,20
2022-07-15,95
2022-07-16,100
2022-07-17,77
2022-07-18,59
2022-07-19,53
2022-07-20,58
2022-07-21,48
2022-07-22,38
2022-07-23,34
2022-07-24,28
2022-07-25,28
2022-07-26,26
2022-07-27,24
2022-07-28,32
2022-07-29,32
2022-07-30,30
2022-07-31,30
2022-08-01,27
2022-08-02,28
2022-08-03,21
2022-08-04,23
2022-08-05,23
2022-08-06,24
2022-08-07,22
2022-08-08,19
2022-08-09,19
2022-08-10,19
2022-08-11,17
2022-08-12,16
2022-08-13,16
2022-08-14,16
2022-08-15,25
2022-08-16,36
2022-08-17,24
2022-08-18,20
2022-08-19,24
2022-08-20,21
2022-08-21,17
2022-08-22,16
2022-08-23,15
2022-08-24,13
2022-08-25,15
2022-08-26,16
2022-08-27,16
2022-08-28,20
2022-08-29,32
2022-08-30,22
2022-08-31,22
2022-09-01,16
2022-09-02,14
2022-09-03,15
2022-09-04,18
2022-09-05,17
2022-09-06,15
2022-09-07,15
2022-09-08,15
2022-09-09,11
2022-09-10,13
2022-09-11,20
2022-09-12,44
2022-09-13,32
2022-09-14,34
2022-09-15,25
2022-09-16,19
2022-09-17,17
2022-09-18,16
2022-09-19,15
2022-09-20,16
2022-09-21,16
2022-09-22,13
2022-09-23,17
2022-09-24,18
2022-09-25,20
2022-09-26,13
2022-09-27,15
