Time,usa basketball
2022-01-01,16
2022-01-02,14
2022-01-03,13
2022-01-04,20
2022-01-05,21
2022-01-06,18
2022-01-07,16
2022-01-08,19
2022-01-09,24
2022-01-10,18
2022-01-11,16
2022-01-12,19
2022-01-13,24
2022-01-14,15
2022-01-15,24
2022-01-16,21
2022-01-17,19
2022-01-18,18
2022-01-19,18
2022-01-20,20
2022-01-21,17
2022-01-22,23
2022-01-23,17
2022-01-24,20
2022-01-25,14
2022-01-26,17
2022-01-27,19
2022-01-28,32
2022-01-29,24
2022-01-30,37
2022-01-31,26
2022-02-01,26
2022-02-02,24
2022-02-03,39
2022-02-04,28
2022-02-05,41
2022-02-06,44
2022-02-07,26
2022-02-08,36
2022-02-09,30
2022-02-10,23
2022-02-11,29
2022-02-12,55
2022-02-13,39
2022-02-14,23
2022-02-15,26
2022-02-16,36
2022-02-17,41
2022-02-18,32
2022-02-19,36
2022-02-20,36
2022-02-21,29
2022-02-22,30
2022-02-23,27
2022-02-24,27
2022-02-25,34
2022-02-26,39
2022-02-27,47
2022-02-28,28
2022-03-01,31
2022-03-02,27
2022-03-03,27
2022-03-04,29
2022-03-05,43
2022-03-06,58
2022-03-07,42
2022-03-08,38
2022-03-09,45
2022-03-10,54
2022-03-11,77
2022-03-12,58
2022-03-13,55
2022-03-14,32
2022-03-15,26
2022-03-16,29
2022-03-17,33
2022-03-18,43
2022-03-19,58
2022-03-20,57
2022-03-21,37
2022-03-22,23
2022-03-23,21
2022-03-24,31
2022-03-25,100
2022-03-26,46
2022-03-27,80
2022-03-28,33
2022-03-29,22
2022-03-30,20
2022-03-31,27
2022-04-01,24
2022-04-02,39
2022-04-03,37
2022-04-04,30
2022-04-05,27
2022-04-06,21
2022-04-07,24
2022-04-08,14
2022-04-09,19
2022-04-10,20
2022-04-11,17
2022-04-12,11
2022-04-13,11
2022-04-14,15
2022-04-15,13
2022-04-16,15
2022-04-17,18
2022-04-18,12
2022-04-19,12
2022-04-20,14
2022-04-21,13
2022-04-22,13
2022-04-23,14
2022-04-24,13
2022-04-25,16
2022-04-26,12
2022-04-27,13
2022-04-28,13
2022-04-29,13
2022-04-30,12
2022-05-01,13
2022-05-02,13
2022-05-03,12
2022-05-04,12
2022-05-05,13
2022-05-06,11
2022-05-07,14
2022-05-08,11
2022-05-09,12
2022-05-10,12
2022-05-11,12
2022-05-12,10
2022-05-13,14
2022-05-14,14
2022-05-15,16
2022-05-16,16
2022-05-17,13
2022-05-18,13
2022-05-19,11
2022-05-20,18
2022-05-21,12
2022-05-22,15
2022-05-23,14
2022-05-24,13
2022-05-25,11
2022-05-26,17
2022-05-27,10
2022-05-28,14
2022-05-29,14
2022-05-30,19
2022-05-31,15
2022-06-01,13
2022-06-02,19
2022-06-03,18
2022-06-04,21
2022-06-05,19
2022-06-06,16
2022-06-07,26
2022-06-08,23
2022-06-09,18
2022-06-10,14
2022-06-11,21
2022-06-12,17
2022-06-13,23
2022-06-14,17
2022-06-15,15
2022-06-16,27
2022-06-17,24
2022-06-18,18
2022-06-19,21
2022-06-20,18
2022-06-21,19
2022-06-22,21
2022-06-23,21
2022-06-24,18
2022-06-25,23
2022-06-26,24
2022-06-27,18
2022-06-28,23
2022-06-29,16
2022-06-30,19
2022-07-01,24
2022-07-02,37
2022-07-03,25
2022-07-04,33
2022-07-05,29
2022-07-06,25
2022-07-07,30
2022-07-08,20
2022-07-09,27
2022-07-10,27
2022-07-11,23
2022-07-12,15
2022-07-13,17
2022-07-14,18
2022-07-15,14
2022-07-16,16
2022-07-17,16
2022-07-18,17
2022-07-19,17
2022-07-20,16
2022-07-21,11
2022-07-22,14
2022-07-23,19
2022-07-24,23
2022-07-25,15
2022-07-26,15
2022-07-27,15
2022-07-28,12
2022-07-29,15
2022-07-30,13
2022-07-31,10
2022-08-01,14
2022-08-02,11
2022-08-03,16
2022-08-04,14
2022-08-05,12
2022-08-06,18
2022-08-07,15
2022-08-08,14
2022-08-09,14
2022-08-10,14
2022-08-11,15
2022-08-12,18
2022-08-13,15
2022-08-14,15
2022-08-15,12
2022-08-16,11
2022-08-17,11
2022-08-18,11
2022-08-19,27
2022-08-20,18
2022-08-21,15
2022-08-22,11
2022-08-23,11
2022-08-24,8
2022-08-25,18
2022-08-26,26
2022-08-27,16
2022-08-28,20
2022-08-29,17
2022-08-30,22
2022-08-31,13
2022-09-01,15
2022-09-02,24
2022-09-03,20
2022-09-04,33
2022-09-05,33
2022-09-06,15
2022-09-07,14
2022-09-08,25
2022-09-09,20
2022-09-10,28
2022-09-11,23
2022-09-12,14
2022-09-13,15
2022-09-14,20
2022-09-15,19
2022-09-16,16
2022-09-17,13
2022-09-18,13
2022-09-19,17
2022-09-20,16
2022-09-21,19
2022-09-22,37
2022-09-23,35
2022-09-24,44
2022-09-25,31
2022-09-26,37
2022-09-27,33
