Time,apple stock
2022-01-01,16
2022-01-02,14
2022-01-03,68
2022-01-04,94
2022-01-05,71
2022-01-06,54
2022-01-07,57
2022-01-08,20
2022-01-09,15
2022-01-10,55
2022-01-11,57
2022-01-12,51
2022-01-13,59
2022-01-14,42
2022-01-15,17
2022-01-16,11
2022-01-17,21
2022-01-18,46
2022-01-19,45
2022-01-20,51
2022-01-21,57
2022-01-22,25
2022-01-23,14
2022-01-24,98
2022-01-25,67
2022-01-26,60
2022-01-27,84
2022-01-28,100
2022-01-29,34
2022-01-30,17
2022-01-31,63
2022-02-01,59
2022-02-02,67
2022-02-03,65
2022-02-04,60
2022-02-05,20
2022-02-06,14
2022-02-07,52
2022-02-08,55
2022-02-09,52
2022-02-10,43
2022-02-11,48
2022-02-12,17
2022-02-13,12
2022-02-14,47
2022-02-15,51
2022-02-16,46
2022-02-17,47
2022-02-18,51
2022-02-19,17
2022-02-20,14
2022-02-21,20
2022-02-22,55
2022-02-23,52
2022-02-24,77
2022-02-25,58
2022-02-26,18
2022-02-27,14
2022-02-28,54
2022-03-01,48
2022-03-02,48
2022-03-03,47
2022-03-04,48
2022-03-05,18
2022-03-06,13
2022-03-07,55
2022-03-08,60
2022-03-09,56
2022-03-10,57
2022-03-11,52
2022-03-12,19
2022-03-13,14
2022-03-14,55
2022-03-15,55
2022-03-16,56
2022-03-17,51
2022-03-18,51
2022-03-19,18
2022-03-20,13
2022-03-21,47
2022-03-22,51
2022-03-23,53
2022-03-24,53
2022-03-25,48
2022-03-26,16
2022-03-27,13
2022-03-28,51
2022-03-29,54
2022-03-30,57
2022-03-31,46
2022-04-01,45
2022-04-02,15
2022-04-03,12
2022-04-04,48
2022-04-05,44
2022-04-06,44
2022-04-07,42
2022-04-08,41
2022-04-09,15
2022-04-10,11
2022-04-11,42
2022-04-12,42
2022-04-13,40
2022-04-14,40
2022-04-15,25
2022-04-16,12
2022-04-17,11
2022-04-18,41
2022-04-19,43
2022-04-20,45
2022-04-21,47
2022-04-22,42
2022-04-23,18
2022-04-24,13
2022-04-25,47
2022-04-26,52
2022-04-27,54
2022-04-28,79
2022-04-29,75
2022-04-30,25
2022-05-01,14
2022-05-02,53
2022-05-03,47
2022-05-04,47
2022-05-05,56
2022-05-06,56
2022-05-07,16
2022-05-08,12
2022-05-09,63
2022-05-10,62
2022-05-11,68
2022-05-12,76
2022-05-13,65
2022-05-14,20
2022-05-15,13
2022-05-16,49
2022-05-17,50
2022-05-18,64
2022-05-19,66
2022-05-20,61
2022-05-21,23
2022-05-22,14
2022-05-23,53
2022-05-24,57
2022-05-25,48
2022-05-26,48
2022-05-27,49
2022-05-28,17
2022-05-29,10
2022-05-30,13
2022-05-31,47
2022-06-01,44
2022-06-02,42
2022-06-03,45
2022-06-04,15
2022-06-05,12
2022-06-06,52
2022-06-07,50
2022-06-08,41
2022-06-09,39
2022-06-10,46
2022-06-11,16
2022-06-12,12
2022-06-13,58
2022-06-14,55
2022-06-15,51
2022-06-16,52
2022-06-17,47
2022-06-18,18
2022-06-19,13
2022-06-20,22
2022-06-21,49
2022-06-22,45
2022-06-23,42
2022-06-24,44
2022-06-25,15
2022-06-26,11
2022-06-27,41
2022-06-28,39
2022-06-29,39
2022-06-30,40
2022-07-01,38
2022-07-02,13
2022-07-03,9
2022-07-04,11
2022-07-05,39
2022-07-06,38
2022-07-07,40
2022-07-08,41
2022-07-09,15
2022-07-10,10
2022-07-11,38
2022-07-12,38
2022-07-13,39
2022-07-14,38
2022-07-15,40
2022-07-16,15
2022-07-17,10
2022-07-18,44
2022-07-19,48
2022-07-20,47
2022-07-21,48
2022-07-22,43
2022-07-23,15
2022-07-24,10
2022-07-25,41
2022-07-26,40
2022-07-27,50
2022-07-28,72
2022-07-29,73
2022-07-30,18
2022-07-31,12
2022-08-01,47
2022-08-02,43
2022-08-03,49
2022-08-04,51
2022-08-05,45
2022-08-06,14
2022-08-07,12
2022-08-08,43
2022-08-09,41
2022-08-10,49
2022-08-11,46
2022-08-12,49
2022-08-13,17
2022-08-14,12
2022-08-15,50
2022-08-16,51
2022-08-17,50
2022-08-18,45
2022-08-19,45
2022-08-20,14
2022-08-21,10
2022-08-22,37
2022-08-23,43
2022-08-24,38
2022-08-25,40
2022-08-26,41
2022-08-27,16
2022-08-28,9
2022-08-29,41
2022-08-30,38
2022-08-31,36
2022-09-01,39
2022-09-02,35
2022-09-03,13
2022-09-04,9
2022-09-05,11
2022-09-06,39
2022-09-07,58
2022-09-08,49
2022-09-09,41
2022-09-10,14
2022-09-11,10
2022-09-12,43
2022-09-13,51
2022-09-14,48
2022-09-15,44
2022-09-16,46
2022-09-17,14
2022-09-18,11
2022-09-19,38
2022-09-20,42
2022-09-21,43
2022-09-22,43
2022-09-23,42
2022-09-24,16
2022-09-25,12
2022-09-26,40
2022-09-27,40
