Time,bank_of_america
2022-04-16,58.0
2022-04-17,39.0
2022-04-18,75.0
2022-04-19,63.0
2022-04-20,60.0
2022-04-21,58.0
2022-04-22,64.0
2022-04-23,54.0
2022-04-24,35.0
2022-04-25,62.0
2022-04-26,62.0
2022-04-27,58.0
2022-04-28,60.0
2022-04-29,65.0
2022-04-30,57.0
2022-05-01,42.0
2022-05-02,69.0
2022-05-03,65.0
2022-05-04,62.0
2022-05-05,59.0
2022-05-06,65.0
2022-05-07,55.0
2022-05-08,36.0
2022-05-09,63.0
2022-05-10,63.0
2022-05-11,58.0
2022-05-12,57.0
2022-05-13,69.0
2022-05-14,56.0
2022-05-15,38.0
2022-05-16,62.0
2022-05-17,61.0
2022-05-18,59.0
2022-05-19,59.0
2022-05-20,65.0
2022-05-21,55.0
2022-05-22,35.0
2022-05-23,64.0
2022-05-24,65.0
2022-05-25,61.0
2022-05-26,63.0
2022-05-27,70.0
2022-05-28,56.0
2022-05-29,35.0
2022-05-30,43.0
2022-05-31,70.0
2022-06-01,78.0
2022-06-02,69.0
2022-06-03,73.0
2022-06-04,62.0
2022-06-05,41.0
2022-06-06,68.0
2022-06-07,66.0
2022-06-08,63.0
2022-06-09,63.0
2022-06-10,72.0
2022-06-11,54.0
2022-06-12,37.0
2022-06-13,68.0
2022-06-14,67.0
2022-06-15,67.0
2022-06-16,72.0
2022-06-17,71.0
2022-06-18,58.0
2022-06-19,36.0
2022-06-20,69.0
2022-06-21,70.0
2022-06-22,74.0
2022-06-23,68.0
2022-06-24,70.0
2022-06-25,57.0
2022-06-26,37.0
2022-06-27,70.0
2022-06-28,70.0
2022-06-29,64.0
2022-06-30,75.0
2022-07-01,88.0
2022-07-02,65.0
2022-07-03,39.0
2022-07-04,41.0
2022-07-05,78.0
2022-07-06,75.0
2022-07-07,69.0
2022-07-08,76.0
2022-07-09,59.0
2022-07-10,38.0
2022-07-11,72.0
2022-07-12,68.0
2022-07-13,67.0
2022-07-14,67.0
2022-07-15,78.0
2022-07-16,60.0
2022-07-17,40.0
2022-07-18,72.0
2022-07-19,69.0
2022-07-20,65.0
2022-07-21,67.0
2022-07-22,70.0
2022-07-23,54.0
2022-07-24,39.0
2022-07-25,67.0
2022-07-26,66.0
2022-07-27,67.0
2022-07-28,67.0
2022-07-29,79.0
2022-07-30,59.0
2022-07-31,41.0
2022-08-01,81.0
2022-08-02,76.0
2022-08-03,68.0
2022-08-04,68.0
2022-08-05,74.0
2022-08-06,59.0
2022-08-07,42.0
2022-08-08,72.0
2022-08-09,68.0
2022-08-10,69.0
2022-08-11,64.0
2022-08-12,69.0
2022-08-13,66.0
2022-08-14,39.0
2022-08-15,71.0
2022-08-16,68.0
2022-08-17,63.0
2022-08-18,65.0
2022-08-19,70.0
2022-08-20,57.0
2022-08-21,38.0
2022-08-22,63.0
2022-08-23,70.0
2022-08-24,63.0
2022-08-25,60.0
2022-08-26,68.0
2022-08-27,58.0
2022-08-28,37.0
2022-08-29,63.76645814715519
2022-08-30,64.77882037533512
2022-08-31,69.84063151623474
2022-09-01,100.21149836163241
2022-09-02,93.12496276437295
2022-09-03,69.34063151623474
2022-09-04,43.01921358355675
2022-09-05,49.09338695263628
2022-09-06,75.41480488531427
2022-09-07,71.36535597259457
2022-09-08,63.76645814715519
2022-09-09,68.3282692880548
2022-09-10,57.19228477807566
2022-09-11,37.957402442657134
2022-09-12,63.76645814715519
2022-09-13,64.27882037533512
2022-09-14,68.8282692880548
2022-09-15,63.26645814715519
2022-09-16,69.84063151623474
2022-09-17,54.655198093535894
2022-09-18,39.982126899016976
2022-09-19,64.27882037533512
2022-09-20,63.26645814715519
2022-09-21,63.76645814715519
2022-09-22,57.19228477807566
2022-09-23,67.81590705987489
2022-09-24,53.14283586535597
2022-09-25,35.932677986297286
2022-09-26,59.71700923443551
2022-09-27,61.24173369079535
2022-09-28,58.40929401251117
2022-09-29,56.35984509979147
2022-09-30,72.75543640154899
2022-10-01,65.58236520703008
2022-10-02,39.96425379803395
2022-10-03,69.68126303246946
2022-10-04,67.63181411974978
2022-10-05,60.45874292523085
2022-10-06,60.45874292523085
2022-10-07,71.73071194518914
2022-10-08,56.35984509979147
2022-10-09,40.9889782543938
2022-10-10,61.4834673815907
2022-10-11,66.60708966338993
2022-10-12,62.50819183795055
2022-10-13,59.43401846887101
2022-10-14,68.65653857610961
2022-10-15,54.31039618707179
2022-10-16,34.84063151623473
2022-10-17,64.55764075067023
2022-10-18,64.55764075067023
2022-10-19,59.43401846887101
2022-10-20,60.45874292523085
2022-10-21,64.55764075067023
2022-10-22,51.23622281799225
2022-10-23,35.86535597259457
2022-10-24,61.4834673815907
2022-10-25,58.40929401251117
2022-10-26,56.35984509979147
2022-10-27,58.40929401251117
2022-10-28,64.55764075067023
2022-10-29,54.31039618707179
2022-10-30,33.81590705987489
2022-10-31,63.53291629431039
2022-11-01,66.60708966338993
2022-11-02,63.53291629431039
2022-11-03,62.50819183795055
2022-11-04,66.60708966338993
2022-11-05,55.33512064343163
2022-11-06,34.84063151623473
2022-11-07,57.38456955615132
2022-11-08,61.4834673815907
2022-11-09,53.28567173071194
2022-11-10,62.50819183795055
2022-11-11,62.50819183795055
2022-11-12,53.28567173071194
2022-11-13,33.81590705987489
2022-11-14,62.50819183795055
2022-11-15,60.45874292523085
2022-11-16,61.4834673815907
2022-11-17,56.35984509979147
2022-11-18,67.63181411974978
2022-11-19,50.21149836163241
2022-11-20,33.81590705987489
2022-11-21,56.35984509979147
2022-11-22,58.40929401251117
2022-11-23,62.50819183795055
2022-11-24,29.717009234435505
2022-11-25,54.31039618707179
2022-11-26,44.06315162347333
2022-11-27,35.86535597259457
2022-11-28,58.40929401251117
2022-11-29,56.35984509979147
2022-11-30,56.35984509979147
2022-12-01,65.58236520703008
2022-12-02,69.68126303246946
2022-12-03,56.35984509979147
2022-12-04,36.89008042895442
2022-12-05,61.4834673815907
2022-12-06,57.38456955615132
2022-12-07,57.38456955615132
2022-12-08,56.35984509979147
2022-12-09,59.43401846887101
2022-12-10,51.23622281799225
2022-12-11,34.84063151623473
2022-12-12,59.43401846887101
2022-12-13,55.33512064343163
2022-12-14,58.40929401251117
2022-12-15,56.35984509979147
2022-12-16,65.58236520703008
2022-12-17,53.28567173071194
2022-12-18,32.79118260351504
2022-12-19,60.45874292523085
2022-12-20,62.50819183795055
2022-12-21,62.50819183795055
2022-12-22,58.40929401251117
2022-12-23,63.53291629431039
2022-12-24,47.13732499255287
2022-12-25,23.568662496276435
2022-12-26,54.31039618707179
2022-12-27,65.58236520703008
2022-12-28,66.60708966338993
2022-12-29,65.58236520703008
2022-12-30,75.82960977062854
2022-12-31,56.35984509979147
2023-01-01,33.81590705987489
2023-01-02,63.53291629431039
2023-01-03,67.63181411974978
2023-01-04,65.58236520703008
2023-01-05,65.58236520703008
2023-01-06,67.63181411974978
2023-01-07,55.33512064343163
2023-01-08,36.89008042895442
2023-01-09,59.43401846887101
2023-01-10,60.45874292523085
2023-01-11,59.43401846887101
2023-01-12,57.38456955615132
2023-01-13,67.63181411974978
2023-01-14,56.35984509979147
2023-01-15,35.86535597259457
2023-01-16,52.26094727435209
2023-01-17,60.45874292523085
2023-01-18,102.4724456359845
2023-01-19,93.24992552874589
2023-01-20,72.75543640154899
2023-01-21,57.38456955615132
2023-01-22,37.91480488531427
2023-01-23,61.4834673815907
2023-01-24,59.43401846887101
2023-01-25,61.4834673815907
2023-01-26,58.40929401251117
2023-01-27,60.45874292523085
2023-01-28,55.33512064343163
2023-01-29,36.89008042895442
2023-01-30,58.40929401251117
2023-01-31,64.55764075067023
2023-02-01,65.58236520703008
2023-02-02,65.58236520703008
2023-02-03,71.73071194518914
2023-02-04,59.43401846887101
2023-02-05,39.96425379803395
2023-02-06,63.53291629431039
2023-02-07,61.4834673815907
2023-02-08,57.38456955615132
2023-02-09,57.38456955615132
2023-02-10,65.58236520703008
2023-02-11,55.33512064343163
2023-02-12,35.86535597259457
2023-02-13,55.33512064343163
2023-02-14,59.43401846887101
2023-02-15,60.45874292523085
2023-02-16,63.53291629431039
2023-02-17,66.60708966338993
2023-02-18,56.35984509979147
2023-02-19,34.84063151623473
2023-02-20,53.28567173071194
2023-02-21,62.50819183795055
2023-02-22,60.45874292523085
2023-02-23,58.40929401251117
2023-02-24,62.50819183795055
2023-02-25,56.35984509979147
2023-02-26,40.9889782543938
2023-02-27,61.4834673815907
2023-02-28,64.55764075067023
2023-03-01,69.68126303246946
2023-03-02,66.60708966338993
2023-03-03,67.63181411974978
2023-03-04,58.40929401251117
2023-03-05,39.96425379803395
2023-03-06,64.55764075067023
2023-03-07,60.45874292523085
2023-03-08,59.43401846887101
2023-03-09,59.43401846887101
2023-03-10,69.68126303246946
2023-03-11,61.4834673815907
2023-03-12,44.06315162347333
2023-03-13,74.80488531426869
2023-03-14,70.70598748882931
2023-03-15,70.70598748882931
2023-03-16,65.58236520703008
2023-03-17,68.65653857610961
2023-03-18,54.31039618707179
2023-03-19,38.93952934167411
2023-03-20,63.53291629431039
2023-03-21,62.50819183795055
2023-03-22,60.45874292523085
2023-03-23,58.40929401251117
2023-03-24,65.58236520703008
2023-03-25,53.28567173071194
2023-03-26,36.89008042895442
2023-03-27,60.45874292523085
2023-03-28,61.4834673815907
2023-03-29,57.38456955615132
2023-03-30,58.40929401251117
2023-03-31,68.65653857610961
2023-04-01,62.50819183795055
2023-04-02,39.96425379803395
2023-04-03,67.63181411974978
2023-04-04,64.55764075067023
2023-04-05,58.40929401251117
2023-04-06,61.4834673815907
2023-04-07,68.65653857610961
2023-04-08,52.26094727435209
2023-04-09,31.766458147155195
2023-04-10,66.60708966338993
2023-04-11,62.50819183795055
2023-04-12,61.4834673815907
2023-04-13,60.45874292523085
2023-04-14,67.63181411974978
2023-04-15,58.40929401251117
2023-04-16,43.03842716711349
2023-04-17,68.65653857610961
2023-04-18,67.63181411974978
2023-04-19,61.4834673815907
2023-04-20,57.38456955615132
2023-04-21,72.75543640154899
2023-04-22,49.18677390527256
2023-04-23,33.81590705987489
2023-04-24,57.38456955615132
2023-04-25,56.35984509979147
2023-04-26,57.67259140403069
2023-04-27,53.63818998268394
2023-04-28,63.525698285188106
2023-04-29,55.0599049407692
2023-04-30,38.922299255382214
2023-05-01,72.90084435951235
2023-05-02,70.68514839797626
2023-05-03,65.74139424672418
2023-05-04,62.219355053557365
2023-05-05,62.219355053557365
2023-05-06,51.42249402114787
2023-05-07,35.7972505639408
2023-05-08,60.797640095472104
2023-05-09,60.40064959374669
2023-05-10,56.36624817239995
2023-05-11,59.491296863841356
2023-05-12,63.525698285188106
2023-05-13,51.42249402114787
2023-05-14,30.85349641268872
2023-05-15,63.525698285188106
2023-05-16,63.525698285188106
2023-05-17,60.40064959374669
2023-05-18,57.67259140403069
2023-05-19,65.74139424672418
2023-05-20,55.0599049407692
2023-05-21,34.49090733231006
2023-05-22,60.797640095472104
2023-05-23,59.491296863841356
2023-05-24,58.184953632210615
2023-05-25,58.58194413393603
2023-05-26,65.10644228296746
2023-05-27,50.81478422085266
2023-05-28,30.171278131131267
2023-05-29,38.111088165639494
2023-05-30,63.51848027606582
2023-05-31,66.69440428986911
2023-06-01,72.25227131402487
2023-06-02,75.42819532782816
2023-06-03,57.96061325191006
2023-06-04,44.46293619324608
2023-06-05,66.69440428986911
2023-06-06,64.31246127951664
2023-06-07,61.930518269164175
2023-06-08,59.54857525881171
2023-06-09,68.28236629677076
2023-06-10,52.40274622775431
2023-06-11,34.935164151836204
2023-06-12,65.10644228296746
2023-06-13,58.754594255360885
2023-06-14,61.930518269164175
2023-06-15,61.930518269164175
2023-06-16,65.90042328641829
2023-06-17,52.40274622775431
2023-06-18,34.14118314838538
2023-06-19,58.754594255360885
2023-06-20,67.48838529331994
2023-06-21,65.10644228296746
2023-06-22,57.96061325191006
2023-06-23,65.10644228296746
2023-06-24,52.40274622775431
2023-06-25,36.523126158737846
2023-06-26,61.13653726571336
2023-06-27,62.724499272615
2023-06-28,60.34255626226253
2023-06-29,64.31246127951664
2023-06-30,75.42819532782816
2023-07-01,65.90042328641829
2023-07-02,47.63886020704937
2023-07-03,79.39810034508228
2023-07-04,42.08099318289361
2023-07-05,68.28236629677076
2023-07-06,66.69440428986911
2023-07-07,70.66430930712323
2023-07-08,56.37265124500842
2023-07-09,34.14118314838538
2023-07-10,65.90042328641829
2023-07-11,78.60411934163146
2023-07-12,72.25227131402487
2023-07-13,67.48838529331994
2023-07-14,73.84023332092652
2023-07-15,59.54857525881171
2023-07-16,38.111088165639494
2023-07-17,69.07634730022158
2023-07-18,61.930518269164175
2023-07-19,61.13653726571336
2023-07-20,57.16663224845924
2023-07-21,62.724499272615
2023-07-22,50.020803217401834
2023-07-23,34.14118314838538
2023-07-24,62.724499272615
2023-07-25,59.54857525881171
2023-07-26,55.578670241557596
2023-07-27,55.578670241557596
2023-07-28,63.51848027606582
2023-07-29,53.99070823465595
2023-07-30,34.14118314838538
2023-07-31,67.48838529331994
2023-08-01,72.25227131402487
2023-08-02,58.754594255360885
2023-08-03,66.69440428986911
2023-08-04,65.90042328641829
2023-08-05,53.196727231205124
2023-08-06,37.31710716218867
2023-08-07,61.930518269164175
2023-08-08,61.930518269164175
2023-08-09,60.34255626226253
2023-08-10,59.54857525881171
2023-08-11,64.31246127951664
2023-08-12,48.43284121050019
2023-08-13,33.347202144934556
2023-08-14,60.34255626226253
2023-08-15,61.930518269164175
2023-08-16,60.34255626226253
2023-08-17,57.96061325191006
2023-08-18,66.69440428986911
2023-08-19,52.40274622775431
2023-08-20,33.347202144934556
2023-08-21,59.54857525881171
2023-08-22,59.54857525881171
2023-08-23,57.96061325191006
2023-08-24,53.99070823465595
2023-08-25,57.96061325191006
2023-08-26,46.844879203598545
2023-08-27,32.55322114148373
2023-08-28,57.16663224845924
2023-08-29,55.578670241557596
2023-08-30,57.16663224845924
2023-08-31,58.754594255360885
2023-09-01,71.45829031057406
2023-09-02,55.578670241557596
2023-09-03,35.72914515528703
2023-09-04,40.49303117599196
2023-09-05,65.10644228296746
2023-09-06,57.16663224845924
2023-09-07,56.37265124500842
2023-09-08,59.54857525881171
2023-09-09,48.43284121050019
2023-09-10,30.965259134582087
2023-09-11,56.37265124500842
2023-09-12,54.78468923810677
2023-09-13,53.99070823465595
2023-09-14,54.78468923810677
2023-09-15,60.34255626226253
2023-09-16,50.020803217401834
2023-09-17,30.171278131131267
2023-09-18,54.78468923810677
2023-09-19,54.78468923810677
2023-09-20,54.78468923810677
2023-09-21,53.196727231205124
2023-09-22,57.96061325191006
2023-09-23,45.2569171966969
2023-09-24,31.75924013803291
2023-09-25,54.78468923810677
2023-09-26,51.60876522430348
2023-09-27,54.78468923810677
2023-09-28,51.60876522430348
2023-09-29,62.724499272615
2023-09-30,52.40274622775431
2023-10-01,39.69905017254114
2023-10-02,61.13653726571336
2023-10-03,61.13653726571336
2023-10-04,58.754594255360885
2023-10-05,57.16663224845924
2023-10-06,62.724499272615
2023-10-07,50.020803217401834
2023-10-08,34.14118314838538
2023-10-09,56.37265124500842
2023-10-10,54.78468923810677
2023-10-11,56.37265124500842
2023-10-12,57.16663224845924
2023-10-13,61.13653726571336
2023-10-14,50.81478422085266
2023-10-15,39.69905017254114
2023-10-16,57.16663224845924
2023-10-17,57.96061325191006
2023-10-18,54.78468923810677
2023-10-19,53.99070823465595
2023-10-20,56.37265124500842
2023-10-21,44.46293619324608
2023-10-22,29.377297127680443
2023-10-23,53.196727231205124
2023-10-24,50.020803217401834
2023-10-25,47.63886020704937
2023-10-26,50.020803217401834
2023-10-27,53.99070823465595
2023-10-28,43.668955189795255
2023-10-29,27.789335120778798
2023-10-30,51.60876522430348
2023-10-31,53.99070823465595
2023-11-01,59.54857525881171
2023-11-02,57.16663224845924
2023-11-03,61.930518269164175
2023-11-04,52.40274622775431
2023-11-05,34.14118314838538
2023-11-06,57.16663224845924
2023-11-07,57.16663224845924
2023-11-08,54.78468923810677
2023-11-09,53.99070823465595
2023-11-10,64.31246127951664
2023-11-11,47.63886020704937
2023-11-12,26.995354117327974
2023-11-13,53.196727231205124
2023-11-14,52.40274622775431
2023-11-15,53.196727231205124
2023-11-16,51.60876522430348
2023-11-17,53.99070823465595
2023-11-18,46.844879203598545
2023-11-19,30.171278131131267
2023-11-20,52.40274622775431
2023-11-21,53.196727231205124
2023-11-22,52.40274622775431
2023-11-23,27.789335120778798
2023-11-24,53.196727231205124
2023-11-25,42.08099318289361
2023-11-26,29.377297127680443
2023-11-27,52.40274622775431
2023-11-28,53.99070823465595
2023-11-29,50.81478422085266
2023-11-30,52.40274622775431
2023-12-01,65.90042328641829
2023-12-02,54.78468923810677
2023-12-03,36.523126158737846
2023-12-04,57.16663224845924
2023-12-05,53.99070823465595
2023-12-06,53.196727231205124
2023-12-07,52.40274622775431
2023-12-08,58.754594255360885
2023-12-09,47.63886020704937
2023-12-10,33.347202144934556
2023-12-11,54.78468923810677
2023-12-12,54.78468923810677
2023-12-13,53.99070823465595
2023-12-14,50.81478422085266
2023-12-15,61.930518269164175
2023-12-16,47.63886020704937
2023-12-17,31.75924013803291
2023-12-18,53.99070823465595
2023-12-19,53.196727231205124
2023-12-20,56.37265124500842
2023-12-21,57.96061325191006
2023-12-22,59.47645218187897
2023-12-23,50.819244005319995
2023-12-24,27.028663132568408
2023-12-25,23.063566320443144
2023-12-26,56.238369922062155
2023-12-27,59.47645218187897
2023-12-28,57.29540852495363
2023-12-29,66.34960720323802
2023-12-30,50.819244005319995
2023-12-31,29.53973084007678
2024-01-01,35.685871309127386
2024-01-02,63.441548994004236
2024-01-03,65.95261670151261
2024-01-04,60.203466734187415
2024-01-05,61.98751988938734
2024-01-06,50.819244005319995
2024-01-07,33.17480360161901
2024-01-08,51.54625855762844
2024-01-09,52.27327310993689
2024-01-10,53.33031171282837
2024-01-11,52.27327310993689
2024-01-12,58.74943762957052
2024-01-13,46.854147193194734
2024-01-14,30.99375994469367
2024-01-15,42.88905038106947
2024-01-16,50.819244005319995
2024-01-17,55.90834587147912
2024-01-18,54.057326265136815
2024-01-19,55.51135536975371
2024-01-20,47.251137694920146
2024-01-21,29.702164552473118
2024-01-22,48.183511385123055
2024-01-23,51.4837518909534
2024-01-24,51.4837518909534
2024-01-25,52.14379999211947
2024-01-26,53.463896194451614
2024-01-27,46.20336708162485
2024-01-28,33.662453159469536
2024-01-29,54.78399239678375
2024-01-30,54.12394429561768
2024-01-31,56.10408859911589
2024-02-01,62.04452150961051
2024-02-02,62.70456961077658
2024-02-03,52.14379999211947
2024-02-04,36.30264556413381
2024-02-05,52.80384809328554
2024-02-06,53.463896194451614
2024-02-07,51.4837518909534
2024-02-08,51.4837518909534
2024-02-09,55.44404049794982
2024-02-10,50.82370378978733
2024-02-11,29.04211645130705
2024-02-12,47.523463283956985
2024-02-13,53.463896194451614
2024-02-14,52.80384809328554
2024-02-15,53.463896194451614
2024-02-16,60.72442530727837
2024-02-17,50.16365568862126
2024-02-18,31.022260754805256
2024-02-19,47.523463283956985
2024-02-20,52.14379999211947
2024-02-21,54.12394429561768
2024-02-22,53.463896194451614
2024-02-23,56.10408859911589
2024-02-24,47.523463283956985
2024-02-25,33.00240505830347
2024-02-26,50.82370378978733
2024-02-27,50.82370378978733
2024-02-28,50.82370378978733
2024-02-29,53.463896194451614
2024-03-01,63.36461771194265
2024-03-02,52.14379999211947
2024-03-03,34.322501260635605
2024-03-04,57.42418480144803
2024-03-05,54.12394429561768
2024-03-06,50.82370378978733
2024-03-07,50.16365568862126
2024-03-08,54.78399239678375
2024-03-09,46.863415182790916
2024-03-10,30.362212653639187
2024-03-11,50.82370378978733
2024-03-12,52.14379999211947
2024-03-13,50.16365568862126
2024-03-14,50.16365568862126
2024-03-15,56.10408859911589
2024-03-16,48.183511385123055
2024-03-17,29.04211645130705
2024-03-18,50.82370378978733
2024-03-19,52.80384809328554
2024-03-20,51.4837518909534
2024-03-21,49.50360758745519
2024-03-22,52.14379999211947
2024-03-23,45.54331898045878
2024-03-24,28.38206835014098
2024-03-25,50.82370378978733
2024-03-26,48.843559486289124
2024-03-27,50.82370378978733
2024-03-28,50.82370378978733
2024-03-29,60.064377206112304
2024-03-30,46.20336708162485
2024-03-31,27.72202024897491
2024-04-01,62.04452150961051
2024-04-02,57.42418480144803
2024-04-03,52.80384809328554
2024-04-04,53.463896194451614
2024-04-05,54.78399239678375
2024-04-06,47.523463283956985
2024-04-07,29.702164552473118
2024-04-08,47.523463283956985
2024-04-09,52.14379999211947
2024-04-10,52.80384809328554
2024-04-11,49.50360758745519
2024-04-12,57.42418480144803
2024-04-13,46.863415182790916
2024-04-14,34.982549361801674
2024-04-15,57.42418480144803
2024-04-16,56.10408859911589
2024-04-17,48.183511385123055
2024-04-18,46.863415182790916
2024-04-19,53.463896194451614
2024-04-20,42.24307847462843
2024-04-21,32.3423569571374
2024-04-22,48.843559486289124
2024-04-23,47.523463283956985
2024-04-24,47.523463283956985
2024-04-25,43.56317467696057
2024-04-26,49.50360758745519
2024-04-27,46.863415182790916
2024-04-28,28.38206835014098
2024-04-29,49.50360758745519
2024-04-30,52.80384809328554
2024-05-01,54.78399239678375
2024-05-02,52.80384809328554
2024-05-03,56.10408859911589
2024-05-04,46.20336708162485
2024-05-05,29.04211645130705
2024-05-06,55.44404049794982
2024-05-07,50.82370378978733
2024-05-08,49.50360758745519
2024-05-09,48.183511385123055
2024-05-10,50.82370378978733
2024-05-11,42.24307847462843
2024-05-12,25.7418759454767
2024-05-13,54.12394429561768
2024-05-14,49.50360758745519
2024-05-15,51.4837518909534
2024-05-16,48.843559486289124
2024-05-17,51.4837518909534
2024-05-18,42.24307847462843
2024-05-19,25.08182784431063
2024-05-20,49.50360758745519
2024-05-21,48.843559486289124
2024-05-22,49.50360758745519
2024-05-23,48.183511385123055
2024-05-24,52.14379999211947
2024-05-25,42.9031265757945
2024-05-26,25.7418759454767
2024-05-27,29.04211645130705
2024-05-28,52.14379999211947
2024-05-29,53.463896194451614
2024-05-30,54.78399239678375
2024-05-31,61.38447340844444
2024-06-01,54.78399239678375
2024-06-02,35.64259746296774
2024-06-03,56.76413670028196
2024-06-04,53.463896194451614
2024-06-05,54.12394429561768
2024-06-06,52.14379999211947
2024-06-07,56.76413670028196
2024-06-08,44.22322277812664
2024-06-09,29.702164552473118
2024-06-10,56.10408859911589
2024-06-11,53.463896194451614
2024-06-12,50.82370378978733
2024-06-13,50.82370378978733
2024-06-14,56.10408859911589
2024-06-15,43.56317467696057
2024-06-16,28.38206835014098
2024-06-17,52.80384809328554
2024-06-18,53.463896194451614
2024-06-19,52.14379999211947
2024-06-20,48.843559486289124
2024-06-21,56.76413670028196
2024-06-22,40.922982272296295
2024-06-23,27.72202024897491
2024-06-24,52.80384809328554
2024-06-25,48.843559486289124
2024-06-26,47.523463283956985
2024-06-27,49.50360758745519
2024-06-28,56.76413670028196
2024-06-29,46.20336708162485
2024-06-30,31.022260754805256
2024-07-01,62.04452150961051
2024-07-02,58.0842329026141
2024-07-03,58.744281003780166
2024-07-04,37.62274176646595
2024-07-05,58.744281003780166
2024-07-06,43.56317467696057
2024-07-07,29.04211645130705
2024-07-08,56.10408859911589
2024-07-09,50.82370378978733
2024-07-10,54.12394429561768
2024-07-11,55.44404049794982
2024-07-12,55.44404049794982
2024-07-13,41.583030373462364
2024-07-14,26.40192404664277
2024-07-15,51.4837518909534
2024-07-16,53.463896194451614
2024-07-17,50.16365568862126
2024-07-18,49.50360758745519
2024-07-19,57.42418480144803
2024-07-20,42.24307847462843
2024-07-21,26.40192404664277
2024-07-22,51.4837518909534
2024-07-23,48.843559486289124
2024-07-24,51.4837518909534
2024-07-25,51.4837518909534
2024-07-26,52.80384809328554
2024-07-27,39.60288606996416
2024-07-28,27.06197214780884
2024-07-29,52.80384809328554
2024-07-30,51.4837518909534
2024-07-31,56.10408859911589
2024-08-01,58.0842329026141
2024-08-02,61.38447340844444
2024-08-03,45.54331898045878
2024-08-04,29.04211645130705
2024-08-05,55.44404049794982
2024-08-06,51.4837518909534
2024-08-07,50.16365568862126
2024-08-08,48.843559486289124
2024-08-09,53.463896194451614
2024-08-10,41.583030373462364
2024-08-11,29.04211645130705
2024-08-12,52.80384809328554
2024-08-13,51.4837518909534
2024-08-14,50.82370378978733
2024-08-15,55.44404049794982
2024-08-16,58.0842329026141
2024-08-17,42.9031265757945
2024-08-18,26.696851705787573
2024-08-19,48.959760983992176
2024-08-20,50.563282666762476
2024-08-21,51.5067562483667
2024-08-22,48.01628740238795
2024-08-23,51.5067562483667
2024-08-24,43.25232092422195
2024-08-25,27.970349337974834
2024-08-26,49.28978503457521
2024-08-27,47.68626335180492
2024-08-28,46.74278977020069
2024-08-29,48.01628740238795
2024-08-30,56.60074677711574
2024-08-31,46.41276571961765
2024-09-01,31.790842234536612
2024-09-02,38.158330395472916
2024-09-03,57.54422035871996
2024-09-04,54.053751512741215
2024-09-05,52.78025388055396
2024-09-06,53.72372746215818
2024-09-07,43.25232092422195
2024-09-08,27.026875756370607
2024-09-09,48.01628740238795
2024-09-10,48.959760983992176
2024-09-11,48.959760983992176
2024-09-12,47.68626335180492
2024-09-13,54.99722509434544
2024-09-14,45.46929213801343
2024-09-15,28.30037338855787
2024-09-16,48.959760983992176
2024-09-17,47.84906341965285
2024-09-18,47.84906341965285
2024-09-19,46.622164357610465
2024-09-20,53.983558729864754
2024-09-21,40.48766904739856
2024-09-22,26.991779364932377
