Time,melania trump
2022-01-01,13
2022-01-02,14
2022-01-03,12
2022-01-04,17
2022-01-05,17
2022-01-06,14
2022-01-07,15
2022-01-08,12
2022-01-09,11
2022-01-10,9
2022-01-11,6
2022-01-12,8
2022-01-13,12
2022-01-14,13
2022-01-15,10
2022-01-16,10
2022-01-17,8
2022-01-18,9
2022-01-19,8
2022-01-20,10
2022-01-21,11
2022-01-22,13
2022-01-23,13
2022-01-24,12
2022-01-25,10
2022-01-26,12
2022-01-27,10
2022-01-28,10
2022-01-29,15
2022-01-30,11
2022-01-31,9
2022-02-01,10
2022-02-02,9
2022-02-03,7
2022-02-04,8
2022-02-05,9
2022-02-06,8
2022-02-07,9
2022-02-08,8
2022-02-09,8
2022-02-10,8
2022-02-11,7
2022-02-12,15
2022-02-13,15
2022-02-14,12
2022-02-15,12
2022-02-16,11
2022-02-17,11
2022-02-18,15
2022-02-19,16
2022-02-20,12
2022-02-21,12
2022-02-22,11
2022-02-23,11
2022-02-24,26
2022-02-25,29
2022-02-26,34
2022-02-27,35
2022-02-28,26
2022-03-01,23
2022-03-02,27
2022-03-03,18
2022-03-04,19
2022-03-05,19
2022-03-06,20
2022-03-07,15
2022-03-08,15
2022-03-09,16
2022-03-10,14
2022-03-11,14
2022-03-12,15
2022-03-13,15
2022-03-14,12
2022-03-15,11
2022-03-16,12
2022-03-17,11
2022-03-18,11
2022-03-19,11
2022-03-20,14
2022-03-21,11
2022-03-22,10
2022-03-23,10
2022-03-24,11
2022-03-25,9
2022-03-26,10
2022-03-27,10
2022-03-28,8
2022-03-29,7
2022-03-30,7
2022-03-31,8
2022-04-01,9
2022-04-02,8
2022-04-03,7
2022-04-04,7
2022-04-05,7
2022-04-06,9
2022-04-07,8
2022-04-08,9
2022-04-09,11
2022-04-10,11
2022-04-11,8
2022-04-12,9
2022-04-13,7
2022-04-14,8
2022-04-15,7
2022-04-16,8
2022-04-17,8
2022-04-18,7
2022-04-19,6
2022-04-20,6
2022-04-21,6
2022-04-22,7
2022-04-23,9
2022-04-24,11
2022-04-25,9
2022-04-26,13
2022-04-27,12
2022-04-28,6
2022-04-29,7
2022-04-30,8
2022-05-01,8
2022-05-02,6
2022-05-03,7
2022-05-04,5
2022-05-05,6
2022-05-06,6
2022-05-07,12
2022-05-08,15
2022-05-09,8
2022-05-10,6
2022-05-11,6
2022-05-12,6
2022-05-13,11
2022-05-14,20
2022-05-15,43
2022-05-16,24
2022-05-17,14
2022-05-18,9
2022-05-19,7
2022-05-20,7
2022-05-21,7
2022-05-22,7
2022-05-23,6
2022-05-24,5
2022-05-25,5
2022-05-26,6
2022-05-27,5
2022-05-28,5
2022-05-29,7
2022-05-30,7
2022-05-31,4
2022-06-01,4
2022-06-02,4
2022-06-03,5
2022-06-04,6
2022-06-05,6
2022-06-06,4
2022-06-07,5
2022-06-08,4
2022-06-09,5
2022-06-10,9
2022-06-11,7
2022-06-12,8
2022-06-13,8
2022-06-14,9
2022-06-15,8
2022-06-16,8
2022-06-17,8
2022-06-18,9
2022-06-19,9
2022-06-20,13
2022-06-21,9
2022-06-22,9
2022-06-23,7
2022-06-24,7
2022-06-25,8
2022-06-26,7
2022-06-27,5
2022-06-28,11
2022-06-29,25
2022-06-30,18
2022-07-01,11
2022-07-02,9
2022-07-03,11
2022-07-04,10
2022-07-05,7
2022-07-06,7
2022-07-07,7
2022-07-08,8
2022-07-09,8
2022-07-10,10
2022-07-11,7
2022-07-12,11
2022-07-13,9
2022-07-14,79
2022-07-15,100
2022-07-16,53
2022-07-17,30
2022-07-18,18
2022-07-19,17
2022-07-20,23
2022-07-21,38
2022-07-22,36
2022-07-23,26
2022-07-24,18
2022-07-25,13
2022-07-26,10
2022-07-27,9
2022-07-28,10
2022-07-29,12
2022-07-30,13
2022-07-31,14
2022-08-01,13
2022-08-02,11
2022-08-03,10
2022-08-04,8
2022-08-05,9
2022-08-06,9
2022-08-07,9
2022-08-08,9
2022-08-09,32
2022-08-10,28
2022-08-11,23
2022-08-12,37
2022-08-13,33
2022-08-14,30
2022-08-15,22
2022-08-16,20
2022-08-17,15
2022-08-18,12
2022-08-19,11
2022-08-20,13
2022-08-21,13
2022-08-22,10
2022-08-23,9
2022-08-24,7
2022-08-25,9
2022-08-26,12
2022-08-27,12
2022-08-28,11
2022-08-29,8
2022-08-30,26
2022-08-31,19
2022-09-01,12
2022-09-02,12
2022-09-03,13
2022-09-04,13
2022-09-05,11
2022-09-06,9
2022-09-07,14
2022-09-08,17
2022-09-09,13
2022-09-10,11
2022-09-11,10
2022-09-12,9
2022-09-13,8
2022-09-14,9
2022-09-15,10
2022-09-16,8
2022-09-17,14
2022-09-18,9
2022-09-19,9
2022-09-20,8
2022-09-21,16
2022-09-22,19
2022-09-23,12
2022-09-24,12
2022-09-25,10
2022-09-26,7
2022-09-27,6
