Time,melania trump
2022-08-29,8
2022-08-30,25
2022-08-31,18
2022-09-01,11
2022-09-02,11
2022-09-03,12
2022-09-04,12
2022-09-05,11
2022-09-06,8
2022-09-07,13
2022-09-08,16
2022-09-09,12
2022-09-10,11
2022-09-11,9
2022-09-12,8
2022-09-13,8
2022-09-14,8
2022-09-15,10
2022-09-16,7
2022-09-17,13
2022-09-18,9
2022-09-19,9
2022-09-20,7
2022-09-21,15
2022-09-22,18
2022-09-23,11
2022-09-24,11
2022-09-25,9
2022-09-26,7
2022-09-27,5
2022-09-28,5
2022-09-29,7
2022-09-30,6
2022-10-01,7
2022-10-02,7
2022-10-03,6
2022-10-04,7
2022-10-05,7
2022-10-06,6
2022-10-07,5
2022-10-08,7
2022-10-09,6
2022-10-10,6
2022-10-11,6
2022-10-12,5
2022-10-13,7
2022-10-14,7
2022-10-15,8
2022-10-16,8
2022-10-17,7
2022-10-18,6
2022-10-19,5
2022-10-20,6
2022-10-21,6
2022-10-22,7
2022-10-23,8
2022-10-24,6
2022-10-25,5
2022-10-26,5
2022-10-27,5
2022-10-28,5
2022-10-29,5
2022-10-30,5
2022-10-31,5
2022-11-01,5
2022-11-02,5
2022-11-03,5
2022-11-04,5
2022-11-05,6
2022-11-06,8
2022-11-07,5
2022-11-08,9
2022-11-09,13
2022-11-10,24
2022-11-11,18
2022-11-12,23
2022-11-13,30
2022-11-14,24
2022-11-15,19
2022-11-16,51
2022-11-17,20
2022-11-18,13
2022-11-19,12
2022-11-20,12
2022-11-21,9
2022-11-22,8
2022-11-23,8
2022-11-24,9
2022-11-25,8
2022-11-26,7
2022-11-27,8
2022-11-28,9
2022-11-29,8
2022-11-30,6
2022-12-01,6
2022-12-02,6
2022-12-03,6
2022-12-04,8
2022-12-05,7
2022-12-06,7
2022-12-07,7
2022-12-08,6
2022-12-09,6
2022-12-10,5
2022-12-11,8
2022-12-12,6
2022-12-13,7
2022-12-14,5
2022-12-15,7
2022-12-16,14
2022-12-17,9
2022-12-18,9
2022-12-19,8
2022-12-20,8
2022-12-21,8
2022-12-22,8
2022-12-23,7
2022-12-24,9
2022-12-25,9
2022-12-26,9
2022-12-27,8
2022-12-28,6
2022-12-29,5
2022-12-30,13
2022-12-31,10
2023-01-01,9
2023-01-02,11
2023-01-03,6
2023-01-04,6
2023-01-05,5
2023-01-06,4
2023-01-07,4
2023-01-08,6
2023-01-09,5
2023-01-10,4
2023-01-11,5
2023-01-12,4
2023-01-13,5
2023-01-14,4
2023-01-15,5
2023-01-16,5
2023-01-17,4
2023-01-18,4
2023-01-19,5
2023-01-20,5
2023-01-21,4
2023-01-22,8
2023-01-23,4
2023-01-24,4
2023-01-25,3
2023-01-26,4
2023-01-27,4
2023-01-28,5
2023-01-29,5
2023-01-30,6
2023-01-31,5
2023-02-01,5
2023-02-02,5
2023-02-03,3
2023-02-04,5
2023-02-05,6
2023-02-06,6
2023-02-07,6
2023-02-08,6
2023-02-09,6
2023-02-10,5
2023-02-11,6
2023-02-12,6
2023-02-13,4
2023-02-14,4
2023-02-15,5
2023-02-16,4
2023-02-17,5
2023-02-18,4
2023-02-19,5
2023-02-20,6
2023-02-21,4
2023-02-22,5
2023-02-23,5
2023-02-24,5
2023-02-25,6
2023-02-26,6
2023-02-27,4
2023-02-28,4
2023-03-01,4
2023-03-02,4
2023-03-03,5
2023-03-04,5
2023-03-05,7
2023-03-06,4
2023-03-07,6
2023-03-08,3
2023-03-09,5
2023-03-10,7
2023-03-11,6
2023-03-12,7
2023-03-13,6
2023-03-14,5
2023-03-15,6
2023-03-16,6
2023-03-17,6
2023-03-18,16
2023-03-19,17
2023-03-20,21
2023-03-21,25
2023-03-22,19
2023-03-23,15
2023-03-24,14
2023-03-25,11
2023-03-26,10
2023-03-27,9
2023-03-28,11
2023-03-29,11
2023-03-30,20
2023-03-31,47
2023-04-01,29
2023-04-02,21
2023-04-03,28
2023-04-04,69
2023-04-05,100
2023-04-06,58
2023-04-07,38
2023-04-08,28
2023-04-09,26
2023-04-10,27
2023-04-11,23
2023-04-12,21
2023-04-13,17
2023-04-14,12
2023-04-15,14
2023-04-16,14
2023-04-17,11
2023-04-18,12
2023-04-19,10
2023-04-20,9
2023-04-21,9
2023-04-22,9
2023-04-23,10
2023-04-24,7
2023-04-25,8
2023-04-26,15
2023-04-27,17
2023-04-28,13
2023-04-29,12
2023-04-30,9
2023-05-01,8
2023-05-02,8
2023-05-03,8
2023-05-04,7
2023-05-05,7
2023-05-06,10
2023-05-07,7
2023-05-08,8
2023-05-09,15
2023-05-10,19
2023-05-11,11
2023-05-12,10
2023-05-13,9
2023-05-14,10
2023-05-15,9
2023-05-16,7
2023-05-17,7
2023-05-18,6
2023-05-19,5
2023-05-20,8
2023-05-21,7
2023-05-22,6
2023-05-23,7
2023-05-24,6
2023-05-25,7
