Time,detroit tigers
2022-01-01,4
2022-01-02,4
2022-01-03,3
2022-01-04,5
2022-01-05,4
2022-01-06,3
2022-01-07,3
2022-01-08,4
2022-01-09,4
2022-01-10,3
2022-01-11,4
2022-01-12,4
2022-01-13,4
2022-01-14,4
2022-01-15,5
2022-01-16,4
2022-01-17,4
2022-01-18,4
2022-01-19,4
2022-01-20,3
2022-01-21,4
2022-01-22,4
2022-01-23,4
2022-01-24,4
2022-01-25,3
2022-01-26,4
2022-01-27,4
2022-01-28,4
2022-01-29,4
2022-01-30,4
2022-01-31,4
2022-02-01,4
2022-02-02,4
2022-02-03,4
2022-02-04,5
2022-02-05,4
2022-02-06,5
2022-02-07,4
2022-02-08,5
2022-02-09,4
2022-02-10,4
2022-02-11,4
2022-02-12,4
2022-02-13,4
2022-02-14,4
2022-02-15,4
2022-02-16,4
2022-02-17,4
2022-02-18,5
2022-02-19,5
2022-02-20,4
2022-02-21,5
2022-02-22,5
2022-02-23,4
2022-02-24,4
2022-02-25,5
2022-02-26,5
2022-02-27,5
2022-02-28,4
2022-03-01,5
2022-03-02,4
2022-03-03,4
2022-03-04,4
2022-03-05,5
2022-03-06,4
2022-03-07,5
2022-03-08,3
2022-03-09,4
2022-03-10,7
2022-03-11,14
2022-03-12,14
2022-03-13,14
2022-03-14,12
2022-03-15,11
2022-03-16,12
2022-03-17,13
2022-03-18,18
2022-03-19,17
2022-03-20,16
2022-03-21,14
2022-03-22,13
2022-03-23,14
2022-03-24,14
2022-03-25,12
2022-03-26,15
2022-03-27,17
2022-03-28,13
2022-03-29,11
2022-03-30,13
2022-03-31,14
2022-04-01,16
2022-04-02,17
2022-04-03,19
2022-04-04,18
2022-04-05,26
2022-04-06,19
2022-04-07,24
2022-04-08,100
2022-04-09,77
2022-04-10,51
2022-04-11,37
2022-04-12,46
2022-04-13,37
2022-04-14,25
2022-04-15,42
2022-04-16,60
2022-04-17,41
2022-04-18,22
2022-04-19,27
2022-04-20,39
2022-04-21,67
2022-04-22,45
2022-04-23,73
2022-04-24,59
2022-04-25,19
2022-04-26,19
2022-04-27,30
2022-04-28,30
2022-04-29,16
2022-04-30,32
2022-05-01,44
2022-05-02,17
2022-05-03,21
2022-05-04,34
2022-05-05,22
2022-05-06,28
2022-05-07,37
2022-05-08,32
2022-05-09,19
2022-05-10,40
2022-05-11,22
2022-05-12,34
2022-05-13,19
2022-05-14,43
2022-05-15,37
2022-05-16,21
2022-05-17,29
2022-05-18,28
2022-05-19,15
2022-05-20,18
2022-05-21,32
2022-05-22,31
2022-05-23,18
2022-05-24,23
2022-05-25,40
2022-05-26,22
2022-05-27,33
2022-05-28,35
2022-05-29,35
2022-05-30,37
2022-05-31,31
2022-06-01,30
2022-06-02,38
2022-06-03,31
2022-06-04,51
2022-06-05,49
2022-06-06,18
2022-06-07,20
2022-06-08,43
2022-06-09,21
2022-06-10,22
2022-06-11,40
2022-06-12,39
2022-06-13,20
2022-06-14,30
2022-06-15,34
2022-06-16,21
2022-06-17,27
2022-06-18,47
2022-06-19,45
2022-06-20,22
2022-06-21,27
2022-06-22,25
2022-06-23,23
2022-06-24,16
2022-06-25,39
2022-06-26,46
2022-06-27,19
2022-06-28,18
2022-06-29,34
2022-06-30,20
2022-07-01,22
2022-07-02,42
2022-07-03,53
2022-07-04,45
2022-07-05,35
2022-07-06,46
2022-07-07,24
2022-07-08,37
2022-07-09,57
2022-07-10,39
2022-07-11,28
2022-07-12,27
2022-07-13,37
2022-07-14,20
2022-07-15,22
2022-07-16,38
2022-07-17,29
2022-07-18,22
2022-07-19,15
2022-07-20,14
2022-07-21,27
2022-07-22,26
2022-07-23,30
2022-07-24,38
2022-07-25,20
2022-07-26,31
2022-07-27,39
2022-07-28,22
2022-07-29,30
2022-07-30,46
2022-07-31,37
2022-08-01,23
2022-08-02,44
2022-08-03,35
2022-08-04,20
2022-08-05,27
2022-08-06,39
2022-08-07,43
2022-08-08,14
2022-08-09,18
2022-08-10,28
2022-08-11,35
2022-08-12,19
2022-08-13,26
2022-08-14,32
2022-08-15,22
2022-08-16,23
2022-08-17,26
2022-08-18,23
2022-08-19,16
2022-08-20,34
2022-08-21,28
2022-08-22,15
2022-08-23,15
2022-08-24,28
2022-08-25,15
2022-08-26,14
2022-08-27,24
2022-08-28,36
2022-08-29,14
2022-08-30,14
2022-08-31,20
2022-09-01,22
2022-09-02,13
2022-09-03,25
2022-09-04,27
2022-09-05,15
2022-09-06,15
2022-09-07,21
2022-09-08,12
2022-09-09,12
2022-09-10,24
2022-09-11,21
2022-09-12,13
2022-09-13,17
2022-09-14,19
2022-09-15,11
2022-09-16,12
2022-09-17,23
2022-09-18,26
2022-09-19,13
2022-09-20,19
2022-09-21,18
2022-09-22,15
2022-09-23,11
2022-09-24,20
2022-09-25,24
2022-09-26,11
2022-09-27,11
