Time,herschel_walker
2022-01-01,8.0
2022-01-02,10.0
2022-01-03,4.0
2022-01-04,4.0
2022-01-05,3.0
2022-01-06,3.0
2022-01-07,3.0
2022-01-08,3.0
2022-01-09,5.0
2022-01-10,7.0
2022-01-11,29.0
2022-01-12,5.0
2022-01-13,10.0
2022-01-14,3.0
2022-01-15,5.0
2022-01-16,4.0
2022-01-17,2.0
2022-01-18,3.0
2022-01-19,3.0
2022-01-20,7.0
2022-01-21,3.0
2022-01-22,4.0
2022-01-23,6.0
2022-01-24,3.0
2022-01-25,2.0
2022-01-26,3.0
2022-01-27,4.0
2022-01-28,3.0
2022-01-29,3.0
2022-01-30,3.0
2022-01-31,2.0
2022-02-01,3.0
2022-02-02,2.0
2022-02-03,11.0
2022-02-04,3.0
2022-02-05,3.0
2022-02-06,3.0
2022-02-07,2.0
2022-02-08,3.0
2022-02-09,2.0
2022-02-10,3.0
2022-02-11,5.0
2022-02-12,6.0
2022-02-13,6.0
2022-02-14,5.0
2022-02-15,3.0
2022-02-16,3.0
2022-02-17,2.0
2022-02-18,4.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,3.0
2022-02-22,2.0
2022-02-23,3.0
2022-02-24,4.0
2022-02-25,2.0
2022-02-26,2.0
2022-02-27,3.0
2022-02-28,3.0
2022-03-01,2.0
2022-03-02,3.0
2022-03-03,3.0
2022-03-04,2.0
2022-03-05,3.0
2022-03-06,2.0
2022-03-07,3.0
2022-03-08,5.0
2022-03-09,6.0
2022-03-10,3.0
2022-03-11,3.0
2022-03-12,4.0
2022-03-13,3.0
2022-03-14,2.0
2022-03-15,8.0
2022-03-16,14.0
2022-03-17,8.0
2022-03-18,6.0
2022-03-19,5.0
2022-03-20,4.0
2022-03-21,3.0
2022-03-22,5.0
2022-03-23,3.0
2022-03-24,15.0
2022-03-25,13.0
2022-03-26,7.0
2022-03-27,15.0
2022-03-28,5.0
2022-03-29,5.0
2022-03-30,4.0
2022-03-31,4.0
2022-04-01,10.0
2022-04-02,15.0
2022-04-03,7.0
2022-04-04,5.0
2022-04-05,3.0
2022-04-06,4.0
2022-04-07,4.0
2022-04-08,5.0
2022-04-09,5.0
2022-04-10,14.0
2022-04-11,30.0
2022-04-12,11.0
2022-04-13,10.0
2022-04-14,11.0
2022-04-15,18.0
2022-04-16,8.0
2022-04-17,8.0
2022-04-18,5.0
2022-04-19,4.0
2022-04-20,4.0
2022-04-21,4.0
2022-04-22,3.0
2022-04-23,3.0
2022-04-24,3.0
2022-04-25,3.0
2022-04-26,3.0
2022-04-27,4.0
2022-04-28,4.0
2022-04-29,6.0
2022-04-30,8.0
2022-05-01,4.0
2022-05-02,7.0
2022-05-03,6.0
2022-05-04,8.0
2022-05-05,5.0
2022-05-06,9.0
2022-05-07,7.0
2022-05-08,6.0
2022-05-09,4.0
2022-05-10,5.0
2022-05-11,5.0
2022-05-12,4.0
2022-05-13,5.0
2022-05-14,4.0
2022-05-15,5.0
2022-05-16,5.0
2022-05-17,5.0
2022-05-18,13.0
2022-05-19,8.0
2022-05-20,10.0
2022-05-21,8.0
2022-05-22,15.0
2022-05-23,15.0
2022-05-24,39.0
2022-05-25,100.0
2022-05-26,40.0
2022-05-27,31.0
2022-05-28,19.0
2022-05-29,18.0
2022-05-30,12.0
2022-05-31,12.0
2022-06-01,14.0
2022-06-02,10.0
2022-06-03,9.0
2022-06-04,12.0
2022-06-05,11.0
2022-06-06,8.0
2022-06-07,10.0
2022-06-08,10.0
2022-06-09,6.0
2022-06-10,6.0
2022-06-11,6.0
2022-06-12,6.0
2022-06-13,6.0
2022-06-14,17.0
2022-06-15,37.0
2022-06-16,55.0
2022-06-17,44.0
2022-06-18,31.0
2022-06-19,31.0
2022-06-20,15.0
2022-06-21,11.0
2022-06-22,22.0
2022-06-23,17.0
2022-06-24,13.0
2022-06-25,10.0
2022-06-26,11.0
2022-06-27,8.0
2022-06-28,7.0
2022-06-29,9.0
2022-06-30,9.0
2022-07-01,6.0
2022-07-02,6.0
2022-07-03,6.0
2022-07-04,5.0
2022-07-05,6.0
2022-07-06,8.0
2022-07-07,13.0
2022-07-08,16.0
2022-07-09,9.0
2022-07-10,8.0
2022-07-11,14.0
2022-07-12,43.0
2022-07-13,27.0
2022-07-14,31.0
2022-07-15,23.0
2022-07-16,17.0
2022-07-17,13.0
2022-07-18,12.0
2022-07-19,15.0
2022-07-20,14.0
2022-07-21,9.0
2022-07-22,11.0
2022-07-23,8.0
2022-07-24,9.0
2022-07-25,6.0
2022-07-26,7.0
2022-07-27,14.0
2022-07-28,12.0
2022-07-29,10.0
2022-07-30,10.0
2022-07-31,11.0
2022-08-01,16.0
2022-08-02,15.0
2022-08-03,21.0
2022-08-04,19.0
2022-08-05,20.0
2022-08-06,10.0
2022-08-07,16.0
2022-08-08,13.0
2022-08-09,13.0
2022-08-10,11.0
2022-08-11,9.0
2022-08-12,8.0
2022-08-13,8.0
2022-08-14,9.0
2022-08-15,8.0
2022-08-16,9.0
2022-08-17,10.0
2022-08-18,9.0
2022-08-19,13.0
2022-08-20,14.0
2022-08-21,14.0
2022-08-22,15.0
2022-08-23,43.0
2022-08-24,48.0
2022-08-25,17.0
2022-08-26,12.0
2022-08-27,11.0
2022-08-28,14.0
2022-08-29,10.5
2022-08-30,12.0
2022-08-31,22.5
2022-09-01,20.5
2022-09-02,19.5
2022-09-03,18.5
2022-09-04,12.0
2022-09-05,19.0
2022-09-06,11.0
2022-09-07,11.5
2022-09-08,19.0
2022-09-09,12.0
2022-09-10,19.0
2022-09-11,19.5
2022-09-12,11.0
2022-09-13,11.5
2022-09-14,18.5
2022-09-15,12.0
2022-09-16,11.5
2022-09-17,11.5
2022-09-18,11.0
2022-09-19,20.5
2022-09-20,32.0
2022-09-21,21.0
2022-09-22,12.0
2022-09-23,11.5
2022-09-24,11.0
2022-09-25,11.0
2022-09-26,11.5
2022-09-27,11.5
2022-09-28,11.0
2022-09-29,11.0
2022-09-30,11.0
2022-10-01,11.0
2022-10-02,22.0
2022-10-03,22.0
2022-10-04,363.0
2022-10-05,220.0
2022-10-06,198.0
2022-10-07,143.0
2022-10-08,132.0
2022-10-09,99.0
2022-10-10,66.0
2022-10-11,66.0
2022-10-12,77.0
2022-10-13,55.0
2022-10-14,88.0
2022-10-15,242.0
2022-10-16,99.0
2022-10-17,121.0
2022-10-18,99.0
2022-10-19,55.0
2022-10-20,44.0
2022-10-21,44.0
2022-10-22,33.0
2022-10-23,44.0
2022-10-24,22.0
2022-10-25,22.0
2022-10-26,55.0
2022-10-27,88.0
2022-10-28,55.0
2022-10-29,55.0
2022-10-30,44.0
2022-10-31,44.0
2022-11-01,66.0
2022-11-02,55.0
