Time,s and p 500
2022-10-29,21.0
2022-10-30,14.0
2022-10-31,66.0
2022-11-01,70.0
2022-11-02,80.0
2022-11-03,72.0
2022-11-04,72.0
2022-11-05,19.0
2022-11-06,11.0
2022-11-07,64.0
2022-11-08,65.0
2022-11-09,63.0
2022-11-10,97.0
2022-11-11,80.0
2022-11-12,23.0
2022-11-13,14.0
2022-11-14,73.0
2022-11-15,75.0
2022-11-16,77.0
2022-11-17,68.0
2022-11-18,66.0
2022-11-19,19.0
2022-11-20,13.0
2022-11-21,63.0
2022-11-22,65.0
2022-11-23,72.0
2022-11-24,21.0
2022-11-25,48.0
2022-11-26,15.0
2022-11-27,11.0
2022-11-28,56.0
2022-11-29,60.0
2022-11-30,63.0
2022-12-01,71.0
2022-12-02,59.0
2022-12-03,18.0
2022-12-04,11.0
2022-12-05,56.0
2022-12-06,68.0
2022-12-07,58.0
2022-12-08,57.0
2022-12-09,60.0
2022-12-10,16.0
2022-12-11,11.0
2022-12-12,54.0
2022-12-13,75.0
2022-12-14,73.0
2022-12-15,66.0
2022-12-16,70.0
2022-12-17,22.0
2022-12-18,11.0
2022-12-19,65.0
2022-12-20,62.0
2022-12-21,65.0
2022-12-22,73.0
2022-12-23,65.0
2022-12-24,18.0
2022-12-25,14.0
2022-12-26,29.0
2022-12-27,61.0
2022-12-28,67.0
2022-12-29,69.0
2022-12-30,63.0
2022-12-31,23.0
2023-01-01,15.0
2023-01-02,30.0
2023-01-03,57.0
2023-01-04,66.0
2023-01-05,62.0
2023-01-06,73.0
2023-01-07,19.0
2023-01-08,13.0
2023-01-09,65.0
2023-01-10,64.0
2023-01-11,68.0
2023-01-12,77.0
2023-01-13,74.0
2023-01-14,24.0
2023-01-15,14.0
2023-01-16,27.0
2023-01-17,68.0
2023-01-18,66.0
2023-01-19,62.0
2023-01-20,73.0
2023-01-21,18.0
2023-01-22,10.0
2023-01-23,70.0
2023-01-24,71.0
2023-01-25,67.0
2023-01-26,77.0
2023-01-27,68.0
2023-01-28,19.0
2023-01-29,11.0
2023-01-30,60.0
2023-01-31,69.0
2023-02-01,84.0
2023-02-02,81.0
2023-02-03,99.0
2023-02-04,21.0
2023-02-05,14.0
2023-02-06,68.0
2023-02-07,75.0
2023-02-08,71.0
2023-02-09,73.0
2023-02-10,71.0
2023-02-11,22.0
2023-02-12,10.0
2023-02-13,58.0
2023-02-14,72.0
2023-02-15,70.0
2023-02-16,69.0
2023-02-17,64.0
2023-02-18,18.0
2023-02-19,11.0
2023-02-20,30.0
2023-02-21,72.0
2023-02-22,68.0
2023-02-23,64.0
2023-02-24,69.0
2023-02-25,23.0
2023-02-26,13.0
2023-02-27,63.0
2023-02-28,65.0
2023-03-01,62.0
2023-03-02,70.0
2023-03-03,63.0
2023-03-04,20.0
2023-03-05,14.0
2023-03-06,61.0
2023-03-07,63.0
2023-03-08,63.0
2023-03-09,68.0
2023-03-10,82.0
2023-03-11,27.0
2023-03-12,20.0
2023-03-13,95.0
2023-03-14,86.0
2023-03-15,86.0
2023-03-16,81.0
2023-03-17,70.0
2023-03-18,19.0
2023-03-19,15.0
2023-03-20,72.0
2023-03-21,69.0
2023-03-22,85.0
2023-03-23,73.0
2023-03-24,71.0
2023-03-25,19.0
2023-03-26,13.0
2023-03-27,62.0
2023-03-28,67.0
2023-03-29,66.0
2023-03-30,67.0
2023-03-31,65.0
2023-04-01,18.0
2023-04-02,12.0
2023-04-03,64.0
2023-04-04,69.0
2023-04-05,69.0
2023-04-06,63.0
2023-04-07,43.0
2023-04-08,16.0
2023-04-09,14.0
2023-04-10,64.0
2023-04-11,69.0
2023-04-12,66.0
2023-04-13,68.0
2023-04-14,61.0
2023-04-15,17.0
2023-04-16,14.0
2023-04-17,62.0
2023-04-18,67.0
2023-04-19,59.0
2023-04-20,66.0
2023-04-21,63.0
2023-04-22,23.0
2023-04-23,13.0
2023-04-24,56.0
2023-04-25,63.0
2023-04-26,65.5
2023-04-27,72.0
2023-04-28,73.0
2023-04-29,20.5
2023-04-30,15.0
2023-05-01,68.0
2023-05-02,67.5
2023-05-03,78.0
2023-05-04,67.5
2023-05-05,71.0
2023-05-06,19.5
2023-05-07,15.0
2023-05-08,63.5
2023-05-09,63.5
2023-05-10,71.5
2023-05-11,63.0
2023-05-12,67.5
2023-05-13,20.5
2023-05-14,13.0
2023-05-15,64.0
2023-05-16,66.5
2023-05-17,66.5
2023-05-18,69.0
2023-05-19,73.0
2023-05-20,21.5
2023-05-21,13.0
2023-05-22,64.5
2023-05-23,68.5
2023-05-24,68.5
2023-05-25,71.0
2023-05-26,74.0
2023-05-27,21.0
2023-05-28,12.0
2023-05-29,21.0
2023-05-30,77.0
2023-05-31,71.0
2023-06-01,76.0
2023-06-02,89.0
2023-06-03,26.0
2023-06-04,19.0
2023-06-05,77.0
2023-06-06,75.0
2023-06-07,68.0
2023-06-08,77.0
2023-06-09,83.0
2023-06-10,27.0
2023-06-11,17.0
2023-06-12,76.0
2023-06-13,88.0
2023-06-14,95.0
2023-06-15,91.0
2023-06-16,89.0
2023-06-17,26.0
2023-06-18,18.0
2023-06-19,40.0
2023-06-20,81.0
2023-06-21,74.0
2023-06-22,70.0
2023-06-23,67.0
2023-06-24,22.0
2023-06-25,13.0
2023-06-26,68.0
2023-06-27,76.0
2023-06-28,68.0
2023-06-29,77.0
2023-06-30,73.0
2023-07-01,21.0
2023-07-02,17.0
2023-07-03,61.0
2023-07-04,27.0
2023-07-05,71.0
2023-07-06,73.0
2023-07-07,85.0
2023-07-08,20.0
2023-07-09,13.0
2023-07-10,74.0
2023-07-11,71.0
2023-07-12,87.0
2023-07-13,82.0
2023-07-14,89.0
2023-07-15,21.0
2023-07-16,16.0
2023-07-17,83.0
2023-07-18,91.0
2023-07-19,94.0
2023-07-20,83.0
2023-07-21,80.0
2023-07-22,20.0
2023-07-23,17.0
2023-07-24,79.0
2023-07-25,79.0
2023-07-26,81.0
2023-07-27,84.0
2023-07-28,87.0
2023-07-29,22.0
2023-07-30,19.0
2023-07-31,73.0
2023-08-01,70.0
2023-08-02,83.0
2023-08-03,83.0
2023-08-04,86.0
2023-08-05,22.0
2023-08-06,12.0
2023-08-07,76.0
2023-08-08,78.0
2023-08-09,75.0
2023-08-10,79.0
2023-08-11,67.0
2023-08-12,22.0
2023-08-13,15.0
2023-08-14,72.0
2023-08-15,71.0
2023-08-16,75.0
2023-08-17,79.0
2023-08-18,73.0
2023-08-19,22.0
2023-08-20,17.0
2023-08-21,71.0
2023-08-22,73.0
2023-08-23,75.0
2023-08-24,73.0
2023-08-25,67.0
2023-08-26,18.0
2023-08-27,12.0
2023-08-28,63.0
2023-08-29,80.0
2023-08-30,84.0
2023-08-31,71.0
2023-09-01,67.0
2023-09-02,16.0
2023-09-03,14.0
2023-09-04,18.0
2023-09-05,67.0
2023-09-06,61.0
2023-09-07,61.0
2023-09-08,58.0
2023-09-09,19.0
2023-09-10,14.0
2023-09-11,62.0
2023-09-12,61.0
2023-09-13,62.0
2023-09-14,63.0
2023-09-15,61.0
2023-09-16,20.0
2023-09-17,13.0
2023-09-18,62.0
2023-09-19,57.0
2023-09-20,68.0
2023-09-21,76.0
2023-09-22,74.0
2023-09-23,22.0
2023-09-24,15.0
2023-09-25,69.0
2023-09-26,70.0
2023-09-27,65.0
2023-09-28,70.0
2023-09-29,64.0
2023-09-30,19.0
2023-10-01,14.0
2023-10-02,59.0
2023-10-03,70.0
2023-10-04,84.0
2023-10-05,70.0
2023-10-06,74.0
2023-10-07,23.0
2023-10-08,14.0
2023-10-09,62.0
2023-10-10,77.0
2023-10-11,69.0
2023-10-12,65.0
2023-10-13,59.0
2023-10-14,16.0
2023-10-15,12.0
2023-10-16,66.0
2023-10-17,66.0
2023-10-18,60.0
2023-10-19,75.0
2023-10-20,64.0
2023-10-21,22.0
2023-10-22,16.0
2023-10-23,66.0
2023-10-24,68.0
2023-10-25,68.0
2023-10-26,82.0
2023-10-27,75.0
2023-10-28,25.0
2023-10-29,16.0
2023-10-30,75.0
2023-10-31,67.0
2023-11-01,74.0
2023-11-02,71.0
2023-11-03,79.0
2023-11-04,23.0
2023-11-05,12.0
2023-11-06,75.0
2023-11-07,73.0
2023-11-08,71.0
2023-11-09,69.0
2023-11-10,64.0
2023-11-11,22.0
2023-11-12,13.0
2023-11-13,63.0
2023-11-14,90.0
2023-11-15,86.0
2023-11-16,84.0
2023-11-17,73.0
2023-11-18,23.0
2023-11-19,14.0
2023-11-20,70.0
2023-11-21,69.0
2023-11-22,75.0
2023-11-23,26.0
2023-11-24,47.0
2023-11-25,21.0
2023-11-26,16.0
2023-11-27,59.0
2023-11-28,72.0
2023-11-29,68.0
2023-11-30,70.0
2023-12-01,71.0
2023-12-02,22.0
2023-12-03,15.0
2023-12-04,66.0
2023-12-05,71.0
2023-12-06,68.0
2023-12-07,70.0
2023-12-08,73.0
2023-12-09,22.0
2023-12-10,15.0
2023-12-11,67.0
2023-12-12,75.0
2023-12-13,94.0
2023-12-14,94.0
2023-12-15,93.0
2023-12-16,28.0
2023-12-17,15.0
2023-12-18,80.0
2023-12-19,100.0
2023-12-20,94.0
2023-12-21,92.0
2023-12-22,65.5
2023-12-23,18.0
2023-12-24,12.0
2023-12-25,14.5
2023-12-26,49.0
2023-12-27,65.5
2023-12-28,65.0
2023-12-29,66.0
2023-12-30,18.0
2023-12-31,11.5
2024-01-01,16.5
2024-01-02,54.0
2024-01-03,63.5
2024-01-04,55.5
2024-01-05,61.0
2024-01-06,19.0
2024-01-07,11.5
2024-01-08,53.0
2024-01-09,54.0
2024-01-10,56.0
2024-01-11,52.5
2024-01-12,51.0
2024-01-13,16.0
2024-01-14,13.5
2024-01-15,20.0
2024-01-16,49.5
2024-01-17,54.5
2024-01-18,52.0
2024-01-19,60.0
2024-01-20,22.5
2024-01-21,7.0
2024-01-22,36.0
2024-01-23,35.0
2024-01-24,38.0
2024-01-25,33.0
2024-01-26,31.0
2024-01-27,10.0
2024-01-28,8.0
2024-01-29,29.0
2024-01-30,36.0
2024-01-31,33.0
2024-02-01,35.0
2024-02-02,39.0
2024-02-03,10.0
2024-02-04,9.0
2024-02-05,28.0
2024-02-06,30.0
2024-02-07,34.0
2024-02-08,34.0
2024-02-09,40.0
2024-02-10,14.0
2024-02-11,10.0
2024-02-12,29.0
2024-02-13,35.0
2024-02-14,38.0
2024-02-15,36.0
2024-02-16,35.0
2024-02-17,10.0
2024-02-18,6.0
2024-02-19,16.0
2024-02-20,32.0
2024-02-21,33.0
2024-02-22,38.0
2024-02-23,42.0
2024-02-24,11.0
2024-02-25,6.0
2024-02-26,32.0
2024-02-27,32.0
2024-02-28,32.0
2024-02-29,34.0
2024-03-01,35.0
2024-03-02,11.0
2024-03-03,9.0
2024-03-04,34.0
2024-03-05,35.0
2024-03-06,37.0
2024-03-07,34.0
2024-03-08,35.0
2024-03-09,11.0
2024-03-10,8.0
2024-03-11,31.0
2024-03-12,37.0
2024-03-13,35.0
2024-03-14,30.0
2024-03-15,31.0
2024-03-16,8.0
2024-03-17,7.0
2024-03-18,34.0
2024-03-19,34.0
2024-03-20,36.0
2024-03-21,38.0
2024-03-22,34.0
2024-03-23,11.0
2024-03-24,7.0
2024-03-25,29.0
2024-03-26,29.0
2024-03-27,34.0
2024-03-28,34.0
2024-03-29,21.0
2024-03-30,7.0
2024-03-31,7.0
2024-04-01,29.0
2024-04-02,31.0
2024-04-03,34.0
2024-04-04,34.0
2024-04-05,37.0
2024-04-06,10.0
2024-04-07,7.0
2024-04-08,28.0
2024-04-09,30.0
2024-04-10,34.0
2024-04-11,31.0
2024-04-12,32.0
2024-04-13,11.0
2024-04-14,7.0
2024-04-15,34.0
2024-04-16,39.0
2024-04-17,34.0
2024-04-18,33.0
2024-04-19,34.0
2024-04-20,11.0
2024-04-21,9.0
2024-04-22,36.0
2024-04-23,34.0
2024-04-24,34.0
2024-04-25,35.0
2024-04-26,33.0
2024-04-27,9.0
2024-04-28,7.0
2024-04-29,30.0
2024-04-30,31.0
2024-05-01,36.0
2024-05-02,32.0
2024-05-03,32.0
2024-05-04,9.0
2024-05-05,6.0
2024-05-06,32.0
2024-05-07,31.0
2024-05-08,32.0
2024-05-09,34.0
2024-05-10,31.0
2024-05-11,9.0
2024-05-12,6.0
2024-05-13,31.0
2024-05-14,35.0
2024-05-15,38.0
2024-05-16,37.0
2024-05-17,39.0
2024-05-18,11.0
2024-05-19,8.0
2024-05-20,37.0
2024-05-21,33.0
2024-05-22,32.0
2024-05-23,36.0
2024-05-24,33.0
2024-05-25,9.0
2024-05-26,5.0
2024-05-27,8.0
2024-05-28,29.0
2024-05-29,30.0
2024-05-30,32.0
2024-05-31,32.0
2024-06-01,11.0
2024-06-02,6.0
2024-06-03,30.0
2024-06-04,31.0
2024-06-05,36.0
2024-06-06,35.0
2024-06-07,36.0
2024-06-08,10.0
2024-06-09,9.0
2024-06-10,33.0
2024-06-11,33.0
2024-06-12,43.0
2024-06-13,37.0
2024-06-14,33.0
2024-06-15,10.0
2024-06-16,8.0
2024-06-17,37.0
2024-06-18,35.0
2024-06-19,23.0
2024-06-20,35.0
2024-06-21,33.0
2024-06-22,10.0
2024-06-23,7.0
2024-06-24,34.0
2024-06-25,33.0
2024-06-26,33.0
2024-06-27,30.0
2024-06-28,36.0
2024-06-29,8.0
2024-06-30,7.0
2024-07-01,31.0
2024-07-02,32.0
2024-07-03,35.0
2024-07-04,12.0
2024-07-05,29.0
2024-07-06,12.0
2024-07-07,8.0
2024-07-08,32.0
2024-07-09,36.0
2024-07-10,37.0
2024-07-11,42.0
2024-07-12,40.0
2024-07-13,10.0
2024-07-14,7.0
2024-07-15,39.0
2024-07-16,37.0
2024-07-17,42.0
2024-07-18,38.0
2024-07-19,36.0
2024-07-20,11.0
2024-07-21,8.0
2024-07-22,36.0
2024-07-23,37.0
2024-07-24,38.0
2024-07-25,43.0
2024-07-26,38.0
2024-07-27,9.0
2024-07-28,8.0
2024-07-29,32.0
2024-07-30,36.0
2024-07-31,39.0
2024-08-01,40.0
2024-08-02,49.0
2024-08-03,14.0
2024-08-04,11.0
2024-08-05,100.0
2024-08-06,77.0
2024-08-07,57.0
2024-08-08,49.0
2024-08-09,47.0
2024-08-10,14.0
2024-08-11,8.0
2024-08-12,40.0
2024-08-13,40.0
2024-08-14,43.0
2024-08-15,45.0
2024-08-16,37.0
2024-08-17,13.0
2024-08-18,7.0
2024-08-19,26.5
2024-08-20,27.5
2024-08-21,28.5
2024-08-22,26.0
2024-08-23,30.0
2024-08-24,9.5
2024-08-25,6.5
2024-08-26,27.0
2024-08-27,26.0
2024-08-28,23.0
2024-08-29,27.5
2024-08-30,25.0
2024-08-31,5.5
2024-09-01,5.5
2024-09-02,5.5
2024-09-03,27.0
2024-09-04,30.5
2024-09-05,25.0
2024-09-06,27.0
2024-09-07,8.0
2024-09-08,5.0
2024-09-09,25.5
2024-09-10,24.5
2024-09-11,27.0
2024-09-12,25.0
2024-09-13,26.0
2024-09-14,8.5
2024-09-15,5.5
2024-09-16,23.5
2024-09-17,16.0
2024-09-18,20.0
2024-09-19,19.0
2024-09-20,17.0
2024-09-21,5.0
2024-09-22,4.0
2024-09-23,14.0
2024-09-24,17.0
2024-09-25,15.0
2024-09-26,15.0
2024-09-27,15.0
2024-09-28,4.0
2024-09-29,3.0
2024-09-30,13.0
2024-10-01,15.0
2024-10-02,14.0
2024-10-03,14.0
2024-10-04,16.0
2024-10-05,4.0
2024-10-06,3.0
2024-10-07,13.0
2024-10-08,14.0
2024-10-09,15.0
2024-10-10,13.0
2024-10-11,15.0
2024-10-12,5.0
2024-10-13,3.0
2024-10-14,14.0
2024-10-15,15.0
2024-10-16,13.0
2024-10-17,14.0
2024-10-18,14.0
2024-10-19,4.0
2024-10-20,3.0
2024-10-21,13.0
2024-10-22,14.0
2024-10-23,14.0
2024-10-24,14.0
2024-10-25,13.0
2024-10-26,4.0
2024-10-27,3.0
2024-10-28,12.0
2024-10-29,14.0
2024-10-30,15.0
2024-10-31,15.0
2024-11-01,17.0
2024-11-02,4.0
2024-11-03,3.0
2024-11-04,12.0
2024-11-05,13.0
2024-11-06,26.0
2024-11-07,25.0
2024-11-08,21.0
2024-11-09,6.0
2024-11-10,5.0
2024-11-11,15.0
2024-11-12,18.0
2024-11-13,16.0
2024-11-14,15.0
2024-11-15,15.0
2024-11-16,5.0
2024-11-17,4.0
2024-11-18,14.0
2024-11-19,15.0
2024-11-20,14.0
2024-11-21,15.0
2024-11-22,15.0
2024-11-23,6.0
2024-11-24,4.0
2024-11-25,15.0
2024-11-26,16.0
2024-11-27,15.0
2024-11-28,5.0
2024-11-29,12.0
2024-11-30,4.0
2024-12-01,3.0
2024-12-02,14.0
2024-12-03,15.0
2024-12-04,15.0
2024-12-05,15.0
2024-12-06,14.0
2024-12-07,5.0
2024-12-08,3.0
2024-12-09,13.0
2024-12-10,14.0
2024-12-11,16.0
2024-12-12,15.0
2024-12-13,13.0
2024-12-14,6.0
2024-12-15,3.0
2024-12-16,14.0
2024-12-17,14.0
2024-12-18,18.0
2024-12-19,22.0
2024-12-20,18.0
2024-12-21,6.0
2024-12-22,4.0
2024-12-23,15.0
2024-12-24,14.0
2024-12-25,5.0
2024-12-26,14.0
2024-12-27,15.0
2024-12-28,5.0
2024-12-29,3.0
2024-12-30,15.0
2024-12-31,16.0
2025-01-01,7.0
2025-01-02,16.0
2025-01-03,15.0
2025-01-04,5.0
2025-01-05,4.0
2025-01-06,15.0
2025-01-07,15.0
2025-01-08,15.0
2025-01-09,11.0
2025-01-10,14.0
2025-01-11,5.0
2025-01-12,3.0
2025-01-13,15.0
2025-01-14,15.0
2025-01-15,16.0
2025-01-16,17.0
2025-01-17,16.0
2025-01-18,4.0
2025-01-19,3.0
2025-01-20,8.0
2025-01-21,18.0
2025-01-22,18.0
2025-01-23,18.0
2025-01-24,16.0
2025-01-25,5.0
2025-01-26,4.0
2025-01-27,23.0
2025-01-28,23.0
2025-01-29,18.0
2025-01-30,16.0
2025-01-31,17.0
2025-02-01,7.0
2025-02-02,6.0
2025-02-03,31.0
2025-02-04,19.0
2025-02-05,16.0
2025-02-06,16.0
2025-02-07,16.0
2025-02-08,5.0
2025-02-09,4.0
2025-02-10,14.0
2025-02-11,16.0
2025-02-12,16.0
2025-02-13,15.0
2025-02-14,17.0
2025-02-15,5.0
2025-02-16,4.0
2025-02-17,7.0
2025-02-18,16.0
2025-02-19,17.0
2025-02-20,16.0
2025-02-21,18.0
2025-02-22,7.0
2025-02-23,4.0
2025-02-24,18.0
2025-02-25,20.0
2025-02-26,18.0
2025-02-27,19.0
2025-02-28,21.0
2025-03-01,7.0
2025-03-02,4.0
2025-03-03,23.0
2025-03-04,39.0
2025-03-05,29.0
2025-03-06,28.0
2025-03-07,29.0
2025-03-08,7.0
2025-03-09,6.0
2025-03-10,38.0
2025-03-11,44.0
2025-03-12,36.0
2025-03-13,31.0
2025-03-14,32.0
2025-03-15,8.0
2025-03-16,6.0
2025-03-17,24.0
2025-03-18,26.0
2025-03-19,24.0
2025-03-20,22.0
2025-03-21,19.0
2025-03-22,6.0
2025-03-23,5.0
2025-03-24,20.0
2025-03-25,19.0
2025-03-26,19.0
2025-03-27,21.0
2025-03-28,21.0
2025-03-29,7.0
2025-03-30,4.0
2025-03-31,25.0
2025-04-01,23.0
2025-04-02,31.0
2025-04-03,72.0
2025-04-04,72.0
2025-04-05,22.0
2025-04-06,17.0
2025-04-07,100.0
2025-04-08,70.0
2025-04-09,93.0
2025-04-10,70.0
2025-04-11,51.0
2025-04-12,14.0
2025-04-13,8.0
2025-04-14,37.0
2025-04-15,59.5
2025-04-16,65.5
2025-04-17,56.0
2025-04-18,32.5
2025-04-19,10.5
2025-04-20,9.0
2025-04-21,60.5
2025-04-22,59.5
2025-04-23,55.0
2025-04-24,49.0
2025-04-25,48.0
2025-04-26,14.0
2025-04-27,9.0
2025-04-28,45.5
2025-04-29,45.0
2025-04-30,45.0
2025-05-01,45.0
2025-05-02,47.0
2025-05-03,15.5
2025-05-04,8.5
2025-05-05,41.5
2025-05-06,36.0
2025-05-07,40.5
2025-05-08,43.0
2025-05-09,38.0
2025-05-10,10.0
2025-05-11,11.0
2025-05-12,69.5
2025-05-13,53.0
2025-05-14,46.0
2025-05-15,62.0
2025-05-16,62.0
2025-05-17,16.0
2025-05-18,13.0
2025-05-19,59.0
2025-05-20,52.0
2025-05-21,54.0
2025-05-22,51.0
2025-05-23,53.0
2025-05-24,12.0
2025-05-25,7.0
2025-05-26,16.0
2025-05-27,55.0
2025-05-28,57.0
2025-05-29,64.0
2025-05-30,52.0
2025-05-31,14.0
2025-06-01,10.0
2025-06-02,49.0
2025-06-03,51.0
2025-06-04,53.0
2025-06-05,53.0
2025-06-06,64.0
2025-06-07,14.0
2025-06-08,9.0
2025-06-09,49.0
2025-06-10,53.0
2025-06-11,57.0
2025-06-12,44.0
2025-06-13,58.0
2025-06-14,14.0
2025-06-15,7.0
2025-06-16,49.0
2025-06-17,44.0
2025-06-18,49.0
2025-06-19,31.0
2025-06-20,42.0
2025-06-21,10.0
2025-06-22,15.0
2025-06-23,54.0
2025-06-24,61.0
