Time,xrp_price
2022-01-01,47.0
2022-01-02,39.0
2022-01-03,42.0
2022-01-04,49.0
2022-01-05,47.0
2022-01-06,45.0
2022-01-07,45.0
2022-01-08,40.0
2022-01-09,31.0
2022-01-10,36.0
2022-01-11,40.0
2022-01-12,42.0
2022-01-13,39.0
2022-01-14,34.0
2022-01-15,36.0
2022-01-16,29.0
2022-01-17,32.0
2022-01-18,32.0
2022-01-19,32.0
2022-01-20,31.0
2022-01-21,60.0
2022-01-22,59.0
2022-01-23,44.0
2022-01-24,69.0
2022-01-25,44.0
2022-01-26,49.0
2022-01-27,37.0
2022-01-28,37.0
2022-01-29,34.0
2022-01-30,32.0
2022-01-31,35.0
2022-02-01,36.0
2022-02-02,34.0
2022-02-03,37.0
2022-02-04,30.0
2022-02-05,38.0
2022-02-06,35.0
2022-02-07,66.0
2022-02-08,84.0
2022-02-09,68.0
2022-02-10,52.0
2022-02-11,50.0
2022-02-12,39.0
2022-02-13,39.0
2022-02-14,39.0
2022-02-15,46.0
2022-02-16,47.0
2022-02-17,45.0
2022-02-18,43.0
2022-02-19,48.0
2022-02-20,47.0
2022-02-21,43.0
2022-02-22,50.0
2022-02-23,44.0
2022-02-24,51.0
2022-02-25,48.0
2022-02-26,37.0
2022-02-27,43.0
2022-02-28,50.0
2022-03-01,51.0
2022-03-02,42.0
2022-03-03,39.0
2022-03-04,46.0
2022-03-05,34.0
2022-03-06,36.0
2022-03-07,43.0
2022-03-08,43.0
2022-03-09,48.0
2022-03-10,43.0
2022-03-11,45.0
2022-03-12,59.0
2022-03-13,49.0
2022-03-14,50.0
2022-03-15,46.0
2022-03-16,40.0
2022-03-17,41.0
2022-03-18,40.0
2022-03-19,41.0
2022-03-20,37.0
2022-03-21,52.0
2022-03-22,57.0
2022-03-23,52.0
2022-03-24,54.0
2022-03-25,39.0
2022-03-26,40.0
2022-03-27,42.0
2022-03-28,54.0
2022-03-29,45.0
2022-03-30,45.0
2022-03-31,38.0
2022-04-01,43.0
2022-04-02,38.0
2022-04-03,37.0
2022-04-04,39.0
2022-04-05,41.0
2022-04-06,40.0
2022-04-07,36.0
2022-04-08,32.0
2022-04-09,32.0
2022-04-10,30.0
2022-04-11,34.0
2022-04-12,38.0
2022-04-13,42.0
2022-04-14,44.0
2022-04-15,48.0
2022-04-16,40.0
2022-04-17,32.0
2022-04-18,39.0
2022-04-19,35.0
2022-04-20,33.0
2022-04-21,31.0
2022-04-22,29.0
2022-04-23,24.0
2022-04-24,33.0
2022-04-25,35.0
2022-04-26,35.0
2022-04-27,29.0
2022-04-28,32.0
2022-04-29,34.0
2022-04-30,29.0
2022-05-01,29.0
2022-05-02,28.0
2022-05-03,30.0
2022-05-04,32.0
2022-05-05,32.0
2022-05-06,31.0
2022-05-07,26.0
2022-05-08,29.0
2022-05-09,42.0
2022-05-10,52.0
2022-05-11,62.0
2022-05-12,80.0
2022-05-13,72.0
2022-05-14,49.0
2022-05-15,34.0
2022-05-16,36.0
2022-05-17,40.0
2022-05-18,39.0
2022-05-19,45.0
2022-05-20,34.0
2022-05-21,32.0
2022-05-22,29.0
2022-05-23,33.0
2022-05-24,33.0
2022-05-25,30.0
2022-05-26,31.0
2022-05-27,33.0
2022-05-28,24.0
2022-05-29,24.0
2022-05-30,30.0
2022-05-31,40.0
2022-06-01,32.0
2022-06-02,29.0
2022-06-03,26.0
2022-06-04,25.0
2022-06-05,27.0
2022-06-06,32.0
2022-06-07,30.0
2022-06-08,23.0
2022-06-09,28.0
2022-06-10,32.0
2022-06-11,28.0
2022-06-12,40.0
2022-06-13,67.0
2022-06-14,57.0
2022-06-15,51.0
2022-06-16,43.0
2022-06-17,39.0
2022-06-18,44.0
2022-06-19,46.0
2022-06-20,38.0
2022-06-21,37.0
2022-06-22,32.0
2022-06-23,26.0
2022-06-24,38.0
2022-06-25,30.0
2022-06-26,27.0
2022-06-27,31.0
2022-06-28,26.0
